섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
가정용 전자 제품,57106030,688475,Hangzhou EZVIZ Network Co Ltd Class A,sse,2026-05-13,31.02,31.35,30.15,31.21,-0.84%,+8.22%,1.03,3.41,"5,670,461",176,N/A
"부동산 임대, 개발 및 운영",60101010,600663,Shanghai Lujiazui Finance & Trade Zone Development Co Ltd Class A,sse,2026-05-12,8.73,8.79,8.36,8.75,+3.73%,+18.89%,0.08,0.92,"24,860,643",217,N/A
생명 공학 및 의학 연구,56202010,603259,WuXi AppTec Co Ltd Class A,sse,2026-07-15,131.50,141.35,136.20,141.35,+34.46%,+14.90%,12.85,10.0,"67,070,409","9,480",N/A
소프트웨어,57201020,688111,Beijing Kingsoft Office Software Inc Class A,sse,2026-08-03,274.01,280,270.85,274.01,+1.60%,+13.58%,0,0.0,"11,692,617","3,203",N/A
식품 가공,54102020,605179,Zhejiang Yiming Food Co Ltd Class A,sse,2026-08-03,21.31,22.65,20,22.36,+32.19%,+53.68%,1.05,4.93,"29,105,440",650,N/A
오락용 제품,53205020,600818,Zhonglu Co Ltd Class A,sse,2026-08-03,6.63,7.29,6.78,6.97,+4.65%,+17.74%,0.34,5.13,"16,177,338",112,N/A
온라인 서비스,57201030,603444,G-bits Network Technology Xiamen Co Ltd Class A,sse,2026-07-31,389.35,394.59,383,392.35,+0.41%,+12.78%,7.34,1.91,"1,545,600",606,N/A
제약,56201040,600664,Harbin Pharmaceutical Group Co Ltd Class A,sse,2026-07-23,6,6.34,5.93,6.20,+64.89%,+8.01%,0.21,3.51,"298,291,509","1,849",N/A
제약,56201040,603087,Gan & Lee Pharmaceuticals Class A,sse,2026-07-14,70,70.86,68.01,70.30,+19.14%,+8.86%,2.42,3.57,"7,411,244",521,N/A
중전기장비,52102040,601700,Changshu Fengfan Power Equipment Co Ltd Class A,sse,2026-05-13,5.82,5.92,5.50,5.92,+5.90%,+23.08%,0.54,10.04,"57,912,708",342,N/A
투자 은행 및 중개 서비스,55102010,601375,Central China Securities Co Ltd Class A,sse,2026-08-03,4.23,4.26,4.21,4.23,+3.93%,+4.44%,0,0.0,"20,596,662",87,N/A
해양 화물 및 물류,52405020,600428,COSCO SHIPPING Specialized Carriers Co Ltd Class A,sse,2026-08-03,11.35,11.58,11.19,11.47,+34.94%,+5.46%,0.12,1.06,"31,898,234",365,N/A
