섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
,,AYA,Aya Gold & Silver Inc (Quebec),nasdaq,2026-08-12,28.04,30.24,27.71,29.29,+39.48%,+8.80%,1.52,5.47,"1,871,200",54.81,N/A
IT 서비스 및 컨설팅,57201010,AVPT,AvePoint  Inc.,nasdaq,2026-08-13,13.75,14.39,13.40,14.30,+31.07%,+8.91%,1.09,8.25,"2,660,200",38.04,N/A
IT 서비스 및 컨설팅,57201010,CLMB,Climb Global Solutions Inc,nasdaq,2026-08-14,28.51,29.38,27.65,29.05,+34.18%,+2.72%,1.38,4.99,"235,300",6.84,N/A
IT 서비스 및 컨설팅,57201010,CLPS,CLPS Inc,nasdaq,2026-08-25,1.07,1.08,1.06,1.07,+18.89%,+0.94%,0.00,0.0,"13,900",0.01,N/A
IT 서비스 및 컨설팅,57201010,CTSH,Cognizant Technology Solutions Corporation,nasdaq,2026-08-25,63.06,64.24,62.66,63.76,+14.35%,+4.66%,1.67,2.69,"5,800,800",369.86,N/A
IT 서비스 및 컨설팅,57201010,CYCU,Cycurion Inc,nasdaq,2026-08-26,3.67,4.00,3.61,3.91,+349.14%,+469.43%,0.24,6.63,"595,753",2.33,N/A
IT 서비스 및 컨설팅,57201010,KARO,Karooooo Ltd,nasdaq,2026-08-05,65.91,67.65,64.63,67.09,+40.65%,+6.71%,2.81,4.37,"100,400",6.74,N/A
IT 서비스 및 컨설팅,57201010,MANH,Manhattan Associates  Inc.,nasdaq,2026-08-26,215.89,227.03,217.61,223.76,+49.12%,+5.94%,7.87,3.65,"678,500",151.82,N/A
IT 서비스 및 컨설팅,57201010,NTNX,Nutanix  Inc.,nasdaq,2026-08-13,67.95,74.42,67.69,69.84,+34.13%,+5.29%,4.45,6.81,"8,004,800",559.06,N/A
IT 서비스 및 컨설팅,57201010,OKTA,Okta  Inc.,nasdaq,2026-08-13,154.95,174.85,156.50,172.91,+40.27%,+28.88%,38.49,28.63,"16,352,200","2,827.46",N/A
IT 서비스 및 컨설팅,57201010,RMNI,Rimini Street Inc,nasdaq,2026-08-21,5.25,5.40,5.16,5.37,+37.34%,+5.29%,0.22,4.27,"660,400",3.55,N/A
IT 서비스 및 컨설팅,57201010,SAIC,Science Applications International Corp,nasdaq,2026-08-19,128.71,130.53,126.24,128.96,+23.76%,+2.11%,1.38,1.08,"436,200",56.25,N/A
가정용 가구,53204040,FLXS,Flexsteel Industries Inc,nasdaq,2026-08-26,81.77,82.88,78.63,82.14,+43.09%,+2.64%,0.37,0.45,"84,300",6.92,N/A
