섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,CLMB,Climb Global Solutions Inc,nasdaq,2026-08-14,28.51,28.92,27.91,28.55,+37.72%,+1.03%,0.19,0.67,"40,523",1.16,N/A
IT 서비스 및 컨설팅,57201010,CTSH,Cognizant Technology Solutions Corporation,nasdaq,2026-08-19,60.93,61.81,60.26,61.78,+18.08%,+6.15%,0.85,1.4,"1,364,065",84.27,N/A
IT 서비스 및 컨설팅,57201010,JKHY,Jack Henry & Associates Inc,nasdaq,2026-08-19,163.06,167.57,162.58,167.54,+20.05%,+10.00%,4.48,2.75,"308,868",51.75,N/A
IT 서비스 및 컨설팅,57201010,MANH,Manhattan Associates  Inc.,nasdaq,2026-08-19,205.99,213.13,206.00,213.11,+58.36%,+10.63%,7.12,3.46,"377,244",80.39,N/A
IT 서비스 및 컨설팅,57201010,SLNHP,Soluna Holdings 9.0 Cumulative Perpetual Pref Shs Series A,nasdaq,2026-08-19,12.51,12.54,12.51,12.51,+8.59%,+6.74%,0.00,0.0,"2,120",0.03,N/A
IT 서비스 및 컨설팅,57201010,SSNC,SS&C Technologies Holdings  Inc.,nasdaq,2026-08-19,82.28,82.85,81.93,82.79,+23.66%,+3.31%,0.51,0.62,"256,492",21.23,N/A
가정용 가구,53204040,FLXS,Flexsteel Industries Inc,nasdaq,2026-08-19,78.17,80.54,76.38,78.57,+40.31%,+6.46%,0.40,0.52,"44,131",3.47,N/A
건설 자재,51202010,USLM,United States Lime & Minerals Inc,nasdaq,2026-08-11,120.48,123.05,118.90,122.65,+15.91%,+2.81%,3.21,2.69,"44,717",5.48,N/A
건설 자재 및 비품,53203020,CSTE,Caesarstone Ltd,nasdaq,2026-08-14,3.44,3.48,3.34,3.48,+97.73%,+16.00%,0.09,2.65,"40,704",0.14,N/A
경영 지원 서비스,52203040,ACCL,Acco Group Holdings Ltd,nasdaq,2026-08-10,2.97,2.99,2.92,2.97,+100.68%,+2.77%,0.09,2.95,"11,186",0.03,N/A
경영 지원 서비스,52203040,EXLS,ExlService Holdings  Inc.,nasdaq,2026-08-19,37.02,37.89,36.83,37.84,+29.46%,+10.22%,0.82,2.22,"595,101",22.52,N/A
경영 지원 서비스,52203040,EXPO,Exponent  Inc.,nasdaq,2026-08-19,69.91,70.29,69.10,70.14,+23.58%,+3.70%,0.23,0.34,"73,625",5.16,N/A
