섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
Communication Services,Broadcasting,FOX,Fox Corporation (Class B),s&p500,2026-08-14,61.41,62.42,61.58,62.25,+7.16%,+10.51%,0.84,1.37,"150,152",9.35,N/A
Communication Services,Broadcasting,FOXA,Fox Corporation (Class A),s&p500,2026-08-14,69.04,70.39,69.22,70.24,+8.81%,+10.75%,1.20,1.74,"667,354",46.87,N/A
Communication Services,Broadcasting,WBD,Warner Bros. Discovery,s&p500,2026-08-14,27.99,28.02,27.91,28.02,+3.43%,+4.28%,0.03,0.11,"2,188,217",61.31,N/A
Communication Services,Integrated Telecommunication Services,VZ,Verizon,s&p500,2026-05-26,48.49,48.90,48.40,48.74,+2.09%,+3.64%,0.26,0.54,"2,047,140",99.78,N/A
Consumer Discretionary,Specialized Consumer Services,DASH,DoorDash,s&p500,2026-08-14,217.02,221.25,212.66,220.32,+42.46%,+4.98%,3.30,1.52,"1,254,408",276.37,N/A
Consumer Staples,Consumer Staples Merchandise Retail,DLTR,Dollar Tree,s&p500,2026-08-07,130.90,132.26,129.00,131.96,+45.64%,+2.00%,2.57,1.99,"275,558",36.36,N/A
Consumer Staples,Packaged Foods & Meats,MKC,McCormick & Company,s&p500,2026-08-14,54.67,55.57,54.50,55.38,+17.22%,+4.24%,0.72,1.31,"317,213",17.57,N/A
Energy,Integrated Oil & Gas,CVX,Chevron Corporation,s&p500,2026-08-14,200.00,206.22,204.14,204.43,+3.64%,+4.88%,4.43,2.21,"1,418,157",289.91,N/A
Energy,Integrated Oil & Gas,XOM,ExxonMobil,s&p500,2026-08-11,159.80,165.27,163.45,164.07,+0.93%,+2.68%,4.99,3.14,"2,833,142",464.82,N/A
Energy,Oil & Gas Exploration & Production,APA,APA Corporation,s&p500,2026-08-10,41.02,42.14,41.10,41.64,+1.78%,+1.51%,1.17,2.89,"1,132,634",47.16,N/A
Energy,Oil & Gas Exploration & Production,COP,ConocoPhillips,s&p500,2026-08-12,127.30,129.45,128.12,129.11,+3.20%,+4.94%,3.17,2.52,"763,977",98.64,N/A
Energy,Oil & Gas Exploration & Production,OXY,Occidental Petroleum,s&p500,2026-06-03,59.37,60.15,59.04,59.44,-1.62%,+1.35%,1.08,1.85,"1,775,218",105.52,N/A
