섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,CTSH,Cognizant Technology Solutions Corporation,nasdaq,2026-08-13,59.29,61.51,57.78,61.29,+19.47%,+4.59%,3.51,6.07,"3,654,224",223.97,N/A
IT 서비스 및 컨설팅,57201010,CURR,CURRENC Group Inc,nasdaq,2026-08-18,3.78,4.12,3.77,4.04,+25.86%,+8.60%,0.26,6.88,"236,423",0.96,N/A
IT 서비스 및 컨설팅,57201010,FIGR,Figure Technology Solutions  Inc.,nasdaq,2026-08-18,35.52,37.59,35.04,36.78,+1.04%,+32.11%,1.26,3.55,"4,729,747",173.96,N/A
IT 서비스 및 컨설팅,57201010,GDYN,Grid Dynamics Holdings  Inc.,nasdaq,2026-08-13,7.94,8.13,7.66,7.99,+12.15%,+2.77%,0.32,4.11,"797,857",6.37,N/A
IT 서비스 및 컨설팅,57201010,JKHY,Jack Henry & Associates Inc,nasdaq,2026-07-29,161.15,169.37,157.55,164.16,+17.41%,+6.85%,11.04,7.21,"1,332,213",218.70,N/A
IT 서비스 및 컨설팅,57201010,MANH,Manhattan Associates  Inc.,nasdaq,2026-07-29,204.02,207.37,198.19,206.93,+50.96%,+6.01%,8.55,4.31,"430,953",89.18,N/A
IT 서비스 및 컨설팅,57201010,RMNI,Rimini Street Inc,nasdaq,2026-08-07,5.05,5.17,5.01,5.07,+38.77%,+5.30%,0.05,1.1,"460,107",2.33,N/A
IT 서비스 및 컨설팅,57201010,SAIC,Science Applications International Corp,nasdaq,2026-08-14,126.68,129.70,125.01,128.98,+33.60%,+2.86%,3.03,2.41,"244,169",31.49,N/A
IT 서비스 및 컨설팅,57201010,SLNHP,Soluna Holdings 9.0 Cumulative Perpetual Pref Shs Series A,nasdaq,2026-08-18,12.50,12.74,12.26,12.74,+6.03%,+9.40%,0.24,1.96,"7,179",0.09,N/A
IT 서비스 및 컨설팅,57201010,SSNC,SS&C Technologies Holdings  Inc.,nasdaq,2026-08-13,82.04,83.24,81.18,82.31,+22.49%,+3.08%,1.78,2.21,"845,827",69.62,N/A
IT 서비스 및 컨설팅,57201010,ZSTK,Zerostack Corp,nasdaq,2026-06-04,5.11,12.40,1.52,5.52,+31.43%,+227.40%,3.68,200.0,"22,760,117",125.64,N/A
가정용 가구,53204040,FLXS,Flexsteel Industries Inc,nasdaq,2026-07-28,77.88,79.43,72.86,77.90,+41.55%,+3.52%,0.74,0.96,"138,357",10.78,N/A
건설 및 엔지니어링,52201020,BWMN,Bowman Consulting Group Ltd.,nasdaq,2026-08-18,42.53,42.64,42.45,42.56,+37.41%,+0.44%,0.03,0.06,"300,842",12.80,N/A
건설 및 엔지니어링,52201020,SKK,Skk Holdings Ltd,nasdaq,2026-06-09,5.26,8.81,4.68,5.66,+38.05%,+25.78%,1.46,34.76,"7,625,889",43.16,N/A
건설 자재 및 비품,53203020,TILE,Interface  Inc.,nasdaq,2026-08-13,38.73,39.52,38.83,39.15,+36.29%,+1.57%,0.62,1.62,"173,279",6.78,N/A
경영 지원 서비스,52203040,EXLS,ExlService Holdings  Inc.,nasdaq,2026-07-29,35.99,37.40,35.60,37.01,+25.74%,+6.03%,1.53,4.33,"1,862,641",68.93,N/A
경영 지원 서비스,52203040,EXPO,Exponent  Inc.,nasdaq,2026-08-11,68.35,70.28,67.75,69.98,+20.81%,+2.38%,2.47,3.66,"239,197",16.74,N/A
경영 지원 서비스,52203040,FLYW,Flywire Corporation,nasdaq,2026-08-14,18.81,19.12,18.44,19.02,+19.58%,+8.90%,0.77,4.25,"1,053,746",20.05,N/A
경영 지원 서비스,52203040,PAYS,Paysign Inc,nasdaq,2026-08-18,13.52,13.96,13.25,13.84,+125.09%,+9.61%,0.32,2.39,"408,621",5.66,N/A
경영 지원 서비스,52203040,SBC,SBC Medical Group Holdings Inc,nasdaq,2026-08-14,3.66,3.88,3.58,3.88,+20.11%,+21.23%,0.28,7.76,"231,858",0.90,N/A
경영 지원 서비스,52203040,TASK,Taskus Inc,nasdaq,2026-08-06,7.82,8.11,7.38,8.01,+32.97%,+16.01%,0.62,8.47,"582,452",4.66,N/A
경영 지원 서비스,52203040,XHLD,TEN Holdings Inc,nasdaq,2026-08-18,6.59,8.30,6.34,7.98,+500.00%,+123.53%,1.39,21.09,"668,237",5.33,N/A
고용 서비스,52203030,KELYA,Kelly Services Inc Class A,nasdaq,2026-08-18,16.50,16.87,16.47,16.58,+61.13%,+7.52%,0.08,0.48,"108,710",1.80,N/A
광고 및 마케팅,53302010,MF,MindForge Inc,nasdaq,2026-08-14,13.00,13.61,12.81,13.60,+321.71%,+38.35%,1.09,8.71,"178,665",2.43,N/A
광고 및 마케팅,53302010,SBET,Sharplink Inc,nasdaq,2026-05-21,6.48,7.21,6.35,7.06,+11.53%,+13.32%,0.77,12.24,"14,814,139",104.59,N/A
금,51201060,AUGO,Aura Minerals Inc,nasdaq,2026-08-12,77.53,85.26,79.71,83.74,+11.72%,+10.09%,7.50,9.83,"981,361",82.18,N/A
금,51201060,MAKO,Mako Mining Corp,nasdaq,2026-08-14,10.12,10.60,10.09,10.38,+26.99%,+4.90%,0.65,6.74,"195,649",2.03,N/A
금,51201060,RGLD,Royal Gold  Inc.,nasdaq,2026-08-10,234.13,249.00,240.89,247.05,+11.01%,+5.80%,16.62,7.21,"453,585",112.06,N/A
금,51201060,SSRM,SSR Mining Inc.,nasdaq,2026-08-12,32.52,35.35,33.63,35.30,+14.83%,+10.42%,3.61,11.39,"2,888,110",101.95,N/A
금 제외 귀금속 및 광물,51201010,SCZM,Santacruz Silver Mining Ltd,nasdaq,2026-08-11,9.06,9.58,8.72,9.44,+12.65%,+4.19%,1.07,12.78,"784,292",7.40,N/A
기업 금융 서비스,55101050,FWDI,Forward Industries Inc,nasdaq,2026-06-16,4.83,5.11,4.55,4.91,+10.59%,+14.72%,0.37,8.15,"1,321,372",6.49,N/A
기업 금융 서비스,55101050,GRNQ,GreenPro Capital Corp,nasdaq,2026-08-18,12.20,15.51,12.50,15.10,+874.38%,+63.03%,2.90,23.79,"8,193",0.12,N/A
기업 금융 서비스,55101050,SWKHL,SWK Holdings 9 00 Senior Notes due 2027,nasdaq,2026-08-13,25.43,25.44,25.44,25.44,+1.96%,+0.36%,0.03,0.12,825,0.02,N/A
기업 금융 서비스,55101050,SWKHL,SWK Holdings 9 00 Senior Notes due 2027,nasdaq,2026-08-13,25.43,25.44,25.44,25.44,+1.96%,+0.36%,0.03,0.12,825,0.02,N/A
다각적 채굴,51201080,ELE,Elemental Royalty Corp,nasdaq,2026-08-14,21.06,22.29,21.62,22.09,+33.08%,+13.87%,1.39,6.71,"302,978",6.69,N/A
레스토랑 및 바,53301020,BRCB,Black Rock Coffee Bar  Inc.,nasdaq,2026-08-05,8.52,8.59,7.88,8.56,+34.46%,+23.95%,0.77,9.95,"291,416",2.50,N/A
레스토랑 및 바,53301020,BTBD,Bt Brands Inc,nasdaq,2026-08-11,1.30,1.32,1.26,1.30,+18.64%,+0.38%,0.04,3.57,"21,764",0.03,N/A
레스토랑 및 바,53301020,HWH,HWH International Inc,nasdaq,2026-08-18,2.10,2.18,1.94,2.10,+100.00%,+59.09%,0.00,0.0,"73,843",0.16,N/A
레스토랑 및 바,53301020,RICK,RCI Hospitality Holdings Inc,nasdaq,2026-08-18,30.94,32.00,30.71,31.20,+29.30%,+13.66%,0.26,0.84,"21,625",0.67,N/A
무선 통신 서비스,57401020,CMCSA,Comcast Corporation,nasdaq,2026-08-18,26.20,27.04,26.14,26.69,+8.74%,+4.06%,0.49,1.88,"13,046,270",348.23,N/A
무선 통신 서비스,57401020,NXPL,NextPlat Corp,nasdaq,2026-08-14,8.24,8.80,8.15,8.51,+49.82%,+31.53%,0.44,5.45,"27,263",0.23,N/A
방송,53302020,FWONA,Liberty Media Formula One Ord Shs Series A,nasdaq,2026-08-14,95.31,95.90,93.44,95.72,+15.55%,+2.44%,2.50,2.68,"45,243",4.33,N/A
방송,53302020,FWONK,Liberty Media Formula One Ord Shs Series C,nasdaq,2026-08-14,103.90,104.78,101.48,104.47,+15.52%,+2.05%,2.46,2.41,"755,734",78.96,N/A
방송,53302020,LBRDP,Liberty Broadband Cum Redeemable Prf Shs Series A,nasdaq,2026-08-18,22.10,22.16,22.07,22.13,+3.20%,+2.12%,0.03,0.14,"2,156",0.05,N/A
방송,53302020,WBD,Warner Bros. Discovery  Inc.,nasdaq,2026-08-18,28.48,28.68,28.43,28.53,+4.07%,+5.41%,0.06,0.19,"10,985,921",313.48,N/A
복합부동산 REITs,60102010,GOODO,Gladstone Commercial 6 00 Cum Red Prf Shs Series G,nasdaq,2026-08-18,20.81,20.93,20.74,20.91,+3.76%,+1.01%,0.10,0.48,"14,256",0.30,N/A
부동산 서비스,60101020,CIGI,Colliers International Group Inc.,nasdaq,2026-08-13,105.79,111.20,106.15,109.21,+13.28%,+5.38%,4.44,4.24,"156,485",17.09,N/A
