섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
,,505A,Geekly Inc,tse,2026-07-16,"1,420","1,437","1,370","1,434",+24.48%,+5.75%,67,4.9,"41,900",60,N/A
IT 서비스 및 컨설팅,57201010,271A,Accelia Inc,tse,2026-05-28,"1,500","1,500","1,500","1,500",+0.00%,+0.00%,0,0.0,300,0,N/A
건설 및 엔지니어링,52201020,256A,Tobishima Holdings Inc,tse,2026-08-24,"2,162","2,192","2,154","2,187",+10.79%,+4.14%,33,1.53,"157,500",344,N/A
경영 지원 서비스,52203040,549A,Hito-to-hito Holdings Co Ltd,tse,2026-08-19,519,530,521,522,+8.98%,+0.58%,3,0.58,"39,400",20,N/A
고용 서비스,52203030,215A,Timee  Inc.,tse,2026-07-06,"1,700","1,721","1,684","1,713",+50.13%,+10.59%,23,1.36,"969,000","1,659",N/A
레스토랑 및 바,53301020,138A,Hikari Food Service Co Ltd,tse,2026-07-14,"3,150","3,195","3,125","3,170",+11.74%,+3.26%,55,1.77,"4,000",12,N/A
비즈니스 지원 용품,52203060,423A,Lion Office Products Corp,tse,2026-08-24,323,325,322,323,+5.56%,+1.89%,1,0.31,"15,400",4,N/A
산업용 기계 및 장비,52102010,575A,Maezawa Holdings Co Ltd,tse,2026-08-25,"1,947","1,993","1,959","1,979",+17.31%,+8.98%,32,1.64,"75,500",149,N/A
온라인 서비스,57201030,198A,PostPrime Inc,tse,2026-05-29,161,162,156,161,+0.62%,+3.87%,3,1.9,"54,500",8,N/A
의료 시설 및 서비스,56102010,366A,Wellness Communications Corp,tse,2026-08-20,"1,140","1,143","1,133","1,142",+6.33%,+0.79%,9,0.79,"6,400",7,N/A
전문 및 비즈니스 교육,63103010,291A,Reskill Corp,tse,2026-08-25,"2,044","2,045","2,018","2,045",+16.13%,+3.54%,1,0.05,"1,100",2,N/A
항공우주 및 방위,52101010,278A,Terra Drone Corporation,tse,2026-07-22,"15,550","17,050","15,120","17,050",+70.33%,+29.36%,"3,000",21.35,"3,930,900","67,021",N/A
