섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 철강 제조업,지주사업,001940,KISCO홀딩스,kospi,2026-08-26,"28,300","28,500","27,750","28,300",+39.07%,+4.24%,350,1.25,"16,527",467,"4,011"
1차 철강 제조업,철근,104700,한국철강,kospi,2026-08-14,"9,930","10,120","9,790","10,120",+22.96%,+4.44%,260,2.64,"48,000",485,"3,688"
"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑,194370,제이에스코퍼레이션,kospi,2026-08-07,"13,570","13,700","13,150","13,690",+26.41%,+7.63%,320,2.39,"37,663",515,"3,972"
개인 및 가정용품 임대업,"정수기, 공기청정기 등",284740,쿠쿠홈시스,kospi,2026-08-25,"23,050","24,200","22,750","24,050",+8.58%,+6.18%,"1,200",5.25,"43,201","1,038","5,396"
건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",294870,IPARK현대산업개발,kospi,2026-08-26,"23,000","23,250","22,800","23,150",+17.27%,+7.18%,150,0.65,"72,103","1,669","15,257"
건물 건설업,"토목공사,건축공사,주택건설,유통업(백화점),문화교실,주차장",004960,한신공영,kospi,2026-08-27,"12,170","12,420","11,940","12,420",+16.29%,+15.86%,250,2.05,"39,137",486,"1,437"
"건축기술, 엔지니어링 및 관련 기술 서비스업","건축 설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",053690,한미글로벌,kospi,2026-08-27,"22,800","23,350","22,050","23,000",+22.15%,+38.97%,200,0.88,"516,447","11,878","2,520"
"곡물가공품, 전분 및 전분제품 제조업","제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대",001790,대한제당,kospi,2026-07-08,"2,905","2,915","2,840","2,905",+15.97%,+4.68%,65,2.29,"170,406",495,"2,505"
"골판지, 종이 상자 및 종이용기 제조업","골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매",002310,아세아제지,kospi,2026-08-25,"8,560","8,580","8,230","8,560",+15.36%,+11.60%,210,2.51,"50,726",434,"3,376"
그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",021240,코웨이,kospi,2026-08-26,"100,000","100,600","94,800","100,400",+6.13%,+4.69%,"2,100",2.14,"166,464","16,712","71,050"
금융 지원 서비스업,"간편결제, 간편송금 및 기타 금융서비스",377300,카카오페이,kospi,2026-08-27,"46,900","48,350","46,550","47,350",+1.61%,+11.41%,450,0.96,"225,686","10,686","64,051"
기계장비 및 관련 물품 도매업,"건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고",003010,혜인,kospi,2026-08-27,"12,400","13,290","12,060","12,680",+153.60%,+33.90%,280,2.26,"245,184","3,108","1,611"
기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",025000,KPX케미칼,kospi,2026-08-18,"54,400","55,900","53,500","55,800",+12.39%,+6.08%,"2,000",3.72,"8,329",464,"2,443"
기초 화학물질 제조업,에너지경화수지,268280,미원에스씨,kospi,2026-08-24,"132,900","134,000","129,100","134,000",+34.00%,+1.98%,"3,700",2.84,"1,794",240,"6,700"
기초 화학물질 제조업,지주회사,092230,KPX홀딩스,kospi,2026-08-25,"102,500","104,900","99,400","104,300",+27.66%,+10.72%,"2,600",2.56,"5,879",613,"4,406"
기타 금융업,지주회사,012630,HDC,kospi,2026-08-27,"23,200","23,350","22,200","23,200",+13.17%,+9.69%,0,0.0,"110,653","2,567","13,860"
기타 금융업,"지주회사,경영자문컨설팅",000070,삼양홀딩스,kospi,2026-08-18,"60,900","60,900","59,400","60,900",+9.14%,+2.18%,"1,300",2.18,"7,159",435,"4,727"
기타 금융업,지주회사/부동산 임대,078930,GS,kospi,2026-08-26,"127,700","131,500","123,350","129,200",+77.96%,+11.19%,"6,000",4.87,"530,896","68,591","120,020"
