섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,002178,Shanghai Yanhua Smartech Group Co Ltd Class A,szse,2026-08-19,0.31,0.32,0.31,0.32,+42.22%,+10.34%,0.00,1.59,"17,240,400",5,N/A
IT 서비스 및 컨설팅,57201010,002373,China TransInfo Technology Co Ltd Class A,szse,2026-07-21,19.25,19.40,18.60,19.39,+6.41%,+5.13%,0.91,4.92,"311,037",6,N/A
IT 서비스 및 컨설팅,57201010,002657,Sinodata Co Ltd Class A,szse,2026-08-21,54.90,57.45,53.90,56.25,+37.13%,+9.22%,1.35,2.46,"74,076",4,N/A
"가전제품, 도구 및 가정 용품",53204030,002614,Xiamen Comfort Science & Technology Group Co Ltd Class A,szse,2026-06-01,5.30,5.37,5.06,5.30,+3.72%,+7.94%,0.22,4.33,"21,916,034",116,N/A
"가전제품, 도구 및 가정 용품",53204030,002705,Guangdong Xinbao Electrical Appliances Holdings Co Ltd Class A,szse,2026-08-21,"9,240","9,560","9,300","9,370",+19.36%,+11.02%,130,1.41,"25,400",237,N/A
건설 및 엔지니어링,52201020,002542,China Zhonghua Geotechnical Engineering Group Co Ltd Class A,szse,2026-08-21,1.90,1.94,1.86,1.90,+24.18%,+7.95%,0,0.0,"31,777,568",60,N/A
건설 및 엔지니어링,52201020,000928,Sinosteel Engineering & Technology Co Ltd Class A,szse,2026-08-05,0.11,0.11,0.10,0.11,+42.11%,+3.85%,0.00,0.93,"2,000,000",0,N/A
건설 자재,51202010,002225,Puyang Refractories Group Co Ltd Class A,szse,2026-08-18,5.20,5.60,4.81,5.48,+103.72%,+6.51%,0.64,13.34,"10,295,000",56,N/A
건설 자재 및 비품,53203020,002108,Cangzhou Mingzhu Plastic Co Ltd Class A,szse,2026-08-21,"5,810","5,980","5,800","5,840",+35.34%,+7.35%,30,0.52,"76,400",446,N/A
건설 자재 및 비품,53203020,002918,Monalisa Group Co Ltd Class A,szse,2026-07-29,"2,871","2,896","2,862","2,876",+9.65%,+1.45%,5,0.17,"72,800",209,N/A
경영 지원 서비스,52203040,002335,Kehua Data Co.  Ltd. Class A,szse,2026-07-29,"1,104","1,108","1,093","1,104",+8.66%,+1.28%,14,1.28,"29,300",32,N/A
경영 지원 서비스,52203040,002769,Guangdong Prolto Supply Chain Management Co Ltd Class A,szse,2026-08-21,905,906,903,906,+8.24%,+0.67%,1,0.11,"3,700",3,N/A
고속도로 및 철도,52407030,000755,Shanxi Hi speed Group Co Ltd Class A,szse,2026-07-07,0.38,0.41,0.33,0.40,+25.40%,+46.30%,0.08,23.44,"55,000",0,N/A
광고 및 마케팅,53302010,002181,Guangdong Guangzhou Daily Media Co Ltd Class A,szse,2026-08-21,291.50,295.60,291.30,292.30,+21.99%,+1.53%,0.80,0.27,"4,506,600","1,317",N/A
금,51201060,000506,Zhaojin International Gold Co Ltd Class A,szse,2026-08-21,20.77,22.55,20.25,22.28,+49.73%,+26.30%,1.51,7.27,"117,779,177","2,624",N/A
금,51201060,001337,Sichuan Gold Co Ltd Class A,szse,2026-08-21,51.47,56.62,50.81,56.10,+6.96%,+21.01%,4.63,9.0,"35,768,564","2,006",N/A
금,51201060,300139,Beijing Xiaocheng Technology Stock Co Ltd Class A,szse,2026-08-21,53.68,61.70,52.69,58.90,+26.15%,+27.68%,5.22,9.72,"73,837,631","4,349",N/A
농화학제,51101020,000731,Sichuan Meifeng Chemical Industry Co Ltd Class A,szse,2026-06-01,6.17,6.24,6.12,6.19,+3.17%,+6.91%,0.07,1.14,"7,080,300",43,N/A
다각적 채굴,51201080,000975,Shanjin International Gold Co Ltd Class A,szse,2026-08-21,28.58,30.28,28.01,29.10,+21.86%,+12.92%,0.52,1.82,"72,466,565","2,108",N/A
다각적 채굴,51201080,000975,Shanjin International Gold Co Ltd Class A,szse,2026-08-21,10.50,11.08,10.40,10.56,+26.16%,+14.35%,0.06,0.57,"12,686,350",133,N/A
다각적 화학 산업,51101090,002274,Jiangsu Huachang Chemical Co Ltd Class A,szse,2026-08-20,5.92,6.10,5.79,6.08,+7.61%,+6.11%,0.26,4.47,"48,808,480",296,N/A
다각적 화학 산업,51101090,002004,Huapont Life Sciences Co Ltd Class A,szse,2026-08-21,"3,745","3,775","3,735","3,770",+20.06%,+4.58%,25,0.67,"24,000",90,N/A
무선 통신 서비스,57401020,002148,Beijing Bewinner Communications Co Ltd Class A,szse,2026-08-20,"1,265","1,269","1,255","1,265",+12.75%,+0.88%,9,0.72,"34,100",43,N/A
민자 발전 사업,59101020,002608,Jiangsu Guoxin Corp Ltd Class A,szse,2026-05-29,0.01,0.01,0.01,0.01,+10.00%,+10.00%,0.00,10.0,"7,709,000",0,N/A
민자 발전 사업,59101020,003816,CGN Power Co Ltd Class A,szse,2026-06-01,2.55,2.61,2.50,2.60,+11.59%,+9.24%,0.05,1.96,"844,000",2,N/A
반도체,57101010,003040,Chutian Dragon Co Ltd Class A,szse,2026-05-28,13.29,14.07,12.52,14.07,+5.32%,+19.85%,1.28,10.01,"50,701,041",713,N/A
반도체,57101010,300345,Hunan Huamin Holdings Co Ltd Class A,szse,2026-08-18,9.37,10.08,9.20,9.71,+56.61%,+30.86%,0.34,3.63,"101,505,247",985,N/A
