섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
,,AYA,Aya Gold & Silver Inc (Quebec),nasdaq,2026-08-07,27.19,27.29,26.41,27.19,+28.38%,+33.68%,0.00,0.0,"164,149",4.46,N/A
IT 서비스 및 컨설팅,57201010,BLZE,Backblaze Inc,nasdaq,2026-08-04,19.79,20.44,18.95,20.38,+189.90%,+30.72%,1.56,8.29,"1,681,835",34.28,N/A
IT 서비스 및 컨설팅,57201010,FSLY,Fastly  Inc.,nasdaq,2026-08-05,26.03,26.69,22.42,26.50,+39.25%,+15.07%,3.54,15.42,"2,365,430",62.68,N/A
IT 서비스 및 컨설팅,57201010,GREEL,Vulcan Infrastructure and Power 8 50 Senior Notes due 2026,nasdaq,2026-07-31,24.85,24.85,24.82,24.85,+26.79%,+0.00%,0.03,0.11,"2,866",0.07,N/A
IT 서비스 및 컨설팅,57201010,GTM,ZoomInfo Technologies Inc.,nasdaq,2026-08-07,4.18,4.30,4.13,4.28,+5.54%,+20.03%,0.11,2.51,"1,120,983",4.80,N/A
IT 서비스 및 컨설팅,57201010,NSIT,Insight Enterprises Inc,nasdaq,2026-08-07,149.32,150.44,146.76,149.44,+71.73%,+13.50%,0.12,0.08,"31,619",4.73,N/A
IT 서비스 및 컨설팅,57201010,NTNX,Nutanix  Inc.,nasdaq,2026-08-07,62.67,64.80,62.33,64.41,+45.07%,+5.49%,1.74,2.78,"203,179",13.09,N/A
IT 서비스 및 컨설팅,57201010,NTSK,Netskope  Inc.,nasdaq,2026-08-07,14.87,15.64,14.73,15.42,+42.65%,+15.42%,0.55,3.7,"1,423,750",21.95,N/A
IT 서비스 및 컨설팅,57201010,QLYS,Qualys  Inc.,nasdaq,2026-08-07,183.48,192.73,182.31,189.72,+110.52%,+22.49%,6.24,3.4,"188,055",35.68,N/A
가정용 가구,53204040,XMAX,XMax Inc,nasdaq,2026-08-06,9.17,9.25,9.04,9.22,+8.98%,+5.01%,0.13,1.43,"88,504",0.82,N/A
가정용 가구 소매,53403030,ARHS,Arhaus Inc,nasdaq,2026-08-06,9.68,9.79,9.46,9.69,+64.15%,+22.59%,0.09,0.89,"135,440",1.31,N/A
