섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,145A,L is B Corp,tse,2026-08-10,902,917,901,911,+6.55%,+5.44%,9,1.0,"4,600",4,N/A
IT 서비스 및 컨설팅,57201010,387A,Fuller Inc,tse,2026-07-28,"1,020","1,049",991,"1,041",+11.46%,+9.01%,42,4.2,"5,600",5,N/A
IT 서비스 및 컨설팅,57201010,446A,Northsand Inc,tse,2026-08-06,"1,680","1,730","1,660","1,714",+51.68%,+6.39%,65,3.94,"176,200",302,N/A
IT 서비스 및 컨설팅,57201010,548A,SystemEXE Inc,tse,2026-07-15,"1,003","1,015",997,"1,007",+9.46%,+2.97%,9,0.9,"28,000",28,N/A
건설 및 엔지니어링,52201020,407A,Unicon Holdings Co Ltd,tse,2026-07-27,899,904,883,899,+0.84%,+3.33%,20,2.28,"44,500",40,N/A
경영 지원 서비스,52203040,300A,MIC Co Ltd,tse,2026-08-10,"3,160","3,270","3,165","3,235",+9.66%,+7.83%,75,2.37,"20,400",65,N/A
경영 지원 서비스,52203040,369A,A-tie Co Ltd,tse,2026-08-10,"2,430","2,588","2,450","2,510",+10.38%,+6.58%,80,3.29,"22,000",55,N/A
경영 지원 서비스,52203040,480A,LiB Consulting Co Ltd,tse,2026-08-10,"1,034","1,050","1,029","1,037",+3.60%,+3.91%,3,0.29,"15,500",16,N/A
반도체,57101010,167A,Ryoyo Ryosan Holdings Inc,tse,2026-08-10,"3,200","3,265","3,180","3,225",+21.06%,+8.29%,25,0.78,"134,400",433,N/A
생명 공학 및 의학 연구,56202010,206A,PRISM BioLab Co Ltd,tse,2026-08-10,167,173,166,169,-1.17%,+8.33%,2,1.2,"82,300",13,N/A
소비자 대출,55101030,547A,Muninova Holdings Inc,tse,2026-05-21,471,484,468,477,+4.15%,+9.66%,10,2.14,"4,285,400","2,044",N/A
손해보험,55301020,471A,NS Group Inc,tse,2026-08-10,"1,547","1,582","1,549","1,582",+4.10%,+6.17%,35,2.26,"153,200",242,N/A
여가 및 오락시설,53301040,352A,LOIVE Co Ltd,tse,2026-08-05,534,560,527,554,+15.66%,+7.78%,21,3.94,"7,500",4,N/A
"의료 장비, 물품 및 유통",56101020,368A,Kitazato Corp(Shizuoka),tse,2026-08-10,"1,541","1,585","1,550","1,583",+31.26%,+9.55%,42,2.73,"126,700",200,N/A
전문 및 비즈니스 교육,63103010,291A,Reskill Corp,tse,2026-06-19,"1,801","1,889","1,800","1,888",-17.55%,+7.64%,96,5.36,"3,700",6,N/A
전자 장비 및 부품,57104010,287A,Kuroda Group Co.  Ltd.,tse,2026-08-05,"1,149","1,192","1,145","1,190",+25.13%,+5.78%,41,3.57,"562,500",669,N/A
할인점,53402020,141A,Trial Holdings Inc,tse,2026-08-05,"3,270","3,435","3,320","3,430",-3.40%,+5.54%,165,5.05,"661,400","2,268",N/A
