섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
민자 발전 사업,59101020,TMP,Thac Mo Hydropower JSC,hose,2026-08-06,"49,800","49,800","49,800","49,800",+7.79%,+8.03%,0,0.0,"1,100",54,N/A
상품 화학,51101010,APH,An Phat Holdings JSC,hose,2026-08-06,"5,760","5,840","5,720","5,810",+4450.53%,+4.68%,50,0.87,"144,104",837,N/A
상품 화학,51101010,HII,An Tien Industries JSC,hose,2026-08-06,"8,850","8,900","8,480","8,900",+2579.71%,+25.53%,50,0.56,"175,798","1,564",N/A
식품 가공,54102020,AAM,Mekong Fisheries JSC,hose,2026-08-06,"7,200","7,500","7,200","7,500",+5.78%,+7.14%,300,4.17,"14,096",105,N/A
식품 가공,54102020,VNM,Vietnam Dairy Products JSC,hose,2026-07-30,"61,200","63,100","59,000","62,400",+7.23%,+2.46%,"3,400",5.76,"9,980,260","622,768",N/A
양조업,54101010,BHN,Hanoi Beer Alcohol And Beverage Joint Stock Corp,hose,2026-08-04,"30,350","30,750","29,000","30,750",+4.59%,+4.24%,"1,600",5.49,700,21,N/A
양조업,54101010,SMB,Sai Gon Mien Trung Beer JSC,hose,2026-07-29,"39,000","39,000","39,000","39,000",+0.44%,+1.30%,0,0.0,"11,274",439,N/A
용기(종이 제외) 및 포장재,51302010,DTT,Do Thanh Technology Corp,hose,2026-07-21,"18,000","18,200","18,200","18,200",+8.01%,+1.11%,200,1.11,400,7,N/A
"자동차 차량, 부품 및 서비스 소매",53403010,CTF,City Auto Corp,hose,2026-08-06,"19,600","19,650","19,600","19,650",+8.86%,+9.17%,50,0.26,"273,589","5,376",N/A
종이 포장재,51302020,DHC,Donghai JSC of Bentre,hose,2026-08-06,"34,700","35,500","34,300","35,400",+423344.99%,+7.60%,700,2.02,"235,770","8,346",N/A
항만 운영 및 서비스,52407020,DVP,Dinhvu Port Investment & Development JSC,hose,2026-08-06,"78,400","79,400","79,100","79,100",+11.71%,+4.77%,700,0.89,"5,220",412,N/A
