섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
가정용 전자 제품,57106030,001308,Shenzhen KTC Technology Co Ltd Class A,szse,2026-07-30,39.50,39.70,38.70,39.60,+15.45%,+0.30%,1.10,2.86,"1,687,107",66,N/A
가정용 전자 제품,57106030,002681,Shenzhen Fenda Technology Co Ltd Class A,szse,2026-07-29,"2,202","2,390","2,140","2,319",+21.35%,+10.96%,267,13.01,"921,200","2,136",N/A
건설 및 엔지니어링,52201020,003013,Guangzhou Metro Design & Research Institute Co Ltd Class A,szse,2026-08-05,18.20,19.18,17.88,18.80,+39.38%,+8.80%,0.62,3.41,"8,027,827",150,N/A
건설 및 엔지니어링,52201020,002630,China Western Power Industrial Co Ltd Class A,szse,2026-08-06,107,114.90,103.80,111,+40.86%,+16.66%,4,3.74,"38,800",4,N/A
건설 및 엔지니어링,52201020,003001,Zhongyan Technology Co Ltd Class A,szse,2026-08-06,"2,920","3,025","2,911","2,994",+16.50%,+6.13%,74,2.53,"41,000",122,N/A
경영 지원 서비스,52203040,001269,Inner Mongolia OJing Science & Technology Co Ltd Class A,szse,2026-08-04,0.05,0.05,0.05,0.05,+36.84%,+36.84%,0,0.0,"1,000,000",0,N/A
광고 및 마케팅,53302010,000676,Genimous Technology Co Ltd Class A,szse,2026-08-05,7.85,8.25,7.21,7.94,+6.86%,+6.01%,0.44,5.87,"201,008,262","1,596",N/A
금,51201060,000506,Zhaojin International Gold Co Ltd Class A,szse,2026-08-06,16.48,17.66,16.20,17.55,+10.24%,+20.87%,1.07,6.49,"73,073,411","1,282",N/A
농화학제,51101020,002538,Anhui Sierte Fertilizer Industry Ltd Co Class A,szse,2026-08-06,6.95,7,6.77,6.98,+7.26%,+7.22%,0.03,0.43,"10,535,078",73,N/A
민자 발전 사업,59101020,001258,Xinjiang Lixin Energy Co Ltd Class A,szse,2026-08-05,15.99,16.33,15.61,16.28,+14.02%,+10.37%,0.32,2.01,"10,792,581",175,N/A
민자 발전 사업,59101020,002608,Jiangsu Guoxin Corp Ltd Class A,szse,2026-05-12,0.01,0.01,0.01,0.01,+0.00%,+0.00%,0,0.0,"68,726,000",0,N/A
반도체 장비 및 테스트,57101020,002371,Naura Technology Group Co Ltd Class A,szse,2026-08-06,"3,711","3,739","3,711","3,718",+8.55%,+0.76%,7,0.19,"108,700",404,N/A
부동산 서비스,60101020,002285,Shenzhen Worldunion Group Inc Class A,szse,2026-08-05,20.56,20.62,20.14,20.62,+22.46%,+8.01%,0.08,0.39,"249,900",5,N/A
