섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 및 엔지니어링,52201020,HTN,Hung Thinh Incons JSC,hose,2026-08-24,"8,890","9,000","9,000","9,000",+20.48%,+10.43%,110,1.24,"21,104",189,N/A
담배,54102030,CLC,Cat Loi JSC,hose,2026-07-15,"53,400","53,500","53,500","53,500",+3.98%,+1.90%,600,1.13,"1,000",53,N/A
민자 발전 사업,59101020,TMP,Thac Mo Hydropower JSC,hose,2026-08-21,"52,000","52,600","52,400","52,500",+12.42%,+5.63%,500,0.96,"3,400",178,N/A
민자 발전 사업,59101020,TTA,Truong Thanh Development and Construction Investment JSC,hose,2026-07-09,"11,800","11,850","11,650","11,850",+13.94%,+3.95%,50,0.42,500,5,N/A
"부동산 임대, 개발 및 운영",60101010,SZL,Sonadezi Long Thanh Shareholding Co,hose,2026-08-13,"51,800","52,100","51,100","51,900",+0.78%,+2.57%,"1,000",1.96,"86,200","4,473",N/A
상품 화학,51101010,ADP,A Dong Paint JSC,hose,2026-07-02,"23,300","23,850","23,100","23,750",+10894.80%,+3.26%,700,3.04,"9,000",213,N/A
식품 가공,54102020,HSL,Hong Ha Food Investment Development JSC,hose,2026-07-13,"10,200","10,200","10,200","10,200",+111.62%,+13.97%,200,2.0,"4,000",40,N/A
식품 가공,54102020,SBT,Thanh Thanh Cong Bien Hoa JSC,hose,2026-08-24,"24,150","24,150","24,150","24,150",+18.67%,+1.90%,0,0.0,"10,406",251,N/A
어업 및 농업,54102010,BAF,BAF Viet Nam Agriculture JSC,hose,2026-08-24,"32,700","32,700","32,700","32,700",+14.03%,+2.99%,0,0.0,"24,316",795,N/A
자동차 및 트럭 제조,53101010,HTL,Truong Long Engineering and Auto JSC,hose,2026-06-08,"21,600","21,600","21,050","21,600",+1.89%,+0.93%,400,1.89,"3,400",73,N/A
제약,56201040,DHG,Dhg Pharmaceutical Joint-Stock Co,hose,2026-08-24,"96,100","96,300","96,300","96,300",+2.77%,+2.99%,200,0.21,104,10,N/A
종이 제품,51301020,HAP,Hapaco Group JSC,hose,2026-08-21,"7,370","7,500","7,110","7,500",+7.14%,+3.73%,130,1.76,"125,600",942,N/A
철 및 강철,51201020,VCA,Vicasa Steel JSC,hose,2026-06-05,"6,550","6,880","6,870","6,870",+5.69%,+11.71%,400,6.18,200,1,N/A
컴퓨터 및 전자 제품 소매,53403050,DGW,Digiworld Corp,hose,2026-08-13,"43,150","43,250","42,800","43,200",+5.75%,+4.10%,400,0.93,"96,826","4,182",N/A
