섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 비철금속 제조업,,103140,풍산,kospi,2026-08-10,"86,600","91,000","81,700","87,600",+6.18%,+8.96%,"5,400",6.57,"484,337","42,427","24,549"
1차 비철금속 제조업,"연,아연괴 제조,판매",010130,고려아연,kospi,2026-06-01,"1,375,000","1,430,000","1,329,000","1,427,000",+4.54%,+17.06%,"83,000",6.18,"67,239","95,950","297,857"
1차 철강 제조업,지주사업,001940,KISCO홀딩스,kospi,2026-08-04,"28,100","28,500","26,800","28,250",+25.56%,+1.99%,"1,250",4.63,"52,513","1,483","4,004"
1차 철강 제조업,철근,104700,한국철강,kospi,2026-08-14,"9,930","9,930","9,720","9,930",+10.33%,+0.61%,10,0.1,"7,891",78,"3,619"
개인 및 가정용품 임대업,"정수기, 공기청정기 등",284740,쿠쿠홈시스,kospi,2026-06-15,"23,000","23,200","22,600","23,050",+3.13%,+2.44%,200,0.88,"26,021",599,"5,171"
"골판지, 종이 상자 및 종이용기 제조업","골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매",002310,아세아제지,kospi,2026-06-17,"8,330","8,570","7,710","8,560",+7.40%,+10.45%,790,10.17,"342,789","2,934","3,376"
그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",021240,코웨이,kospi,2026-08-14,"98,200","99,800","95,600","98,700",+6.82%,+2.28%,"1,200",1.23,"182,271","17,990","69,847"
금융 지원 서비스업,"금융업, 서비스, 부동산",030210,다올투자증권,kospi,2026-08-14,"3,920","3,935","3,790","3,930",+3.42%,+3.01%,105,2.75,"52,805",207,"2,393"
기계장비 및 관련 물품 도매업,"치과용기자재(방사선장치,전기진단장치),주사침 도소매,제조/부동산 임대",004080,신흥,kospi,2026-08-21,"14,100","14,110","14,070","14,100",+3.68%,+0.36%,0,0.0,"3,356",47,"1,311"
기초 화학물질 제조업,지주회사,092230,KPX홀딩스,kospi,2026-08-18,"98,200","103,900","96,400","102,500",+21.02%,+4.38%,"4,700",4.81,"11,587","1,187","4,330"
기타 금융업,지주사업,006840,AK홀딩스,kospi,2026-08-20,"7,700","7,710","7,460","7,700",+1.99%,+7.54%,10,0.13,"12,108",93,"1,020"
