섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
반도체,57101010,003040,Chutian Dragon Co Ltd Class A,szse,2026-08-26,17.03,18.73,17.62,18.73,+41.79%,+61.05%,1.70,9.98,"94,876,899","1,777",N/A
반도체,57101010,002384,Suzhou Dongshan Precision Manufacturing Co Ltd Class A,szse,2026-08-21,"5,190","5,260","5,160","5,210",+6.65%,+4.20%,70,1.36,"57,100",297,N/A
반도체 장비 및 테스트,57101020,002185,Tianshui Huatian Technology Co Ltd Class A,szse,2026-08-26,"1,980","2,005","1,980","1,980",+8.85%,+3.99%,0,0.0,"3,700",7,N/A
"배달, 우편, 항공 화물 및 육상 물류",52405010,002120,YUNDA Holding Group Co Ltd Class A,szse,2026-08-25,9.33,9.60,9.33,9.58,+11.81%,+6.50%,0.25,2.68,"33,300",0,N/A
부동산 서비스,60101020,002177,Guangzhou KingTeller Technology Co Ltd Class A,szse,2026-07-02,2.32,2.34,2.11,2.32,+5.12%,+6.42%,0.21,10.21,"12,200",0,N/A
부동산 서비스,60101020,001914,China Merchants Property Operation & Service Co Ltd Class A,szse,2026-08-26,792,808,789,793,+11.53%,+5.87%,1,0.13,"40,300",31,N/A
"부동산 임대, 개발 및 운영",60101010,000886,Hainan Expressway Co Ltd Class A,szse,2026-08-26,4.74,4.79,4.68,4.75,-2.06%,+4.40%,0.01,0.21,"15,668,854",74,N/A
"부동산 임대, 개발 및 운영",60101010,002344,Haining China Leather Market Co Ltd Class A,szse,2026-06-02,3.97,4.08,3.92,4.01,-1.23%,+2.82%,0.09,2.3,"22,797,062",91,N/A
"부동산 임대, 개발 및 운영",60101010,000517,Rongan Property Co Ltd Class A,szse,2026-08-21,6.03,6.11,5.95,6.05,+2.54%,+0.92%,0.08,1.34,"2,798,000",16,N/A
"부동산 임대, 개발 및 운영",60101010,000631,Shunfa Hengneng Corp Class A,szse,2026-08-25,8.98,9.74,8.93,9.40,+17.50%,+21.45%,0.65,7.43,"31,691,755",297,N/A
