섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",002220,한일철강,kospi,2026-06-10,"5,870","5,900",160,2.79,"243,019","1,433","1,575"
기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",005950,이수화학,kospi,2026-05-26,"16,510","16,700","1,480",9.72,"3,198,748","53,419","4,391"
기초 화학물질 제조업,"불소화물 제조,도매",093370,후성,kospi,2026-06-10,"16,240","19,010","3,240",20.55,"17,847,095","339,273","20,389"
보험업,손해보험(자동차보험),001450,현대해상,kospi,2026-05-19,"38,850","39,250","1,450",3.84,"863,316","33,885","33,459"
상품 종합 도매업,B2B 전자상거래,122900,아이마켓코리아,kospi,2026-04-29,"7,690","7,740",110,1.44,"182,155","1,409","2,587"
의약품 제조업,의약품 제조,002630,오리엔트바이오,kospi,2026-06-11,978,984,6,0.61,"411,306",404,583
자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",204320,HL만도,kospi,2026-05-26,"63,400","65,000","15,000",30.0,"1,202,691","78,174","30,522"
전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",007815,코리아써우,kospi,2026-06-11,"26,000","27,450","1,450",5.58,"2,179",59,813
전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",00781K,코리아써키트2우B,kospi,2026-06-11,"21,850","22,900","1,050",4.81,"4,732",108,179
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",025560,미래산업,kospi,2026-06-11,"39,200","47,250","8,050",20.54,"517,631","24,458","2,405"
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",281820,케이씨텍,kospi,2026-05-14,"81,800","87,100","10,700",14.01,"378,572","32,973","17,244"
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",연구용 및 산업용 원자현미경,140860,파크시스템스,kosdaq global,2026-05-06,"318,000","339,500","75,500",28.6,"182,263","61,878","23,773"
특수 목적용 기계 제조업,고압 수소 어닐링 장비,403870,HPSP,kosdaq global,2026-05-26,"60,100","71,500","16,500",30.0,"16,855,107","1,205,140","58,844"
특수 목적용 기계 제조업,반도체 제조용 기계,240810,원익IPS,kosdaq global,2026-05-11,"141,600","183,300","42,300",30.0,"4,035,281","739,667","89,970"
특수 목적용 기계 제조업,반도체장비(화학증착장비),095610,테스,kosdaq global,2026-06-10,"173,400","182,200","11,600",6.8,"1,222,448","222,730","35,273"
금융 지원 서비스업,금융 지원 서비스,473050,유안타제15호스팩,kosdaq,2026-06-09,"2,080","2,080",10,0.48,943,1,145
금융 지원 서비스업,금융 지원 서비스(기업인수목적회사),474490,유안타제16호스팩,kosdaq,2026-03-18,"2,055","2,060",10,0.49,"1,202",2,113
금융 지원 서비스업,기업인수합병,464440,한국제13호스팩,kosdaq,2026-06-01,"2,115","2,115",5,0.24,"130,209",275,91
기타 금융업,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)",900070,글로벌에스엠,kosdaq,2026-04-24,634,"1,120",510,83.61,"894,358","1,001",300
기타 금융업,화장품용 진주광택안료,900310,컬러레이,kosdaq,2026-06-10,"1,840","1,895",55,2.99,"45,728",86,242
반도체 제조업,디지털오디오앰프칩,101400,엔시트론,kosdaq,2026-05-15,"2,165","2,200",160,7.84,"144,977",318,258
반도체 제조업,메모리 반도체 테스트,200470,에이팩트,kosdaq,2026-05-27,"10,360","11,500","1,330",13.08,"2,736,387","31,468","4,871"
반도체 제조업,반도체용 전구체 및 히터블록,241770,메카로,kosdaq,2026-04-22,"42,150","46,550","6,600",16.52,"214,880","10,002","4,744"
"서적, 잡지 및 기타 인쇄물 출판업",Smart Phonics 등(외국어 어학교재),134060,이퓨쳐,kosdaq,2026-06-11,"4,595","4,790",195,4.24,"33,881",162,228
소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",950190,고스트스튜디오,kosdaq,2026-06-11,"8,960","9,130",170,1.9,"83,492",762,"1,188"
"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관",079650,서산,kosdaq,2026-03-17,"1,570","1,690",390,30.0,"7,608,971","12,859",338
유리 및 유리제품 제조업,반도체용 석영유리,074600,원익QnC,kosdaq,2026-05-08,"39,800","42,150","5,950",16.44,"1,897,400","79,975","11,080"
의약품 제조업,완제의약품제조,082800,비보존 제약,kosdaq,2026-06-11,"3,925","4,045",120,3.06,"2,192,351","8,868","2,456"
일반 목적용 기계 제조업,"강관, 피팅, 밸브류 등",159010,아스플로,kosdaq,2026-05-28,"19,170","21,850","3,330",17.98,"420,593","9,189","2,913"
자동차 신품 부품 제조업,에어서스펜션 시트/일반고정형 시트/스프링서스펜션 시트,088290,이원컴포텍,kosdaq,2026-05-28,"2,220","2,260",165,7.88,"59,554",134,180
자동차 신품 부품 제조업,자동차부품,126640,화신정공,kosdaq,2026-06-11,"4,610","4,895",285,6.18,"22,110,388","108,230","1,715"
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,093320,케이아이엔엑스,kosdaq,2026-05-13,"121,900","125,200","10,800",9.44,"41,910","5,247","6,109"
전자부품 제조업,세라믹 STF(다층 세라믹 기판),252990,샘씨엔에스,kosdaq,2026-05-22,"14,940","16,320","1,900",13.18,"2,019,965","32,965","9,827"
전자부품 제조업,인쇄회로기판 제조업,219130,타이거일렉,kosdaq,2026-06-11,"74,500","78,700","4,200",5.64,"139,169","10,952","4,969"
전자부품 제조업,프리즘시트,073110,엘엠에스,kosdaq,2026-06-11,"6,460","6,690",230,3.56,"30,772",205,595
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",131290,티에스이,kosdaq,2026-06-11,"260,000","270,500","10,500",4.04,"160,062","43,296","29,921"
특수 목적용 기계 제조업,300mm Poly Etch System,089970,브이엠,kosdaq,2026-06-11,"85,100","97,000","11,900",13.98,"1,637,153","158,803","24,028"
특수 목적용 기계 제조업,"Descum, Reflow",031980,피에스케이홀딩스,kosdaq,2026-06-10,"138,700","152,300","18,400",13.74,"548,956","83,605","32,839"
특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",319660,피에스케이,kosdaq,2026-06-11,"149,800","169,900","20,100",13.42,"1,567,130","266,255","49,214"
특수 목적용 기계 제조업,레이저 마커 및 레이저 응용기기,039030,이오테크닉스,kosdaq,2026-05-22,"573,000","612,000","108,000",21.43,"821,531","502,776","75,395"
특수 목적용 기계 제조업,"반도체테스트핸들러,C.O.K(Change Over Kit)",089030,테크윙,kosdaq,2026-04-27,"62,100","65,300","4,200",6.87,"8,561,041","559,035","24,196"
특수 목적용 기계 제조업,실리콘질화막증착용LP-CVD,084370,유진테크,kosdaq,2026-06-11,"178,300","196,100","17,800",9.98,"568,024","111,389","44,938"
특수 목적용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)",160980,싸이맥스,kosdaq,2026-06-11,"43,550","46,500","2,950",6.77,"398,487","18,529","5,079"
