섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
Communication Services,Interactive Home Entertainment,TTWO,Take-Two Interactive,s&p500,2026-06-29,247.15,249.98,2.83,1.15,"3,053,191",763.24,N/A
Communication Services,Movies & Entertainment,LYV,Live Nation Entertainment,s&p500,2026-06-29,182.56,183.11,0.55,0.3,"2,628,145",481.24,N/A
Consumer Discretionary,Distributors,GPC,Genuine Parts Company,s&p500,2026-06-29,117.18,117.98,0.80,0.68,"1,206,140",142.30,N/A
Consumer Discretionary,Home Improvement Retail,HD,Home Depot (The),s&p500,2026-04-20,350.99,352.68,1.87,0.53,"3,034,746","1,070.29",N/A
Consumer Staples,Food Distributors,SYY,Sysco,s&p500,2026-06-29,83.40,83.58,0.18,0.22,"2,188,136",182.88,N/A
Financials,Insurance Brokers,AJG,Arthur J. Gallagher & Co.,s&p500,2026-06-29,227.12,229.57,2.45,1.08,"1,055,919",242.41,N/A
Financials,Multi-line Insurance,AIZ,Assurant,s&p500,2026-06-29,267.98,268.53,0.55,0.21,"235,647",63.28,N/A
Financials,Transaction & Payment Processing Services,V,Visa Inc.,s&p500,2026-06-29,341.65,343.09,1.44,0.42,"7,445,905","2,554.62",N/A
Health Care,Biotechnology,AMGN,Amgen,s&p500,2026-06-29,360.55,362.12,1.57,0.44,"2,237,859",810.37,N/A
Health Care,Biotechnology,MRNA,Moderna,s&p500,2026-06-29,69.70,70.03,0.33,0.47,"8,681,774",607.98,N/A
Health Care,Health Care Services,DVA,DaVita,s&p500,2026-06-29,219.70,222.48,2.78,1.27,"801,846",178.39,N/A
Health Care,Health Care Services,LH,Labcorp,s&p500,2026-06-29,279.58,280.00,0.42,0.15,"578,343",161.94,N/A
Health Care,Health Care Supplies,WST,West Pharmaceutical Services,s&p500,2026-06-29,354.68,359.00,4.32,1.22,"758,734",272.39,N/A
Health Care,Life Sciences Tools & Services,CRL,Charles River Laboratories,s&p500,2026-06-29,225.57,226.79,1.22,0.54,"701,816",159.16,N/A
Health Care,Managed Health Care,HUM,Humana,s&p500,2026-06-29,388.90,397.22,8.32,2.14,"1,518,244",603.08,N/A
Industrials,Aerospace & Defense,AXON,Axon Enterprise,s&p500,2026-06-04,513.20,560.61,50.01,9.79,"1,515,823",849.79,N/A
Industrials,Aerospace & Defense,GE,GE Aerospace,s&p500,2026-06-29,373.71,373.73,0.02,0.01,"2,928,108","1,094.32",N/A
Industrials,Agricultural & Farm Machinery,DE,Deere & Company,s&p500,2026-06-25,630.76,634.33,7.70,1.23,"1,074,403",681.53,N/A
Industrials,Building Products,LII,Lennox International,s&p500,2026-06-25,570.73,572.95,4.12,0.72,"411,615",235.83,N/A
Industrials,Building Products,MAS,Masco,s&p500,2026-06-29,80.50,81.37,0.87,1.08,"1,729,158",140.70,N/A
