구분,지표명,티커,기존최고가달성일,기존최고가,당일종가,대비,등락률
주요지수,니케이 225,^N225,2026-06-01,66934.33,68402.13,1667.89,2.5
주요지수,코스피 지수,^KS11,2026-06-01,8788.38,8801.49,13.11,0.15
환율,원/달러 환율,USDKRW=X,2026-06-03,1516.6,1531.85,15.25,1.01
