섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
"구조용 금속제품, 탱크 및 증기발생기 제조업","데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업",058730,다스코,kospi,2026-04-08,"3,975","4,105",945,29.91,"22,331,863","91,672",818
기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",034730,SK,kospi,2026-06-22,"730,000","858,000","146,000",20.51,"852,369","731,332","622,073"
기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",03473K,SK우,kospi,2026-06-19,"440,500","478,500","54,500",12.85,"14,158","6,774","2,708"
"내화, 비내화 요업제품 제조업",내화 요업제품,462520,조선내화,kospi,2026-06-17,"15,220","15,730",660,4.38,"92,415","1,453","1,864"
통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",005935,삼성전자우,kospi,2026-06-02,"231,500","235,000","21,500",10.07,"8,044,722","1,890,509","1,885,572"
"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입",009460,한창제지,kospi,2026-06-17,"2,500","2,545",60,2.41,"59,476",151,303
1차 철강 제조업,마봉,026910,광진실업,kosdaq,2026-06-22,"4,790","4,935",160,3.35,"286,867","1,415",366
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105",5,0.24,"22,483",47,153
소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,208640,썸에이지,kosdaq,2026-04-27,235,854,733,605.79,"532,368",454,118
의료용 기기 제조업,라파엘스마트글러브 외,290660,다이나믹솔루션,kosdaq,2026-05-08,"1,204","1,950","1,011",107.67,"1,049,085","2,045",835
의료용 기기 제조업,의료기기 및 미용기기,219750,한국비티비,kosdaq,2026-04-01,957,"2,395","1,824",319.44,"73,020",174,313
의료용 기기 제조업,정밀 체성분 분석기,041830,인바디,kosdaq,2026-05-22,"47,350","48,000","1,700",3.67,"88,677","4,256","6,470"
의약품 제조업,"인체조직(피부, 뼈, 연골)",290650,엘앤씨바이오,kosdaq,2026-06-24,"94,200","97,100","2,900",3.08,"488,058","47,390","26,187"
자동차 신품 부품 제조업,자동차 신품 부품,097780,에코볼트,kosdaq,2026-06-24,"1,400","1,439",39,2.79,"52,803",75,292
특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,420770,기가비스,kosdaq,2026-06-22,"159,200","161,500","5,700",3.66,"158,142","25,539","20,471"
