섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,137A,Cocolive Inc,tse,2026-07-02,827,851,814,831,+10.51%,+0.48%,8,0.97,"27,000",22,N/A
고용 서비스,52203030,302A,bstyle Holdings Inc,tse,2026-05-15,603,605,572,605,+0.83%,+9.01%,30,5.22,"2,200",1,N/A
광고 및 마케팅,53302010,331A,Medix Inc,tse,2026-07-09,495,495,490,495,+2.91%,+1.23%,0,0.0,"3,300",1,N/A
온라인 서비스,57201030,472A,Mirrativ Inc,tse,2026-04-17,548,562,562,562,+10.63%,+24.89%,80,16.6,"111,300",62,N/A
투자 관리 및 펀드 운영,55102020,254A,AI Fusion Capital Group Corp,tse,2026-07-09,"1,228","1,315","1,251","1,299",+29.25%,+28.36%,71,5.78,"233,200",302,N/A
