섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
가정용 가구,53204040,002489,Yotrio Group Co Ltd Class A,szse,2026-07-06,303,303,300,303,+7.83%,+4.84%,0,0.0,"47,200",14,N/A
건설 및 엔지니어링,52201020,002060,Guangdong Construction Engineering Group Co Ltd Class A,szse,2026-05-19,"1,268","1,275","1,255","1,272",+7.71%,+4.35%,11,0.87,"70,300",89,N/A
건설 및 엔지니어링,52201020,002307,Xinjiang Beixin Road & Bridge Group Co Ltd Class A,szse,2026-04-17,998,"1,020",996,"1,009",+4.56%,+5.43%,17,1.71,"39,300",39,N/A
건설 자재 및 비품,53203020,002798,DO&SHUIHUA Group Co Ltd Class A,szse,2026-07-07,"3,005","3,010","3,005","3,010",+1.76%,+0.50%,5,0.17,"1,200",3,N/A
고속도로 및 철도,52407030,000429,Guangdong Provincial Expressway Development Co Ltd Class A,szse,2026-07-07,14.35,14.98,14.14,14.72,+15.27%,+9.20%,0.37,2.58,"8,902,271",131,N/A
광고 및 마케팅,53302010,002181,Guangdong Guangzhou Daily Media Co Ltd Class A,szse,2026-07-06,259.40,261.60,258.70,259.70,+8.93%,+7.18%,1.40,0.54,"4,589,800","1,191",N/A
농화학제,51101020,002170,Shenzhen Batian Ecotypic Engineering Co Ltd Class A,szse,2026-07-07,580,602,578,596,-0.89%,+9.96%,16,2.76,"601,700",358,N/A
농화학제,51101020,002588,Stanley Agriculture Group Co Ltd Class A,szse,2026-07-07,"3,845","3,885","3,785","3,885",+3.74%,+7.17%,40,1.04,"2,000",7,N/A
농화학제,51101020,002734,Limin Group Co Ltd Class A,szse,2026-07-07,"1,121","1,174","1,103","1,156",+8.98%,+9.47%,35,3.12,"544,900",629,N/A
다각적 화학 산업,51101090,002004,Huapont Life Sciences Co Ltd Class A,szse,2026-07-07,"3,470","3,520","3,400","3,485",+7.40%,+4.34%,15,0.43,"86,800",302,N/A
민자 발전 사업,59101020,002608,Jiangsu Guoxin Corp Ltd Class A,szse,2026-04-09,0.01,0.01,0.01,0.01,+0.00%,+0.00%,0,0.0,"10,000",0,N/A
반도체,57101010,002077,Jiangsu Dagang Co Ltd Class A,szse,2026-06-30,19.29,19.78,18.59,19.50,+24.36%,+3.23%,0.43,2.25,"95,487,823","1,862",N/A
반도체,57101010,301251,Jiangxi Welgao Electronics Co Ltd Class A,szse,2026-06-24,55.90,60.92,58.83,60.92,+31.76%,+17.72%,10.15,19.99,"22,380,255","1,363",N/A
반도체 장비 및 테스트,57101020,002371,Naura Technology Group Co Ltd Class A,szse,2026-07-06,"3,577","3,652","3,609","3,650",+67.09%,+7.67%,80,2.24,"953,700","3,481",N/A
"부동산 임대, 개발 및 운영",60101010,002146,Risesun Real Estate Development Co Ltd Class A,szse,2026-06-30,1.49,1.51,1.48,1.51,+42.45%,+1.34%,0.03,2.03,"519,500",0,N/A
산업용 기계 및 장비,52102010,003033,Qingdao CHOHO Industrial Co Ltd Class A,szse,2026-07-07,67.44,69.49,66.50,68.22,+12.76%,+16.22%,0.78,1.16,"3,766,821",256,N/A
산업용 기계 및 장비,52102010,002122,HuiZhou Intelligence Technology Group Co Ltd Class A,szse,2026-07-07,"1,376","1,389","1,378","1,379",+9.62%,+3.30%,3,0.22,"4,900",6,N/A
산업용 기계 및 장비,52102010,002175,Guangxi Oriental Intelligent Manufacturing Technology Co Ltd Class A,szse,2026-07-07,"2,334","2,388","2,316","2,387",+39.59%,+8.35%,53,2.27,"448,000","1,069",N/A
산업용 기계 및 장비,52102010,002698,Harbin Boshi Automation Co Ltd Class A,szse,2026-07-07,"3,535","3,570","3,535","3,540",+8.26%,+2.61%,5,0.14,"13,500",47,N/A
산업용 기계 및 장비,52102010,300540,Sichuan Shudao Equipment & Technology Co Ltd Class A,szse,2026-07-01,43.21,44.87,39.93,44.31,+119.14%,+2.55%,1.41,3.29,"28,845,971","1,278",N/A
상품 화학,51101010,002768,Qingdao Gon Technology Co Ltd Class A,szse,2026-07-07,58,62.66,58.01,60.01,+86.79%,+16.30%,2.01,3.47,"22,285,094","1,337",N/A
상품 화학,51101010,000301,Jiangsu Eastern Shenghong Co Ltd Class A,szse,2026-07-07,4.56,4.86,4.40,4.82,+219.21%,+20.20%,0.26,5.7,"1,308,535",6,N/A
상품 화학,51101010,002326,Zhejiang Yongtai Technology Co Ltd Class A,szse,2026-04-09,0.01,0.01,0.01,0.01,+0.00%,+0.00%,0,0.0,"50,000",0,N/A
상품 화학,51101010,002053,Yunnan Energy Investment Co Ltd Class A,szse,2026-07-07,"1,897","1,931","1,907","1,925",+9.44%,+4.73%,28,1.48,"56,600",108,N/A
상품 화학,51101010,002497,Sichuan Yahua Industrial Group Co Ltd Class A,szse,2026-05-11,517,519,511,518,+1.77%,+3.19%,7,1.37,"28,800",14,N/A
상품 화학,51101010,002597,Anhui Jinhe Industrial Co Ltd Class A,szse,2026-07-07,"1,136","1,155","1,136","1,144",+5.05%,+3.06%,8,0.7,"6,700",7,N/A
상품 화학,51101010,002805,Shandong Fengyuan Chemical Co Ltd Class A,szse,2026-07-07,"5,890","6,130","5,910","5,940",+17.62%,+15.12%,50,0.85,"79,900",474,N/A
식품 가공,54102020,002910,Lanzhou Zhuangyuan Pasture Co Ltd Class A,szse,2026-06-22,12.82,12.87,11.74,12.87,+20.17%,+13.29%,1.17,10.0,"31,169,400",401,N/A
식품 가공,54102020,002299,Fujian Sunner Development Co Ltd Class A,szse,2026-06-25,5.80,5.96,5.96,5.96,+19.03%,+12.88%,0.24,4.2,"14,000",0,N/A
식품 가공,54102020,002910,Lanzhou Zhuangyuan Pasture Co Ltd Class A,szse,2026-07-07,"1,361","1,375","1,363","1,370",+0.48%,+3.01%,9,0.66,"30,700",42,N/A
알루미늄,51201030,002501,Jilin Liyuan Precision Manufacturing Co Ltd Class A,szse,2026-06-26,"2,046","2,105.50","2,000.50","2,082",+11.98%,+11.22%,36.50,1.78,"2,150,800","4,477",N/A
어업 및 농업,54102010,002124,Tech-bank Food Co Ltd Class A,szse,2026-07-07,873,880,867,877,+2.15%,+4.28%,4,0.46,"353,300",309,N/A
의류 및 액세서리,53202020,002154,Baoxiniao Holding Co Ltd Class A,szse,2026-07-07,"1,961","1,982","1,961","1,963",+10.50%,+3.64%,2,0.1,"173,200",339,N/A
