섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 및 엔지니어링,52201020,CCC,CDC Construction JSC,hose,2026-07-07,"7,490","7,490","7,440","7,490",+139119.33%,+1.22%,0,0.0,500,3,N/A
상품 화학,51101010,APH,An Phat Holdings JSC,hose,2026-07-02,"5,490","5,580","5,480","5,490",+3640.84%,+0.55%,0,0.0,"123,900",680,N/A
식품 가공,54102020,HSL,Hong Ha Food Investment Development JSC,hose,2026-07-09,"9,300","9,950","9,400","9,950",+97.42%,+27.89%,650,6.99,"2,245,000","22,337",N/A
철 및 강철,51201020,TNI,Thanh Nam Group JSC,hose,2026-07-09,"5,450","5,830","5,350","5,550",+9.68%,+9.04%,100,1.83,"2,808,300","15,586",N/A
타이어 및 고무 제품,53101030,CSM,Southern Rubber Industry JSC,hose,2026-07-09,"13,950","14,550","13,900","14,350",+14.80%,+5.13%,400,2.87,"1,435,000","20,592",N/A
