섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,002421,Shenzhen Das Intellitech Co Ltd Class A,szse,2026-05-08,0.64,0.65,0.62,0.64,+12.28%,+3.23%,0.04,6.67,"212,000",0,N/A
가정용 가구,53204040,002489,Yotrio Group Co Ltd Class A,szse,2026-07-06,303,305,300,303,+8.99%,+2.02%,5,1.68,"48,400",14,N/A
건설 및 엔지니어링,52201020,002163,Hainan Development Holdings Nanhai Co Ltd Class A,szse,2026-07-09,"2,020","2,028","2,013","2,026",+3.53%,+0.70%,6,0.3,"12,600",25,N/A
건설 및 엔지니어링,52201020,002307,Xinjiang Beixin Road & Bridge Group Co Ltd Class A,szse,2026-07-08,"1,009","1,020",996,"1,019",+5.82%,+4.30%,25,2.52,"16,400",16,N/A
건설 자재 및 비품,53203020,002798,DO&SHUIHUA Group Co Ltd Class A,szse,2026-07-08,"3,010","3,015","3,010","3,010",+1.79%,+0.40%,5,0.17,700,2,N/A
경영 지원 서비스,52203040,001269,Inner Mongolia OJing Science & Technology Co Ltd Class A,szse,2026-06-08,0.04,0.04,0.04,0.04,+13.51%,+7.69%,0.00,7.69,"20,000",0,N/A
경영 지원 서비스,52203040,002335,Kehua Data Co Ltd Class A,szse,2026-07-07,"1,060","1,065","1,052","1,064",+2.90%,+1.82%,12,1.14,"6,400",6,N/A
다각적 산업용 제품 도매,52202010,000900,Xiandai Investment Co Ltd Class A,szse,2026-07-09,8.50,8.58,8.50,8.60,+10.11%,+3.97%,0.10,1.18,"16,000",0,N/A
민자 발전 사업,59101020,002608,Jiangsu Guoxin Corp Ltd Class A,szse,2026-04-14,0.01,0.01,0.01,0.01,+0.00%,+0.00%,0,0.0,"24,000",0,N/A
반도체,57101010,001270,Zhejiang Chengchang Technology Co Ltd Class A,szse,2026-07-07,165.60,168.49,158.20,166.27,+28.94%,+1.81%,2.05,1.25,"10,447,350","1,737",N/A
반도체,57101010,002745,MLS Co Ltd Class A,szse,2026-06-26,12.78,13.98,12.94,13.10,+55.21%,+9.53%,0.38,2.99,"138,652,420","1,816",N/A
반도체,57101010,001298,Shenzhen Best of Best Holdings Co Ltd Class A,szse,2026-06-16,1,1.20,1.20,1.20,+26.32%,+20.00%,0.20,20.0,"1,000",0,N/A
반도체,57101010,002916,Shennan Circuits Co Ltd Class A,szse,2026-07-07,743,744,735,744,+4.49%,+0.81%,6,0.81,"1,300",0,N/A
반도체,57101010,300458,All Winner Technology Co Ltd Class A,szse,2026-07-09,40.63,43.13,40.32,42.15,+34.80%,+11.95%,1.52,3.74,"102,631,536","4,325",N/A
반도체,57101010,300689,Shenzhen Chengtian Weiye Technology Co Ltd Class A,szse,2026-07-01,70.80,74.53,68.86,72.95,+56.02%,+9.70%,2.94,4.2,"3,103,930",226,N/A
반도체,57101010,301099,Shanghai Yct Electronics Group Co Ltd Class A,szse,2026-07-01,100,103.63,91,100.17,+92.04%,+14.99%,7.33,7.9,"13,044,739","1,306",N/A
반도체 장비 및 테스트,57101020,002185,Tianshui Huatian Technology Co Ltd Class A,szse,2026-07-09,23.73,23.73,21.41,26.10,+111.43%,+33.78%,2.37,9.99,"58,528,110","1,527",N/A
반도체 장비 및 테스트,57101020,300604,Hangzhou Changchuan Technology Co Ltd Class A,szse,2026-07-09,374,395,373.50,378.50,+179.90%,+25.04%,4.50,1.2,"24,351,677","9,217",N/A
"배달, 우편, 항공 화물 및 육상 물류",52405010,002120,YUNDA Holding Group Co Ltd Class A,szse,2026-04-15,201,205,199,205,+5.67%,+2.50%,6,3.02,"746,600",153,N/A
"부동산 임대, 개발 및 운영",60101010,000838,CASIN Real Estate Development Group Co Ltd Class A,szse,2026-04-14,2.09,2.21,1.96,2.21,+1.38%,+24.86%,0.20,9.95,"61,302,004",135,N/A
"부동산 임대, 개발 및 운영",60101010,000718,Suning Universal Co Ltd Class A,szse,2026-06-24,0.03,0.04,0.04,0.04,+6.06%,+16.67%,0.00,2.94,"80,000",0,N/A
산업용 기계 및 장비,52102010,002158,Shanghai Hanbell Precise Machinery Co Ltd Class A,szse,2026-06-30,37.08,38.05,34.26,38.05,+59.29%,+5.78%,3.46,10.0,"26,691,022","1,015",N/A
산업용 기계 및 장비,52102010,003033,Qingdao CHOHO Industrial Co Ltd Class A,szse,2026-07-09,69.50,71.39,68.14,70.63,+22.36%,+17.93%,1.13,1.63,"1,929,200",136,N/A
산업용 기계 및 장비,52102010,002031,Greatoo Intelligent Equipment Inc Class A,szse,2026-06-29,0.41,0.41,0.41,0.41,+14.08%,+0.00%,0,0.0,"10,000",0,N/A
산업용 기계 및 장비,52102010,002122,HuiZhou Intelligence Technology Group Co Ltd Class A,szse,2026-07-09,"1,380","1,393","1,380","1,393",+11.89%,+4.11%,13,0.94,"1,200",1,N/A
산업용 기계 및 장비,52102010,002438,Jiangsu Shentong Valve Co Ltd Class A,szse,2026-07-07,375,380,360,378,+7.41%,+6.18%,16,4.42,"104,400",39,N/A
산업용 기계 및 장비,52102010,002698,Harbin Boshi Automation Co Ltd Class A,szse,2026-07-08,"3,540","3,600","3,515","3,560",+10.22%,+0.85%,60,1.71,"15,900",56,N/A
산업용 기계 및 장비,52102010,002997,Rayhoo Motor Dies Co Ltd Class A,szse,2026-07-09,"1,099","1,349","1,338","1,338",+39.67%,+42.64%,239,21.75,"541,200",724,N/A
상품 화학,51101010,002361,Anhui Shenjian New Materials Co Ltd Class A,szse,2026-06-23,5.07,5.09,5.02,5.09,+2.27%,+1.80%,0.09,1.8,"1,500",0,N/A
상품 화학,51101010,002497,Sichuan Yahua Industrial Group Co Ltd Class A,szse,2026-07-08,518,520,515,520,+2.77%,+2.56%,3,0.58,"13,600",7,N/A
생명 공학 및 의학 연구,56202010,300759,Pharmaron Beijing Co Ltd Class A,szse,2026-04-16,31.39,34.90,30.09,34.64,+12.94%,+17.91%,3.66,11.81,"76,795,900","2,660",N/A
식품 가공,54102020,002166,Guilin Layn Natural Ingredients Corp Class A,szse,2026-07-09,6.31,6.95,6.23,6.77,+150.39%,+35.13%,0.46,7.29,"2,964,000",20,N/A
식품 가공,54102020,300765,CSPC Innovation Pharmaceutical Co Ltd Class A,szse,2026-07-06,36.73,39.58,35.80,38.70,+16.95%,+5.42%,2.32,6.38,"20,092,930",777,N/A
어업 및 농업,54102010,000048,Shenzhen Kingkey Smart Agriculture Times Co Ltd Class A,szse,2026-07-01,22.50,24.10,22.44,24.10,+56.49%,+13.47%,2.19,10.0,"21,508,428",518,N/A
온라인 서비스,57201030,002174,YOOZOO Interactive Co Ltd Class A,szse,2026-06-24,12.83,13.13,12.45,13.02,+35.48%,+5.60%,0.51,4.08,"40,527,194",527,N/A
온라인 서비스,57201030,300592,Huakai Yibai Technology Co Ltd Class A,szse,2026-07-06,18.86,19.18,18.20,18.94,+44.58%,+3.78%,0.45,2.43,"10,436,640",197,N/A
용기(종이 제외) 및 포장재,51302010,002735,Shenzhen Prince New Materials Co Ltd Class A,szse,2026-07-09,644,676,659,671,+11.83%,+6.17%,27,4.19,"164,800",110,N/A
의료 시설 및 서비스,56102010,300244,Dian Diagnostics Group Co Ltd Class A,szse,2026-05-11,20.73,21.28,18.03,20.94,+15.42%,+3.56%,2.60,14.18,"54,447,608","1,140",N/A
의류 및 액세서리,53202020,002269,Shanghai Metersbonwe Fashion&Accessories Co Ltd Class A,szse,2026-07-06,37.80,39.66,36.84,39.10,+10.83%,+4.10%,2.04,5.5,"31,508,492","1,231",N/A
"자동차, 트럭 및 오토바이 부품",53101020,002536,Feilong Auto Components Co Ltd Class A,szse,2026-07-06,55,57.27,52.10,55.13,+59.44%,+6.10%,2.44,4.63,"37,273,194","2,054",N/A
"자동차, 트럭 및 오토바이 부품",53101020,301607,Zhejiang EV-Tech Co Ltd Class A,szse,2026-07-09,57.37,62.60,57.49,58.48,+20.35%,+12.46%,1.11,1.93,"16,004,696",935,N/A
전기 부품 및 장비,52102030,002364,Hangzhou Zhonhen Electric Co Ltd Class A,szse,2026-05-28,59.04,59.86,56,59.86,+55.24%,+13.16%,5.44,10.0,"36,318,045","2,173",N/A
전기 부품 및 장비,52102030,002518,Shenzhen Kstar Science & Technology Co Ltd Class A,szse,2026-07-09,38.76,39.84,38.90,39.84,+12.77%,+12.93%,1.08,2.79,"8,000",0,N/A
전기 부품 및 장비,52102030,002533,Gold Cup Electric Apparatus Co Ltd Class A,szse,2026-07-09,508,514,498,511,+18.01%,+2.82%,3,0.59,"225,800",115,N/A
전기 부품 및 장비,52102030,002676,Guangdong Sunwill Precising Plastic Co Ltd Class A,szse,2026-06-17,"2,164","2,200","2,134","2,190",+8.52%,+2.53%,80,3.79,"39,800",87,N/A
전기 부품 및 장비,52102030,002892,Keli Motor Group Co Ltd Class A,szse,2026-07-06,"4,245","4,355","4,275","4,315",+11.93%,+2.49%,105,2.49,"3,100",13,N/A
전기 부품 및 장비,52102030,301310,Wuxi Xinhongye Wire & Cable Co Ltd Class A,szse,2026-06-29,58.01,60.78,52.20,58.55,+63.18%,+9.95%,5.93,11.27,"9,754,552",571,N/A
전자 장비 및 부품,57104010,001287,Shenzhen CECport Technologies Co Ltd Class A,szse,2026-07-06,31.47,32.57,30.55,31.90,+18.91%,+11.50%,1.14,3.71,"53,919,594","1,720",N/A
전자 장비 및 부품,57104010,002841,Guangzhou Shiyuan Electronic Technology Co Ltd Class A,szse,2026-07-09,52.13,55.98,53.60,54.38,+62.68%,+41.84%,2.25,4.32,"30,879,322","1,679",N/A
전자 장비 및 부품,57104010,002222,Castech Inc Class A,szse,2026-06-08,0.67,0.67,0.67,0.67,+3.08%,+3.08%,0.01,1.52,"10,500",0,N/A
전자 장비 및 부품,57104010,002217,Holitech Technology Co Ltd Class A,szse,2026-07-07,"1,562","1,564","1,555","1,562",+2.49%,+0.84%,7,0.45,"8,600",13,N/A
전자 장비 및 부품,57104010,002222,Castech Inc Class A,szse,2026-07-08,"2,586","2,626.50","2,562","2,613",+28.43%,+2.67%,52,2.03,"310,300",810,N/A
제약,56201040,002317,Guangdong Zhongsheng Pharmaceutical Co Ltd Class A,szse,2026-07-06,28.99,29.54,26.03,29.54,+62.14%,+7.65%,2.69,10.02,"48,390,980","1,429",N/A
제약,56201040,002821,Asymchem Laboratories (Tianjin) Co Ltd Class A,szse,2026-06-29,167.75,171.54,156.50,169.40,+41.26%,+2.17%,8.17,5.07,"10,957,452","1,856",N/A
제약,56201040,002907,Chongqing Pharscin Pharmaceutical Co Ltd Class A,szse,2026-04-16,14.47,14.80,14,14.65,+3.80%,+6.39%,0.29,2.02,"11,962,144",175,N/A
제약,56201040,002907,Chongqing Pharscin Pharmaceutical Co Ltd Class A,szse,2026-07-09,"1,629","1,690","1,630","1,687",+22.25%,+7.73%,58,3.56,"28,300",47,N/A
제약,56201040,300199,Hybio Pharmaceutical Co Ltd Class A,szse,2026-07-06,25.80,26.78,25.06,26.48,+26.22%,+6.00%,0.70,2.72,"65,257,149","1,728",N/A
제약,56201040,300434,Sichuan Goldstone Asia Pharmaceutical Inc Class A,szse,2026-05-11,11.83,12.26,11.18,12.16,+22.09%,+6.57%,0.68,5.92,"29,371,550",357,N/A
제약,56201040,301080,Acrobiosystems Co Ltd Class A,szse,2026-07-06,49.60,52.30,47.09,51.96,+9.51%,+6.28%,3.91,8.14,"5,167,215",268,N/A
종이 포장재,51302020,002303,MYS Group Co Ltd Class A,szse,2026-07-09,4.33,4.67,4.21,4.60,+40.44%,+6.98%,0.27,6.24,"66,306,706",305,N/A
중장비 및 차량,52102020,002483,Jiangsu Rainbow Heavy Industries Co Ltd Class A,szse,2026-07-09,"2,356","2,400","2,350","2,380",+33.86%,+5.31%,24,1.02,"3,200",7,N/A
중전기장비,52102040,002270,Huaming Power Equipment Co Ltd Class A,szse,2026-07-07,5.50,5.88,5.61,5.88,+43.41%,+50.77%,0.38,6.91,"14,000",0,N/A
지상 화물 및 물류,52405030,300873,Hichain Logistics Co Ltd Class A,szse,2026-07-03,31,32.23,28.80,31.15,+98.01%,+0.48%,1.37,4.6,"18,866,602",587,N/A
컴퓨터 하드웨어,57106010,000977,IEIT SYSTEMS Co Ltd Class A,szse,2026-07-09,85.99,94.38,90.36,93.67,+37.14%,+41.18%,7.68,8.93,"190,320,284","17,827",N/A
타이어 및 고무 제품,53101030,002224,Sanlux Co Ltd Class A,szse,2026-07-09,"3,680","3,695","3,670","3,680",+1.24%,+0.27%,0,0.0,"1,900",6,N/A
통신 및 네트워킹,57102010,000063,ZTE Corp Class A,szse,2026-07-09,40.33,43,39.63,42.38,+18.65%,+16.49%,2.05,5.08,"313,376,983","13,280",N/A
통합 통신 서비스,57401010,301165,Ruijie Networks Co Ltd Class A,szse,2026-07-09,109.18,114.99,105,109.56,+67.50%,+15.46%,0.38,0.35,"29,784,499","3,263",N/A
통합 하드웨어 및 소프트웨어,57107010,000938,Unisplendour Corp Ltd Class A,szse,2026-07-09,35.68,39.25,36.20,39.25,+39.34%,+29.62%,3.57,10.01,"259,947,775","10,202",N/A
투자 은행 및 중개 서비스,55102010,002926,Huaxi Securities Co Ltd Class A,szse,2026-07-03,105,107,105,106,+6.00%,+0.95%,1,0.95,"404,200",42,N/A
특수 채굴 및 금속,51201050,002182,Baowu Magnesium Technology Co Ltd Class A,szse,2026-05-08,0.35,0.35,0.35,0.35,-4.05%,+10.94%,0.03,9.23,"8,000",0,N/A
특수 채굴 및 금속,51201050,002114,Yunnan Luoping Zinc & Electricity Co Ltd Class A,szse,2026-07-09,632,634,630,633,+3.60%,+1.28%,1,0.16,"3,900",2,N/A
특수 채굴 및 금속,51201050,301307,Chongqing Millison Technologies Inc Class A,szse,2026-07-09,92.84,101.50,88.66,98.25,+143.98%,+21.01%,5.41,5.83,"16,082,556","1,580",N/A
특수 화학제,51101030,002340,GEM Co Ltd Class A,szse,2026-07-07,493,495,492,494,+1.44%,+0.41%,1,0.2,"12,700",6,N/A
특수 화학제,51101030,300487,Sunresin New Materials Co Ltd Class A,szse,2026-07-03,74.58,85.15,74.35,84.81,+20.38%,+13.72%,13.83,19.48,"21,682,227","1,838",N/A
