섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
,,505A,Geekly Inc,tse,2026-04-21,"1,328.32","1,378","1,293","1,363",+6.36%,+6.48%,40,3.02,"151,100",205,N/A
가정용 제품,54201010,365A,Izawa Towel Co Ltd,tse,2026-07-13,758,766,756,766,+5.80%,+2.41%,8,1.06,"97,000",74,N/A
경영 지원 서비스,52203040,189A,D&M Company Co Ltd,tse,2026-07-03,975,996,972,993,+7.79%,+1.95%,21,2.16,"8,000",7,N/A
고용 서비스,52203030,302A,bstyle Holdings Inc,tse,2026-07-13,626,659,630,658,+9.48%,+20.07%,32,5.11,"14,400",9,N/A
고용 서비스,52203030,421A,Movin' Strategic Career Co Ltd,tse,2026-07-13,"4,085","4,235","4,020","4,150",+80.28%,+8.92%,65,1.59,"57,100",236,N/A
광고 및 마케팅,53302010,331A,Medix Inc,tse,2026-07-09,495,495,493,495,+2.91%,+0.61%,1,0.2,"1,100",0,N/A
부동산 서비스,60101020,276A,CCReB Advisors Inc,tse,2026-04-21,"3,475","3,650","3,435","3,585",+14.90%,+8.31%,115,3.31,"84,100",301,N/A
투자 관리 및 펀드 운영,55102020,319A,Next Generation Technology Group Inc,tse,2026-07-13,"19,540","20,940","19,400","20,370",+50.33%,+23.91%,830,4.25,"31,400",639,N/A
