섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
"가전제품, 도구 및 가정 용품",53204030,000333,Midea Group Co Ltd Class A,szse,2026-06-11,81.22,82.38,80.58,82.24,+10.94%,+3.56%,1.06,1.31,"18,022,922","1,482",N/A
"가전제품, 도구 및 가정 용품",53204030,002005,Elec-Tech International Co Ltd Class A,szse,2026-04-17,2.45,2.45,2.38,2.45,-1.52%,+5.15%,0.07,2.94,"1,858,000",4,N/A
가정용 가구,53204040,002293,Luolai Lifestyle Technology Co Ltd Class A,szse,2026-07-14,"2,749","2,752","2,749","2,752",+0.81%,+1.10%,3,0.11,900,2,N/A
가정용 전자 제품,57106030,002429,Shenzhen MTC Co Ltd Class A,szse,2026-07-14,2.63,2.66,2.63,2.66,+4.31%,+4.31%,0.03,1.14,"429,000",1,N/A
건설 및 엔지니어링,52201020,002541,Anhui Honglu Steel Construction (Group) Co Ltd Class A,szse,2026-04-17,21.04,21.39,19.66,21.37,-0.84%,+13.49%,1.75,8.92,"12,598,624",269,N/A
건설 및 엔지니어링,52201020,002663,Pubang Landscape Architecture Co Ltd Class A,szse,2026-07-10,0.47,0.49,0.47,0.47,+66.67%,+11.76%,0.01,2.15,"250,000",0,N/A
건설 및 엔지니어링,52201020,002060,Guangdong Construction Engineering Group Co Ltd Class A,szse,2026-07-14,"1,292","1,307","1,287","1,296",+14.19%,+1.89%,4,0.31,"34,700",44,N/A
건설 자재 및 비품,53203020,002798,DO&SHUIHUA Group Co Ltd Class A,szse,2026-07-13,"3,015","3,020","3,005","3,015",+1.65%,+0.17%,0,0.0,"1,200",3,N/A
경영 지원 서비스,52203040,002268,CETC Cyberspace Security Technology Co Ltd Class A,szse,2026-07-06,63.45,64.25,58.50,63.95,-1.01%,+9.69%,5.45,9.32,"6,418,344",410,N/A
농화학제,51101020,002170,Shenzhen Batian Ecotypic Engineering Co Ltd Class A,szse,2026-07-14,598,602,594,601,+7.39%,+0.84%,3,0.5,"134,300",80,N/A
