섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
"가전제품, 도구 및 가정 용품",53204030,000333,Midea Group Co Ltd Class A,szse,2026-07-20,84.30,84.80,83.51,84.80,+12.37%,+4.46%,0.53,0.63,"32,691,694","2,772",N/A
"가전제품, 도구 및 가정 용품",53204030,000651,Gree Electric Appliances Inc of Zhuhai Class A,szse,2026-07-21,40.59,40.92,40.11,40.86,+10.61%,+4.29%,0.27,0.67,"51,975,410","2,123",N/A
가정용 전자 제품,57106030,001308,Shenzhen KTC Technology Co Ltd Class A,szse,2026-07-21,36.70,38.20,35.92,37.88,+19.72%,+6.95%,1.18,3.22,"6,133,795",232,N/A
가정용 전자 제품,57106030,002429,Shenzhen MTC Co Ltd Class A,szse,2026-07-21,"2,716","2,769","2,703","2,752",+5.28%,+6.96%,36,1.33,"87,600",241,N/A
경영 지원 서비스,52203040,002335,Kehua Data Co Ltd Class A,szse,2026-07-21,"1,080","1,095","1,081","1,095",+5.19%,+3.11%,15,1.39,"18,700",20,N/A
경영 지원 서비스,52203040,300795,Zhejiang Meorient Commerce & Exhibition Inc Class A,szse,2026-07-21,13.31,14.90,12.63,14.34,+26.99%,+75.09%,1.03,7.74,"52,984,693",759,N/A
농화학제,51101020,002170,Shenzhen Batian Ecotypic Engineering Co Ltd Class A,szse,2026-07-15,606,608,590,606,+10.64%,+3.41%,1,0.17,"354,200",214,N/A
민자 발전 사업,59101020,000591,CECEP Solar Energy Co Ltd Class A,szse,2026-07-14,0.28,0.28,0.25,0.28,+28.50%,+0.00%,0.02,5.77,"1,033,000",0,N/A
반도체,57101010,300458,All Winner Technology Co Ltd Class A,szse,2026-07-09,40.63,42.90,36.45,41.71,+22.04%,+7.56%,4.18,11.14,"159,913,365","6,669",N/A
반도체,57101010,301536,SigmaStar Technology Ltd Class A,szse,2026-06-30,128.71,146.62,119.73,137,+64.94%,+21.76%,14.82,12.13,"37,789,316","5,177",N/A
"부동산 임대, 개발 및 운영",60101010,002314,Shenzhen New Nanshan Holding Group Co Ltd Class A,szse,2026-07-21,3.78,4.14,3.72,3.96,+20.48%,+18.92%,0.18,4.76,"31,860,123",126,N/A
산업용 기계 및 장비,52102010,002698,Harbin Boshi Automation Co Ltd Class A,szse,2026-07-21,29.28,31.80,28.60,31.60,+15.74%,+16.86%,2.32,7.92,"9,145,862",289,N/A
산업용 기계 및 장비,52102010,002997,Rayhoo Motor Dies Co Ltd Class A,szse,2026-07-10,"1,337","1,338","1,336","1,337",+39.13%,+0.00%,1,0.07,"96,400",128,N/A
상업 인쇄 서비스,52203020,002117,Tungkong Inc Class A,szse,2026-07-07,"2,724","2,730","2,699","2,730",-1.44%,+1.45%,9,0.33,"17,600",48,N/A
상품 화학,51101010,000408,Zangge Mining Co Ltd Class A,szse,2026-07-21,2.42,2.55,2.51,2.51,+11.61%,+14.09%,0.09,3.72,"808,000",2,N/A
상품 화학,51101010,002585,Jiangsu Shuangxing Color Plastic New Materials Co Ltd Class A,szse,2026-07-21,30,32.28,29.16,31.26,+57.28%,+36.03%,1.26,4.2,"850,800",26,N/A
상품 화학,51101010,002053,Yunnan Energy Investment Co Ltd Class A,szse,2026-07-21,"1,950","1,969","1,932","1,964",+14.39%,+4.14%,14,0.72,"41,800",82,N/A
상품 화학,51101010,002805,Shandong Fengyuan Chemical Co Ltd Class A,szse,2026-07-21,"6,090","6,130","6,050","6,130",+32.68%,+5.51%,40,0.66,"34,100",209,N/A
소프트웨어,57201020,002528,Shenzhen Infinova Ltd Class A,szse,2026-07-06,0.95,0.95,0.94,0.95,+126.19%,+7.95%,0.01,1.06,"48,000",0,N/A
소프트웨어,57201020,002602,Zhejiang Century Huatong Group Co Ltd Class A,szse,2026-07-21,"1,960","1,970","1,941","1,966",+6.44%,+4.74%,6,0.31,"296,100",582,N/A
수자원 유틸리티,59103010,000598,Chengdu Xingrong Environment Co Ltd Class A,szse,2026-07-21,7.19,7.26,7.13,7.26,+6.76%,+7.08%,0.07,0.97,"36,238,440",263,N/A
수자원 유틸리티,59103010,001376,Jiangxi Bestoo Energy Co Ltd Class A,szse,2026-07-13,"1,532","1,547","1,520","1,537",+8.92%,+0.33%,8,0.52,"12,400",19,N/A
알루미늄,51201030,002501,Jilin Liyuan Precision Manufacturing Co Ltd Class A,szse,2026-07-21,1.26,1.56,1.17,1.26,+9.57%,+21.15%,0,0.0,"8,456,000",10,N/A
어업 및 농업,54102010,002458,Shandong Yisheng Livestock & Poultry Breeding Co Ltd Class A,szse,2026-07-21,6.91,7.10,6.79,6.92,+29.59%,+15.33%,0.01,0.14,"13,200",0,N/A
온라인 서비스,57201030,002291,Guangdong Yowant Technology Group Co Ltd Class A,szse,2026-07-21,12.18,13.94,12.01,13.30,+13.88%,+24.42%,1.12,9.2,"3,646,360",48,N/A
