섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 철강 제조업,와이어로프 등,012160,영흥,kospi,2026-06-29,"1,622","2,050","1,505","1,817",+242.83%,+34.59%,207,12.86,"161,414",293,283
건물 건설업,"토목공사,건축공사/부동산 임대",013700,까뮤이앤씨,kospi,2026-05-15,"1,400","1,494","1,300","1,427",+4.47%,+13.07%,57,4.16,"715,362","1,020",852
그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)",021240,코웨이,kospi,2026-05-14,"96,200","97,100","94,000","96,200",+23.02%,+6.53%,"1,200",1.26,"40,397","3,886","68,078"
기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",010960,삼호개발,kospi,2026-07-02,"4,370","4,630","3,955","4,435",+13.72%,+36.04%,105,2.42,"2,125,734","9,427","1,069"
기타 금융업,금융지주회사,055550,신한지주,kospi,2026-07-06,"107,700","109,500","105,800","108,500",+12.20%,+13.26%,800,0.74,"422,107","45,798","514,999"
기타 전문 도매업,"수출입(카오디오)/통신기기 제조,판매/이동통신,유선방송,정보통신/생활필수품,식품 판매/부동산 임대",004270,남성,kospi,2026-05-11,"7,290","7,970","7,090","7,540",+920.30%,+15.47%,510,7.25,"70,755",533,273
기타 화학제품 제조업,"화장품, 의약품",161890,한국콜마,kospi,2026-07-03,"117,800","124,600","114,500","120,600",+57.03%,+21.21%,"4,300",3.7,"176,451","21,279","28,467"
"내화, 비내화 요업제품 제조업",내화 요업제품,462520,조선내화,kospi,2026-07-06,"15,990","16,330","15,710","16,320",+14.85%,+4.21%,330,2.06,"8,582",140,"1,934"
"내화, 비내화 요업제품 제조업",내화 요업제품,462520,조선내화,kospi,2026-07-06,"15,990","16,330","15,710","16,320",+14.85%,+4.21%,330,2.06,"8,582",140,"1,934"
봉제의복 제조업,"여성의류,남성의류,캐쥬얼웨어 제조",014990,인디에프,kospi,2026-07-06,"1,848","2,000","1,774","1,860",+138.16%,+27.84%,12,0.65,"25,479",47,279
석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",010955,S-Oil우,kospi,2026-04-29,"61,700","62,900","59,500","62,800",+14.81%,+12.95%,"3,600",6.08,"17,070","1,071","2,525"
소프트웨어 개발 및 공급업,게임 소프트웨어,462870,시프트업,kospi,2026-07-03,"34,950","36,050","34,550","35,400",+5.99%,+7.60%,550,1.58,"26,612",942,"20,763"
수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,014710,사조씨푸드,kospi,2026-07-06,"8,800","9,090","8,720","8,960",+21.41%,+8.47%,160,1.82,"14,415",129,"1,542"
신탁업 및 집합투자업,,415640,KB발해인프라,kospi,2026-07-06,"10,610","11,100","10,100","10,975",+10.41%,+8.23%,365,3.44,"77,355",848,"13,449"
제재 및 목재 가공업,MDF 등,446070,유니드비티플러스,kospi,2026-07-01,"3,380","3,405","3,285","3,390",+12.25%,+0.44%,95,2.88,"20,772",70,359
토목 건설업,"건축공사,토목공사,전기공사",013360,일성건설,kospi,2026-04-09,"2,140","2,380","1,850","2,210",+4.99%,+82.19%,125,6.0,"7,174,569","15,855","1,193"
토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",001260,남광토건,kospi,2026-07-06,"11,880","13,230","10,630","12,370",+29.39%,+55.40%,490,4.12,"1,206,599","14,925","1,216"
플라스틱제품 제조업,화장품 용기,251970,펌텍코리아,kosdaq global,2026-04-16,"44,650","44,950","42,850","44,900",+1.70%,+25.42%,"1,700",3.94,"27,462","1,233","5,567"
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-07-06,"10,610","11,330","9,070","10,970",+170.20%,+48.04%,360,3.39,"1,692,096","18,562","1,287"
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-07-06,"10,610","11,330","9,070","10,970",+170.20%,+48.04%,360,3.39,"1,692,096","18,562","1,287"
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105","2,100","2,105",+1.45%,+0.00%,0,0.0,"5,874",12,153
기타 전문 도매업,"표면처리약품, 전자동 도금설비",042040,케이피엠테크,kosdaq,2026-07-06,"4,620","6,000","6,000","6,000",+4377.61%,+47.97%,"1,380",29.87,"30,424",182,148
상품 중개업,골프시뮬레이터,121440,골프존홀딩스,kosdaq,2026-07-06,"6,660","6,670","6,650","6,660",+34.82%,+0.45%,0,0.0,"95,486",635,"2,852"
음·식료품 및 담배 도매업,건강보조식품 등,065170,비엘팜텍,kosdaq,2026-07-03,"4,595","5,520","4,225","4,685",+78.14%,+57.48%,90,1.96,"3,020,312","14,150","1,307"
자동차 신품 부품 제조업,"도어벨트, 몰딩",053060,세동,kosdaq,2026-05-07,"1,463","1,498","1,449","1,498",+23.19%,+10.96%,54,3.74,"103,034",154,264
자동차 신품 부품 제조업,자동차부품,122350,삼기,kosdaq,2026-06-29,"1,907","2,155","1,725","2,035",+36.67%,+31.29%,169,9.06,"6,903,056","14,047",780
통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",061040,알에프텍,kosdaq,2026-07-03,"8,300","8,480","8,280","8,420",+446.04%,+7.95%,140,1.69,"4,086",34,761
회사 본부 및 경영 컨설팅 서비스업,경영자문 및 지주사업,035610,솔본,kosdaq,2026-07-06,"3,865","3,925","3,815","3,890",+11.30%,+7.76%,25,0.65,"2,285",8,"1,063"
