섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 및 엔지니어링,52201020,CCC,CDC Construction JSC,hose,2026-07-03,"7,400","7,490","7,050","7,490",+150000.21%,+145055.04%,90,1.22,600,4,N/A
건설 및 엔지니어링,52201020,HAS,Hacisco JSC,hose,2026-07-02,"8,240","8,300","7,770","8,300",+8948.29%,+9949.64%,540,6.96,"20,100",166,N/A
공항 운영 및 서비스,52407010,NCT,Noibai Cargo Terminal Services JSC,hose,2026-07-03,"95,200","95,700","95,000","95,200",+4139030.52%,+2920145.41%,200,0.21,"34,929","3,325",N/A
기타 전문 소매,53403090,PNC,Phuong Nam Cultural Joint Stock Corp,hose,2026-07-02,"29,600","31,500","31,500","31,500",+14119.41%,+12666.99%,"1,900",6.42,"1,200",37,N/A
백화점,53402010,BTT,Ben Thanh Trading & Service JSC,hose,2026-04-17,"43,450","45,200","45,200","45,200",+11.19%,+4.63%,"2,000",4.63,220,9,N/A
상품 화학,51101010,HII,An Tien Industries JSC,hose,2026-07-03,"5,850","6,000","5,640","5,900",+1402.37%,+2007.97%,200,3.51,"234,400","1,382",N/A
식품 가공,54102020,HSL,Hong Ha Food Investment Development JSC,hose,2026-07-02,"8,130","8,340","7,800","8,340",+54.44%,+8.74%,540,6.92,"2,272,588","18,953",N/A
"오일, 가스 정제 및 마케팅",50102030,CCI,CuChi Commercial and Industrial Developing Investment JSC,hose,2026-07-02,"19,200","20,500","18,150","20,500",+23934.32%,+26969.85%,"1,300",6.77,612,12,N/A
"오일, 가스 정제 및 마케팅",50102030,PGC,Petrolimex Gas Corp JSC,hose,2026-07-02,"12,400","12,400","12,200","12,400",+32245.94%,+26099.03%,100,0.81,"7,721",95,N/A
용기(종이 제외) 및 포장재,51302010,AAA,An Phat Bioplastics JSC,hose,2026-05-04,"7,480","7,580","7,280","7,500",+5.63%,+2.60%,190,2.6,"2,078,282","15,587",N/A
용기(종이 제외) 및 포장재,51302010,TPC,Tan Dai Hung Plastic JSC,hose,2026-04-15,"11,050","11,050","10,500","11,050",+0.00%,+16.07%,0,0.0,"3,511",38,N/A
의약품 소매,54301010,VMD,Vimedimex Medi Pharma JSC,hose,2026-07-02,"14,500","14,500","14,500","14,500",+152371.08%,+127092.99%,0,0.0,"2,500",36,N/A
"자동차 차량, 부품 및 서비스 소매",53403010,SVC,Saigon General Service Corp,hose,2026-07-06,"21,000","22,300","20,000","22,200",+1773396.31%,+1313509.42%,"1,200",5.71,"33,336",740,N/A
전력 유틸리티,59101010,KHP,Khanh Hoa Power JSC,hose,2026-05-06,"10,027.72","10,300","9,960","10,150",+1.22%,+2.53%,190,1.91,"31,266",317,N/A
제약,56201040,TRA,Traphaco JSC,hose,2026-06-26,"81,400","81,700","81,700","81,700",+17.89%,+3.16%,"1,000",1.24,179,14,N/A
종이 제품,51301020,HHP,HHP Global JSC,hose,2026-05-27,"14,950","15,000","14,400","15,000",+20.48%,+3.09%,550,3.81,"1,784,359","26,765",N/A
지상 화물 및 물류,52405030,TMS,Transimex Corp,hose,2026-07-03,"37,700","37,700","37,650","37,700",+361011.13%,+431744.24%,0,0.0,"1,400",52,N/A
투자 은행 및 중개 서비스,55102010,AGR,Agribank Securities Corp,hose,2026-07-03,"16,000","16,000","15,200","16,000",+6.31%,+8.84%,800,5.26,"1,150,675","18,410",N/A
투자 은행 및 중개 서비스,55102010,CTS,VietinBank Securities JSC,hose,2026-07-02,"28,400","28,900","26,950","28,900",+31.88%,+10.52%,"1,850",6.84,"3,182,162","91,964",N/A
투자 은행 및 중개 서비스,55102010,FTS,FPT Securities JSC,hose,2026-07-03,"28,000","28,400","26,750","28,350",+13.95%,+6.78%,"1,450",5.39,"2,304,670","65,337",N/A
투자 은행 및 중개 서비스,55102010,TVB,T-Cap Securities JSC,hose,2026-04-21,"7,750","7,870","7,600","7,780",+2.64%,+4.01%,80,1.04,"87,100",677,N/A
투자 은행 및 중개 서비스,55102010,VDS,Viet Dragon Securities Corp,hose,2026-07-03,"15,900","16,600","15,550","16,250",+7.62%,+17.75%,450,2.85,"3,580,379","58,181",N/A
투자 은행 및 중개 서비스,55102010,VND,VNDIRECT Securities Corp,hose,2026-07-03,"18,400","18,750","18,000","18,750",+14.49%,+5.93%,550,3.02,"24,125,915","452,360",N/A
항공사,52406010,HVN,Vietnam Airlines JSC,hose,2026-07-06,"25,350","26,100","25,000","26,050",+16.55%,+10.85%,700,2.76,"2,182,000","56,841",N/A
