섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 및 엔지니어링,52201020,603257,China Nerin Engineering Co Ltd Class A,sse,2026-07-01,81,84.84,78.90,84.20,3.20,3.95,"3,272,572",275,N/A
건설 및 엔지니어링,52201020,605178,Beijing New Space Technology Co Ltd Class A,sse,2026-07-01,104.30,114.73,104,112.28,7.98,7.65,"12,020,906","1,349",N/A
금 제외 귀금속 및 광물,51201010,603505,China Kings Resources Group Co Ltd Class A,sse,2026-05-22,22.76,24.39,21.70,24.39,2.22,10.01,"107,107,441","2,612",N/A
반도체,57101010,600601,Founder Technology Group Co Ltd Class A,sse,2026-06-18,14.40,15.37,13.42,14.92,0.95,6.8,"525,485,439","7,840",N/A
반도체,57101010,603068,Beken Corp Class A,sse,2026-06-30,40.23,40.90,37,40.36,1.36,3.49,"13,997,850",564,N/A
반도체,57101010,688391,Hi Trend Technology Shanghai Co Ltd Class A,sse,2026-06-30,35.87,37.29,34.20,36,0.43,1.21,"4,591,539",165,N/A
반도체,57101010,688432,GRINM Semiconductor Materials Co Ltd Class A,sse,2026-07-01,45.80,48.79,37.50,45.91,0.11,0.24,"85,726,425","3,935",N/A
반도체 장비 및 테스트,57101020,600641,Shanghai Vital Deeptech Co Ltd Class A,sse,2026-07-01,43.85,48.24,44.98,48.24,4.39,10.01,"68,696,536","3,313",N/A
"배달, 우편, 항공 화물 및 육상 물류",52405010,601156,Eastern Air Logistics Co Ltd Class A,sse,2026-04-08,17.42,18.03,17.33,17.81,0.48,2.77,"23,489,055",418,N/A
산업용 기계 및 장비,52102010,603270,Shandong Golden Empire Precision Machinery Technology Co Ltd Class A,sse,2026-06-30,33.51,35.60,32.02,34.88,1.88,5.7,"17,316,341",603,N/A
산업용 기계 및 장비,52102010,688059,Zhuzhou Huarui Precision Cutting Tools Co Ltd Class A,sse,2026-07-01,215,230.37,200.01,217.77,2.77,1.29,"6,447,887","1,404",N/A
산업용 기계 및 장비,52102010,688112,Siglent Technologies Co Ltd Class A,sse,2026-06-16,79.96,84.85,74.30,80.30,0.83,1.04,"7,071,060",567,N/A
산업용 기계 및 장비,52102010,688305,KEDE Numerical Control Co Ltd Class A,sse,2026-05-22,70.61,80.69,66.80,75.56,8.32,12.37,"15,374,769","1,161",N/A
산업용 기계 및 장비,52102010,688623,Zhejiang Shuangyuan Technology Co Ltd Class A,sse,2026-06-01,72.90,75.23,69.47,73.74,2.27,3.18,"2,361,220",174,N/A
상품 화학,51101010,600378,Haohua Chemical Science & Technology Corp Ltd Class A,sse,2026-07-01,81,88.10,73.82,82.17,1.17,1.44,"116,119,346","9,541",N/A
상품 화학,51101010,601678,Befar Group Co Ltd Class A,sse,2026-07-01,7,7.70,6.76,7.70,0.70,10.0,"233,055,322","1,794",N/A
상품 화학,51101010,603004,Zhejiang Dragon Technology Co Ltd Class A,sse,2026-07-01,24.62,25.18,23.45,24.78,0.16,0.65,"6,902,604",171,N/A
상품 화학,51101010,603379,Zhejiang Sanmei Chemical Industry Co Ltd Class A,sse,2026-07-01,83.48,87.20,76,83.48,0,0.0,"54,246,453","4,528",N/A
상품 화학,51101010,605020,Zhejiang Yonghe Refrigerant Co Ltd Class A,sse,2026-07-01,43.99,48.39,41.29,48.39,4.40,10.0,"63,732,045","3,083",N/A
생명 공학 및 의학 연구,56202010,688578,Shanghai Allist Pharmaceuticals Co Ltd Class A,sse,2026-07-01,125.81,134.85,120.58,130.87,5.06,4.02,"23,325,755","3,052",N/A
"오일, 가스 정제 및 마케팅",50102030,603223,Hengtong Logistics Co Ltd Class A,sse,2026-07-01,13.36,14.04,13,13.46,0.10,0.75,"27,717,477",373,N/A
의류 및 액세서리,53202020,600177,Youngor Fashion Co Ltd Class A,sse,2026-07-01,7.68,7.92,7.65,7.83,0.15,1.95,"38,939,671",304,N/A
"자동차, 트럭 및 오토바이 부품",53101020,603006,Shanghai Lianming Machinery Co Ltd Class A,sse,2026-07-01,14.46,15.22,14.25,14.61,0.15,1.04,"9,584,700",140,N/A
전기 부품 및 장비,52102030,605288,Changzhou Kaidi Electrical Inc Class A,sse,2026-06-23,87.66,93,85.84,89.40,3.15,3.65,"2,315,920",207,N/A
전기 부품 및 장비,52102030,688103,Kunshan Guoli Electronic Technology Co Ltd Class A,sse,2026-06-30,74.18,76.76,65.88,74.62,5.21,7.51,"6,910,005",515,N/A
전기 부품 및 장비,52102030,688345,Guangdong Greenway Technology Co Ltd Class A,sse,2026-05-26,61.88,66.80,60.10,62.09,1.69,2.8,"5,303,336",329,N/A
전자 장비 및 부품,57104010,688333,XiAn Bright Laser Technologies Co Ltd Class A,sse,2026-06-18,107.19,114.84,100.50,110.10,3.02,2.82,"24,648,551","2,713",N/A
제약,56201040,603669,Lionco Pharmaceutical Group Co Ltd Class A,sse,2026-07-01,5.81,6.16,5.70,6.06,0.25,4.3,"48,253,398",292,N/A
제약,56201040,688117,ChengDu Sheng Nuo Biotec Co Ltd Class A,sse,2026-07-01,28.88,30.50,28.69,29.20,0.32,1.11,"11,679,304",341,N/A
제약,56201040,688221,Frontier Biotechnologies Inc Class A,sse,2026-07-01,26.59,28.45,26.06,27.33,0.74,2.78,"39,746,283","1,086",N/A
제약,56201040,688266,Suzhou Zelgen Biopharmaceuticals Co Ltd Class A,sse,2026-07-01,130,140,126.50,136.31,6.31,4.85,"15,351,976","2,092",N/A
제약,56201040,688506,Sichuan Biokin Pharmaceutical Co Ltd Class A,sse,2026-04-08,322.01,353.88,310.01,335.50,15.60,4.88,"5,279,021","1,771",N/A
투자 은행 및 중개 서비스,55102010,601211,Guotai Haitong Securities Co Ltd Class A,sse,2026-07-01,19.12,19.34,18.87,19.17,0.05,0.26,"160,692,821","3,080",N/A
특수 채굴 및 금속,51201050,600366,Ningbo Yunsheng Co Ltd Class A,sse,2026-07-01,15.99,17.41,15.35,16.63,0.64,4.0,"163,561,655","2,720",N/A
특수 화학제,51101030,603078,Jiangyin Jianghua Micro-electronic Materials Co Ltd Class A,sse,2026-07-01,52.66,57.93,47.39,56.90,4.24,8.05,"71,870,520","4,089",N/A
특수 화학제,51101030,603823,Lily Group Co Ltd Class A,sse,2026-07-01,56.78,62.46,55.03,61.22,4.44,7.82,"18,135,082","1,110",N/A
