섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,600288,Daheng New Epoch Technology Inc Class A,sse,2026-04-17,15.84,17.11,14.62,17.11,+16.47%,+31.11%,1.56,10.03,"121,992,519","2,087",N/A
가정용 가구,53204040,603661,Henglin Home Furnishings Co Ltd Class A,sse,2026-07-01,41.40,42.67,38.38,42.67,+39.08%,+3.07%,3.88,10.0,"12,404,725",529,N/A
고속도로 및 철도,52407030,600350,Shandong Hi-speed Co Ltd Class A,sse,2026-07-07,12.26,13.49,12.08,13.49,+36.27%,+18.96%,1.23,10.03,"12,005,071",161,N/A
반도체,57101010,603893,Rockchip Electronics Co Ltd Class A,sse,2026-05-27,201.91,209.78,197.11,202,+25.96%,+10.20%,11.29,5.92,"43,494,838","8,785",N/A
반도체,57101010,688141,JoulWatt Technology Co Ltd Class A,sse,2026-07-06,168.26,185,162.92,177,+179.97%,+19.16%,14.08,8.64,"19,436,960","3,440",N/A
반도체,57101010,688347,Hua Hong Grace Semiconductor Ltd Class A,sse,2026-06-29,339.14,377,317,358.40,+199.62%,+13.56%,34.40,10.62,"28,828,263","10,332",N/A
반도체,57101010,688508,Wuxi Chipown Micro-electronics Ltd Class A,sse,2026-05-29,96.47,100.78,80.09,98.09,+65.39%,+7.67%,14.11,16.8,"20,392,263","2,000",N/A
반도체,57101010,688702,Suzhou Centec Communications Co Ltd Class A,sse,2026-06-30,389.99,421.66,389.39,401.50,+82.12%,+5.51%,19.50,5.1,"12,294,480","4,936",N/A
반도체 장비 및 테스트,57101020,688372,Shanghai V-Test Semiconductor Tech Co Ltd Class A,sse,2026-06-30,186,196.66,174.88,188.60,+24.02%,+6.19%,6.46,3.55,"15,870,852","2,993",N/A
반도체 장비 및 테스트,57101020,688605,Sprint Precision Technologies Co Ltd Class A,sse,2026-07-07,113.05,117.89,106.28,113.47,+81.72%,+9.60%,0.42,0.37,"10,233,381","1,161",N/A
산업용 기계 및 장비,52102010,603339,Square Technology Group Co Ltd Class A,sse,2026-06-24,15.40,15.47,13.80,15.47,+20.77%,+6.98%,1.41,10.03,"33,899,125",524,N/A
산업용 기계 및 장비,52102010,603380,Suzhou Etron Technologies Co Ltd Class A,sse,2026-07-01,46,47.29,45,47.29,+37.73%,+2.80%,4.30,10.0,"4,973,500",235,N/A
전자 장비 및 부품,57104010,688629,Sichuan Huafeng Technology Co Ltd Class A,sse,2026-07-06,201.26,217.95,204.13,205.98,+62.43%,+14.08%,6.58,3.3,"26,047,049","5,365",N/A
제약,56201040,600285,Henan Lingrui Pharmaceutical Co Ltd Class A,sse,2026-07-07,21.45,22.08,21.15,21.90,+5.26%,+9.66%,0.45,2.1,"10,547,609",230,N/A
조선,52102050,603268,Guangdong Songfa Ceramics Co Ltd Class A,sse,2026-05-13,165.08,172.99,156.67,167.77,+39.54%,+16.91%,7.40,4.61,"18,965,602","3,181",N/A
특수 화학제,51101030,603065,Suqian Unitech Corp Ltd Class A,sse,2026-06-26,21.85,22.28,19.48,21.91,+171.62%,+14.17%,1.66,8.2,"74,920,482","1,641",N/A
