섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,CLMB,Climb Global Solutions Inc,nasdaq,2026-07-09,25.84,26.90,25.50,26.35,+24.35%,+3.62%,0.89,3.5,"44,599",1.18,N/A
IT 서비스 및 컨설팅,57201010,JKHY,Jack Henry & Associates Inc,nasdaq,2026-05-01,154.03,154.85,150.84,154.54,+1.14%,+0.90%,3.96,2.63,"137,942",21.32,N/A
IT 서비스 및 컨설팅,57201010,NTNX,Nutanix Inc,nasdaq,2026-06-01,55.87,57.54,55.61,57.03,+38.10%,+3.49%,1.99,3.62,"807,347",46.05,N/A
IT 서비스 및 컨설팅,57201010,SSNC,SS&C Technologies Holdings Inc,nasdaq,2026-07-24,73.88,76.07,73.59,75.86,+9.78%,+9.14%,1.98,2.68,"561,661",42.61,N/A
IT 서비스 및 컨설팅,57201010,VRSK,Verisk Analytics Inc,nasdaq,2026-07-20,201.79,208.60,202.27,208.12,+18.13%,+3.14%,6.78,3.37,"472,748",98.39,N/A
건설 자재,51202010,ZNB,Zeta Network Group,nasdaq,2026-07-24,2.24,2.59,2.17,2.37,+53.90%,+478.05%,0.13,5.8,"160,964",0.38,N/A
건설 자재 및 비품,53203020,ROCK,Gibraltar Industries Inc,nasdaq,2026-07-01,45.31,46.69,45.58,45.98,+14.46%,+5.48%,0.79,1.75,"58,463",2.69,N/A
경영 지원 서비스,52203040,ACCL,Acco Group Holdings Ltd,nasdaq,2026-07-22,2.14,2.17,2.10,2.17,+48.12%,+11.28%,0.04,1.88,"12,474",0.03,N/A
경영 지원 서비스,52203040,CASS,Cass Information Systems Inc,nasdaq,2026-07-24,54.25,55.42,54.46,55.15,+16.90%,+3.20%,0.90,1.66,"13,311",0.73,N/A
경영 지원 서비스,52203040,CTAS,Cintas Corp,nasdaq,2026-07-16,206.25,210.86,206.70,210.39,+21.09%,+4.26%,4.48,2.18,"486,928",102.44,N/A
경영 지원 서비스,52203040,ICFI,ICF International Inc,nasdaq,2026-07-16,81.04,81.77,79.82,81.29,+20.70%,+5.03%,1.78,2.23,"26,764",2.18,N/A
경영 지원 서비스,52203040,PAYO,Payoneer Global Inc,nasdaq,2026-06-26,7.13,7.13,7.12,7.13,+37.64%,+0.00%,0.01,0.14,"467,304",3.33,N/A
고용 서비스,52203030,KELYA,Kelly Services Inc Class A,nasdaq,2026-07-16,15.41,15.66,15.30,15.52,+58.32%,+0.91%,0.36,2.37,"74,315",1.15,N/A
고용 서비스,52203030,PAYX,Paychex Inc,nasdaq,2026-07-20,115.20,116.90,114.50,116.73,+29.94%,+1.33%,3.18,2.8,"794,510",92.74,N/A
기업 금융 서비스,55101050,SWKHL,SWK Holdings 9 00 Senior Notes due 2027,nasdaq,2026-07-08,25.31,25.33,24.34,25.33,+1.59%,+0.31%,0.12,0.47,"7,412",0.19,N/A
레스토랑 및 바,53301020,DPZ,Domino's Pizza Inc,nasdaq,2026-04-30,337.33,348.59,335.57,347.84,+2.80%,+5.74%,14.87,4.47,"328,959",114.43,N/A
레스토랑 및 바,53301020,TXRH,Texas Roadhouse Inc,nasdaq,2026-07-16,197.55,200.60,196.29,200.09,+26.39%,+1.95%,6.82,3.53,"277,441",55.51,N/A
무알콜 음료,54101030,CCEP,Coca-Cola Europacific Partners PLC,nasdaq,2026-07-06,106.97,108.33,105.51,108.32,+12.58%,+2.05%,3.21,3.05,"641,548",69.49,N/A
방송,53302020,SIRI,Sirius XM Holdings Inc,nasdaq,2026-07-16,31.22,31.48,30.38,31.37,+20.66%,+2.52%,1.57,5.27,"1,981,578",62.16,N/A
"배달, 우편, 항공 화물 및 육상 물류",52405010,ETS,Elite Express Holding Inc,nasdaq,2026-07-23,1.04,1.09,1.06,1.08,+77.05%,+9.31%,0.07,6.93,"44,725",0.05,N/A
