섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,155A,Information Strategy and Technology Co Ltd,tse,2026-06-22,914,927,897,917,+7.50%,+6.50%,27,3.03,"32,800",30,N/A
IT 서비스 및 컨설팅,57201010,265A,Hmcomm Inc,tse,2026-07-01,796,865,745,801,+19.73%,+34.40%,86,12.03,"472,500",378,N/A
IT 서비스 및 컨설팅,57201010,483A,Tera Technology Inc,tse,2026-06-01,"2,203","2,243","2,166","2,234",+7.40%,+5.63%,84,3.91,"2,800",6,N/A
고용 서비스,52203030,215A,Timee Inc,tse,2026-07-03,"1,682","1,753","1,642","1,700",+28.40%,+10.82%,18,1.07,"1,961,900","3,335",N/A
고용 서비스,52203030,421A,Movin' Strategic Career Co Ltd,tse,2026-07-02,"3,840","3,890","3,725","3,890",+79.93%,+16.47%,165,4.43,"43,600",169,N/A
광고 및 마케팅,53302010,156A,Material Group Inc,tse,2026-07-03,903,928,907,920,+6.11%,+10.05%,17,1.88,"48,600",44,N/A
광고 및 마케팅,53302010,331A,Medix Inc,tse,2026-06-01,492,493,490,492,+1.44%,+1.44%,3,0.61,"3,000",1,N/A
여가 및 오락시설,53301040,212A,Fit Easy Inc,tse,2026-07-02,"2,883","2,978","2,882","2,900",+31.71%,+7.53%,66,2.33,"178,700",518,N/A
