섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건설 및 엔지니어링,52201020,HAS,Hacisco JSC,hose,2026-09-08,"10,700","11,300","11,300","11,300",+13368.41%,+6.10%,600,5.61,306,3,N/A
다각적 산업용 제품 도매,52202010,PIT,Petrolimex International Trading JSC,hose,2026-09-08,"8,800","8,800","8,800","8,800",+17.33%,+2.68%,0,0.0,"9,860",86,N/A
상품 화학,51101010,ADP,A Dong Paint JSC,hose,2026-08-26,"23,800","24,000","23,800","23,900",+10465.40%,+2.36%,100,0.42,"3,500",83,N/A
상품 화학,51101010,APH,An Phat Holdings JSC,hose,2026-09-08,"6,380","6,540","6,250","6,400",+4067.53%,+8.47%,20,0.31,"424,896","2,719",N/A
상품 화학,51101010,HII,An Tien Industries JSC,hose,2026-09-08,"9,630","10,300","9,880","9,900",+3225.72%,+12.50%,270,2.8,"1,606,768","15,907",N/A
상품 화학,51101010,PLP,Pha Le Plastics Manufacturing and Technology JSC,hose,2026-07-16,"4,370","4,610","4,260","4,610",+8.47%,+5.49%,300,6.96,"252,318","1,163",N/A
식품 가공,54102020,AAM,Mekong Fisheries JSC,hose,2026-09-03,"7,600","7,600","7,100","7,600",+11.76%,+1.47%,150,2.01,"13,082",99,N/A
양조업,54101010,SMB,SAI GON-MIEN TRUNG BEER JOINT STOCK COMPANY,hose,2026-09-03,"40,500","40,850","40,300","40,850",+5.28%,+0.99%,450,1.11,"2,237",91,N/A
오일 및 가스 수송 서비스,50103030,PVP,Pacific Petroleum Transportation JSC,hose,2026-09-08,"19,000","19,400","18,900","19,000",+12.43%,+3.54%,0,0.0,"654,620","12,437",N/A
종이 제품,51301020,HHP,HHP Global JSC,hose,2026-09-08,"17,000","17,300","16,950","17,200",+20.28%,+6.17%,200,1.18,"1,379,093","23,720",N/A
철 및 강철,51201020,SHI,SonHa International Corp,hose,2026-06-29,"14,450","14,700","14,450","14,600",+1.04%,+3.55%,200,1.39,"5,182,356","75,662",N/A
통합 오일 및 가스,50102010,GAS,Petrovietnam Gas Joint Stock Corp,hose,2026-08-24,"85,000","87,600","85,200","85,700",+3.75%,+1.78%,"1,300",1.54,"2,318,037","198,655",N/A
"호텔, 모텔 및 크루즈 라인",53301010,NVT,Ninh Van Bay Travel Real Estate JSC,hose,2026-07-10,"7,970","8,010","7,980","7,980",+4.45%,+9.47%,490,6.54,500,3,N/A
