섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,FPT,FPT CORPORATION,hose,2026-07-07,"73,200","74,800","72,200","74,500",+1.78%,+3.19%,"2,300",3.19,"12,181,408","907,514",N/A
다각적 산업용 제품 도매,52202010,PIT,Petrolimex International Trading JSC,hose,2026-09-08,"8,800","8,900","8,800","8,800",+20.55%,+1.73%,0,0.0,"20,171",177,N/A
상품 화학,51101010,ADP,A Dong Paint JSC,hose,2026-08-26,"23,800","23,800","23,550","23,800",+10562.13%,+0.00%,0,0.0,"2,708",64,N/A
상품 화학,51101010,APH,An Phat Holdings JSC,hose,2026-09-08,"6,380","6,470","6,250","6,400",+3941.65%,+4.92%,20,0.31,"233,670","1,495",N/A
상품 화학,51101010,HII,An Tien Industries JSC,hose,2026-09-08,"9,630","10,550","9,750","10,550",+3420.66%,+18.01%,920,9.55,"839,713","8,858",N/A
상품 화학,51101010,PLP,Pha Le Plastics Manufacturing and Technology JSC,hose,2026-07-16,"4,370","4,700","4,510","4,630",+9.20%,+7.18%,320,7.42,"52,799",244,N/A
식품 가공,54102020,AAM,Mekong Fisheries JSC,hose,2026-09-03,"7,600","7,800","7,480","7,800",+16.42%,+2.63%,350,4.7,"5,683",44,N/A
양조업,54101010,BHN,Hanoi Beer Alcohol And Beverage Joint Stock Corp,hose,2026-09-03,"31,700","31,700","31,250","31,700",+7.46%,+0.00%,300,0.96,"1,666",52,N/A
오일 및 가스 수송 서비스,50103030,PVP,Pacific Petroleum Transportation JSC,hose,2026-09-08,"19,000","19,850","18,850","19,100",+13.69%,+3.80%,100,0.53,"1,750,277","33,430",N/A
오일 및 가스 수송 서비스,50103030,PVT,Petrovietnam Transportation Corp,hose,2026-09-08,"21,300","22,200","21,150","21,750",+12.69%,+6.36%,450,2.11,"11,696,030","254,388",N/A
"오일, 가스 정제 및 마케팅",50102030,ASP,An Pha Petroleum Group JSC,hose,2026-09-03,"14,000","14,000","13,200","14,000",+92.84%,+0.00%,100,0.72,"126,112","1,765",N/A
"오일, 가스 정제 및 마케팅",50102030,PGC,Petrolimex Gas Corp JSC,hose,2026-08-27,"14,200","14,200","13,850","14,200",+31462.57%,+4.41%,250,1.79,"117,895","1,674",N/A
은행,55101010,STB,Saigon Treasure Commercial Joint Stock Bank,hose,2026-09-04,"77,300","79,000","76,700","78,000",+9.40%,+4.70%,"1,900",2.5,"6,758,515","527,164",N/A
제약,56201040,DMC,Domesco Medical Import Export Joint Stock Corp,hose,2026-08-27,"60,000","60,000","59,600","60,000",+4.17%,+0.84%,300,0.5,"2,800",168,N/A
종이 제품,51301020,HHP,HHP Global JSC,hose,2026-09-08,"17,000","17,350","17,000","17,100",+20.85%,+5.23%,100,0.59,"919,689","15,726",N/A
철 및 강철,51201020,SHI,SonHa International Corp,hose,2026-06-29,"14,450","14,900","14,600","14,650",+1.74%,+3.17%,250,1.74,"2,501,788","36,651",N/A
컴퓨터 및 전자 제품 소매,53403050,DGW,Digiworld Corp,hose,2026-08-13,"43,150","44,750","41,600","44,750",+8.35%,+9.41%,"2,800",6.67,"5,032,052","225,184",N/A
