섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 철강 제조업,"PCM(칼라강판),라미네이트강판,산업용필름 제조,판매",024090,디씨엠,kospi,2026-09-03,"11,760","11,780","11,600","11,780",+6.41%,+4.25%,140,1.2,"1,183",13,"1,342"
"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,052690,한전기술,kospi,2026-06-18,"136,700","147,500","128,100","142,600",-5.75%,+29.05%,"20,300",16.6,"2,238,809","319,254","54,501"
기초 화학물질 제조업,"계면활성제,정밀화학품 제조,도매/부동산 임대",023450,동남합성,kospi,2026-08-24,"31,700","31,800","31,300","31,800",+9.28%,+0.63%,100,0.32,711,22,"1,113"
기초 화학물질 제조업,지주회사,000215,DL우,kospi,2026-06-16,"24,850","25,300","24,650","25,000",+6.38%,+6.16%,250,1.01,"2,976",74,421
기타 금융업,지주사업,000325,노루홀딩스우,kospi,2026-08-31,"27,900","28,800","27,400","27,900",+1.09%,+0.36%,500,1.82,8,0,67
기타 금융업,지주회사,012630,HDC,kospi,2026-08-27,"23,200","23,950","22,850","23,350",+10.40%,+4.47%,350,1.52,"80,693","1,884","13,949"
기타 금융업,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",008930,한미사이언스,kospi,2026-08-24,"56,500","61,000","53,300","57,700",+91.69%,+25.98%,"3,500",6.46,"818,252","47,213","39,461"
기타 금융업,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",006120,SK디스커버리,kospi,2026-07-15,"56,500","57,900","55,200","57,000",+22.84%,+7.75%,600,1.06,"27,269","1,554","9,925"
기타 식품 제조업,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매",005610,삼립,kospi,2026-08-14,"41,450","42,250","40,850","42,250",+3.55%,+1.93%,"1,350",3.3,"5,794",244,"3,645"
기타 식품 제조업,설탕,145990,삼양사,kospi,2026-09-03,"47,400","48,300","46,800","47,850",+8.63%,+2.46%,800,1.7,"13,385",640,"4,934"
기타 식품 제조업,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매",002600,조흥,kospi,2026-06-29,"139,600","139,900","137,000","139,800",+1.67%,+1.38%,800,0.58,175,24,838
봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조",090370,메타랩스,kospi,2026-09-01,"1,220","1,314","1,190","1,257",+15.75%,+3.03%,45,3.71,"273,088",343,343
부동산 임대 및 공급업,"프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터",357430,마스턴프리미어리츠,kospi,2026-09-07,980,"1,006",976,980,+44.97%,+5.38%,0,0.0,"12,272",12,298
석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",010950,S-Oil,kospi,2026-09-07,"157,600","162,400","154,400","159,400",+43.09%,+5.08%,"1,800",1.14,"276,192","44,025","179,456"
석유 정제품 제조업,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매",010955,S-Oil우,kospi,2026-09-07,"72,400","75,400","73,000","75,000",+40.19%,+7.30%,"2,600",3.59,"34,602","2,595","3,016"
신탁업 및 집합투자업,,094800,맵스리얼티,kospi,2026-08-25,"7,220","7,290","7,180","7,240",+24.83%,+0.42%,40,0.56,"183,240","1,326","6,721"
