섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
전자 장비 및 부품,57104010,688678,Freewon China Co Ltd Class A,sse,2026-09-21,27.93,32.32,27.90,31.47,+36.47%,+41.76%,3.67,13.2,"43,772,419","1,377",N/A
제약,56201040,605507,Guobang Pharma Ltd Class A,sse,2026-09-22,18.26,18.88,18.21,18.84,+21.00%,+6.08%,0.58,3.18,"14,632,294",275,N/A
제약,56201040,688105,Nanjing Vazyme Biotech Co Ltd Class A,sse,2026-09-22,26.45,28.30,26.67,27.66,+55.83%,+37.07%,1.21,4.57,"29,069,167",804,N/A
제약,56201040,688131,Shanghai Haoyuan Chemexpress Co Ltd Class A,sse,2026-09-21,102.18,111,101.10,110.32,+12.45%,+19.24%,9.84,9.79,"9,841,230","1,085",N/A
제약,56201040,688238,Shanghai Obio Technology (Group) Corp Ltd Class A,sse,2026-08-20,8.04,8.79,7.79,8.77,+60.04%,+34.10%,0.93,11.86,"64,017,384",561,N/A
제약,56201040,688293,Shanghai OPM Biosciences Co Ltd Class A,sse,2026-09-21,75.45,88.54,75.23,84.64,+103.46%,+26.23%,9.21,12.21,"8,286,215",701,N/A
제약,56201040,688566,Jiangsu Jibeier Pharmaceutical Co Ltd Class A,sse,2026-07-15,27.20,28.45,26.82,28.01,+8.52%,+8.65%,1.11,4.13,"3,593,853",100,N/A
제약,56201040,688687,Beijing Kawin Technology Share-Holding Co Ltd Class A,sse,2026-08-13,18.73,18.79,18.52,18.75,+17.19%,+11.94%,0.15,0.81,"3,117,781",58,N/A
제화,53202030,603116,Zhejiang Red Dragonfly Footwear Co Ltd Class A,sse,2026-09-22,6.70,6.82,6.65,6.75,+18.63%,+10.29%,0.05,0.75,"5,529,935",37,N/A
증류주 및 포도주,54101020,600616,Shanghai Jinfeng Wine Co Ltd Class A,sse,2026-09-22,5.21,5.73,5.16,5.39,+41.10%,+10.45%,0.18,3.45,"116,462,633",627,N/A
철 및 강철,51201020,600581,Xinjiang Ba Yi Iron & Steel Co Ltd Class A,sse,2026-09-01,2.48,2.56,2.43,2.48,+19.81%,+4.64%,0.04,1.64,"12,309,000",30,N/A
첨단 의료 장비 및 기술,56101010,688114,MGI Tech Co Ltd Class A,sse,2026-08-21,74.79,76.74,73.51,75.30,+47.85%,+19.32%,1.30,1.76,"6,333,144",476,N/A
첨단 의료 장비 및 기술,56101010,688139,Qingdao Haier Biomedical Co Ltd Class A,sse,2026-09-22,34.79,35.66,34.11,35.20,+36.70%,+14.62%,0.41,1.18,"5,194,847",182,N/A
통신 및 네트워킹,57102010,603803,Raisecom Technology Co Ltd Class A,sse,2026-09-21,11.85,12.87,11.34,12.87,+15.74%,+10.66%,1.17,10.0,"20,519,358",264,N/A
통합 하드웨어 및 소프트웨어,57107010,603636,Linewell Software Co Ltd Class A,sse,2026-07-01,8.08,8.81,8.31,8.81,+12.80%,+32.08%,0.80,9.99,"72,747,960",640,N/A
통합 하드웨어 및 소프트웨어,57107010,688489,Sansec Technology Co Ltd Class A,sse,2026-09-22,26.03,30.07,25.67,28.97,+31.38%,+22.81%,2.94,11.29,"6,058,022",175,N/A
특수 화학제,51101030,603991,Shenzhen Leading Semiconductor Industry Co.  Ltd. Class A,sse,2026-09-16,182.22,185.57,165.71,185.57,+44.62%,+1.84%,16.87,10.0,"5,308,433",985,N/A
"호텔, 모텔 및 크루즈 라인",53301010,600743,Beijing Huayuan Xinhang Holding Co Ltd Class A,sse,2026-09-22,2.56,2.82,2.71,2.82,+31.16%,+37.56%,0.26,10.16,"98,250,248",277,N/A
