섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,153A,Caulis Inc,tse,2026-09-03,"1,487","1,518","1,457","1,506",+10.57%,+3.43%,19,1.28,"55,900",84,N/A
IT 서비스 및 컨설팅,57201010,332A,MEEQ Inc,tse,2026-08-27,"1,121","1,125","1,081","1,125",+10.19%,+1.72%,47,4.36,"49,800",56,N/A
IT 서비스 및 컨설팅,57201010,338A,ZenmuTech Inc,tse,2026-09-03,"2,517","2,988","2,494","2,696",+24.47%,+22.99%,179,7.11,"2,094,000","5,645",N/A
IT 서비스 및 컨설팅,57201010,350A,Digital Grid Corp,tse,2026-06-15,805,824,760,819,+6.23%,+4.20%,52,6.78,"803,500",658,N/A
IT 서비스 및 컨설팅,57201010,446A,Northsand Inc,tse,2026-09-01,"2,186","2,350","2,243","2,312",+70.75%,+7.99%,151,6.99,"653,600","1,511",N/A
IT 서비스 및 컨설팅,57201010,476A,Tsuji Hongo IT Consulting Co Ltd,tse,2026-07-15,"1,659","1,673","1,644","1,673",+17.73%,+4.30%,38,2.32,"1,600",2,N/A
개인 서비스,54201030,477A,Startline Co Ltd,tse,2026-09-03,793,845,790,818,+33.22%,+18.21%,25,3.15,"60,800",49,N/A
경영 지원 서비스,52203040,189A,D&M Company Co Ltd,tse,2026-07-23,"1,016","1,025","1,013","1,016",+9.84%,+1.80%,4,0.4,500,0,N/A
경영 지원 서비스,52203040,369A,A-tie Co Ltd,tse,2026-08-18,"2,565","2,611","2,530","2,585",+27.34%,+5.99%,27,1.06,"20,300",52,N/A
고용 서비스,52203030,330A,TalentX Inc,tse,2026-09-01,566,586,561,586,+43.98%,+15.13%,24,4.27,"27,800",16,N/A
광고 및 마케팅,53302010,415A,GMO TECH Holdings Inc,tse,2026-08-21,"5,130","5,150","5,100","5,150",+11.11%,+0.39%,50,0.98,400,2,N/A
레스토랑 및 바,53301020,428A,Cypress Holdings Co Ltd,tse,2026-09-03,"1,574","1,610","1,544","1,587",+32.58%,+15.75%,13,0.83,"25,300",40,N/A
소비자 출판,53302040,500A,TO Books Inc,tse,2026-08-31,"3,495","3,525","3,470","3,525",+15.57%,+3.37%,85,2.47,"3,200",11,N/A
소프트웨어,57201020,431A,uSonar Co Ltd,tse,2026-09-01,"2,730","2,853","2,645","2,831",+46.68%,+14.11%,231,8.88,"57,000",161,N/A
식품 소매 및 유통,54301020,417A,Blue Zones Holdings Co Ltd,tse,2026-09-03,"1,882.50","1,938","1,877","1,906.50",+9.60%,+2.31%,24,1.27,"444,700",847,N/A
온라인 서비스,57201030,475A,Gimic Co Ltd,tse,2026-08-25,697,707,671,705,+2.03%,+10.33%,13,1.88,"18,700",13,N/A
할인점,53402020,141A,Trial Holdings Inc,tse,2026-08-28,"4,135","4,185","4,015","4,155",+50.17%,+0.48%,110,2.72,"567,900","2,359",N/A
