섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,ALP,Alpha Compute Corp,nasdaq,2026-09-08,5.30,5.78,4.80,5.41,+2057.01%,+2993.77%,0.11,2.1,"150,683",0.82,N/A
건설 자재,51202010,SND,Smart Sand Inc,nasdaq,2026-09-08,5.36,5.47,5.30,5.39,+1.51%,+3.45%,0.03,0.56,"155,500",0.84,N/A
경영 지원 서비스,52203040,ACCL,Acco Group Holdings Ltd,nasdaq,2026-08-10,2.97,3.12,2.37,3.10,+100.00%,+4.73%,0.43,16.1,"3,551,800",11.01,N/A
경영 지원 서비스,52203040,PAYP,PayPay Corp ADR,nasdaq,2026-09-08,17.56,18.05,17.26,17.58,+30.71%,+17.28%,0.02,0.11,"1,297,900",22.82,N/A
경영 지원 서비스,52203040,XHLD,TEN Holdings Inc,nasdaq,2026-09-01,9.42,12.15,9.31,10.51,+855.45%,+11.57%,1.13,12.05,"3,798,900",39.93,N/A
광고 및 마케팅,53302010,BUUU,BUUU Group Ltd,nasdaq,2026-09-08,37.95,39.00,38.00,38.29,+134.76%,+31.58%,0.34,0.9,"12,700",0.49,N/A
광고 및 마케팅,53302010,TJGC,TJGC Group Ltd,nasdaq,2026-09-08,10.51,10.77,10.40,10.58,+90.29%,+5.59%,0.07,0.67,"1,760,100",18.62,N/A
금 제외 귀금속 및 광물,51201010,AYA,Aya Gold & Silver Inc (Quebec),nasdaq,2026-09-03,29.82,30.40,29.32,29.89,+85.88%,+13.35%,0.74,2.54,"834,900",24.96,N/A
금 제외 귀금속 및 광물,51201010,SCZM,Santacruz Silver Mining Ltd.,nasdaq,2026-09-03,10.42,10.50,10.12,10.43,+72.97%,+13.37%,0.46,4.61,"517,800",5.40,N/A
기업 금융 서비스,55101050,XSLL,Xsolla SPAC 1,nasdaq,2026-08-28,9.99,10.00,10.00,10.00,+0.91%,+0.20%,0.01,0.1,"2,000",0.02,N/A
