섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
,,LTGRU,Long Table Growth Units,nasdaq,2026-08-18,10.10,10.10,10.04,10.10,+0.90%,+0.90%,0.00,0.0,"3,507",0.04,N/A
IT 서비스 및 컨설팅,57201010,CLPS,CLPS Inc,nasdaq,2026-08-28,1.08,1.10,1.06,1.10,+11.45%,+3.77%,0.02,1.85,"13,997",0.02,N/A
IT 서비스 및 컨설팅,57201010,CTSH,Cognizant Technology Solutions Corporation,nasdaq,2026-08-28,64.04,64.91,63.13,64.58,+17.12%,+3.83%,0.54,0.84,"8,661,291",559.35,N/A
IT 서비스 및 컨설팅,57201010,DOX,Amdocs Limited,nasdaq,2026-08-28,62.91,63.52,62.16,63.06,+1.21%,+1.55%,0.15,0.24,"1,504,552",94.88,N/A
IT 서비스 및 컨설팅,57201010,LPSN,LivePerson Inc,nasdaq,2026-08-13,2.91,3.12,2.78,3.10,+31.91%,+15.24%,0.28,9.93,"455,276",1.41,N/A
IT 서비스 및 컨설팅,57201010,NSIT,Insight Enterprises Inc,nasdaq,2026-08-13,156.60,159.41,155.50,157.02,+31.18%,+8.07%,1.37,0.88,"290,414",45.60,N/A
IT 서비스 및 컨설팅,57201010,OKTA,Okta  Inc.,nasdaq,2026-08-27,172.91,174.08,164.50,173.04,+27.87%,+32.12%,6.81,4.1,"4,699,432",813.19,N/A
IT 서비스 및 컨설팅,57201010,SLNHP,Soluna Holdings 9.0 Cumulative Perpetual Pref Shs Series A,nasdaq,2026-08-19,12.51,12.53,11.71,12.53,+19.45%,+4.42%,0.41,3.38,"20,608",0.26,N/A
IT 서비스 및 컨설팅,57201010,VEEA,Veea Inc,nasdaq,2026-06-04,0.52,1.92,1.34,1.80,+223.74%,+1274.05%,1.70,1647.57,"323,718",0.58,N/A
경영 지원 서비스,52203040,CNXC,Concentrix Corporation,nasdaq,2026-08-28,29.38,30.32,28.33,30.10,+5.65%,+15.64%,0.72,2.45,"1,629,829",49.06,N/A
경영 지원 서비스,52203040,RELY,Remitly Global  Inc.,nasdaq,2026-08-21,26.67,26.78,26.02,26.74,+33.23%,+0.56%,0.19,0.72,"2,820,373",75.42,N/A
고용 서비스,52203030,PAYX,Paychex  Inc.,nasdaq,2026-08-28,127.04,127.87,125.56,127.34,+26.34%,+1.06%,0.30,0.24,"2,470,350",314.57,N/A
광고 및 마케팅,53302010,MF,MindForge Inc,nasdaq,2026-08-28,19.49,21.81,19.08,21.69,+615.84%,+23.87%,2.20,11.29,"46,147",1.00,N/A
광고 및 마케팅,53302010,TJGC,TJGC Group Ltd,nasdaq,2026-08-28,9.90,10.29,9.26,10.08,+360.27%,+65.25%,0.18,1.82,"337,802",3.41,N/A
기업 금융 서비스,55101050,ARCL,ARC Group Acquisition I Corp,nasdaq,2026-08-20,9.99,9.99,9.96,9.99,+0.96%,+0.25%,0.02,0.25,"5,155",0.05,N/A
기업 금융 서비스,55101050,GRNQ,GreenPro Capital Corp,nasdaq,2026-08-20,13.70,14.10,13.69,13.90,+680.90%,+15.16%,0.40,2.96,"12,442",0.17,N/A
기업 금융 서비스,55101050,LIEN,Chicago Atlantic BDC Inc,nasdaq,2026-08-28,10.20,10.35,10.17,10.34,+8.52%,+1.87%,0.14,1.37,"122,772",1.27,N/A
기타 전문 소매,53403090,SY,So-Young International Inc ADR,nasdaq,2026-08-25,2.42,3.01,2.46,2.91,+38.57%,+23.83%,0.51,21.25,"14,179,522",41.26,N/A
레스토랑 및 바,53301020,BRCB,Black Rock Coffee Bar  Inc.,nasdaq,2026-08-24,9.45,9.67,9.16,9.55,+30.46%,+1.06%,0.42,4.6,"482,544",4.61,N/A
레스토랑 및 바,53301020,BTBD,Bt Brands Inc,nasdaq,2026-08-28,1.48,1.56,1.42,1.53,+30.77%,+14.18%,0.05,3.38,"71,927",0.11,N/A
무선 통신 서비스,57401020,NXPL,NextPlat Corp,nasdaq,2026-08-27,9.32,9.87,9.17,9.68,+24.26%,+6.02%,0.42,4.54,"16,721",0.16,N/A
반도체,57101010,LINK,Interlink Electronics Inc,nasdaq,2026-08-14,5.78,5.83,5.12,5.82,+8.99%,+20.25%,0.79,15.71,"47,280",0.28,N/A
방송,53302020,VSNT,Versant Media Group Inc,nasdaq,2026-06-08,41.03,41.45,40.67,41.12,+0.10%,+4.55%,0.10,0.24,"1,919,090",78.91,N/A
복합부동산 REITs,60102010,SQFTP,Presidio Property Trus 9.375 Cumulative Redeemable Perpetual Cumulative,nasdaq,2026-08-11,7.37,7.91,6.75,7.38,+34.43%,+8.53%,0.63,9.33,"15,291",0.11,N/A
"부동산 임대, 개발 및 운영",60101010,BEEP,Mobile Infrastructure Corp,nasdaq,2026-08-26,3.02,3.09,2.96,3.04,+32.75%,+5.92%,0.07,2.36,"33,078",0.10,N/A
블록 체인 및 암호화폐,57301030,DFDV,DeFi Development Corp (Nevada),nasdaq,2026-08-27,5.28,5.52,4.80,5.38,+63.53%,+31.54%,0.40,8.03,"2,453,444",13.20,N/A
산업용 기계 및 장비,52102010,HLP,Hongli Group Inc,nasdaq,2026-08-05,1.31,1.39,1.25,1.37,+132.60%,+9.60%,0.09,7.03,"112,403",0.15,N/A
생명 공학 및 의학 연구,56202010,APGE,Apogee Therapeutics  Inc.,nasdaq,2026-08-28,134.97,135.08,135.00,135.08,+71.62%,+0.22%,0.11,0.08,"1,792,532",242.14,N/A
생명 공학 및 의학 연구,56202010,ARTL,Artelo Biosciences Inc,nasdaq,2026-06-03,1.46,6.79,5.34,6.36,+338.62%,+823.08%,5.70,859.28,"586,565",3.73,N/A
생명 공학 및 의학 연구,56202010,BIVI,BioVie Inc,nasdaq,2026-07-10,2.27,2.49,2.28,2.28,+34.12%,+6.54%,0.12,5.56,"1,531,426",3.49,N/A
생명 공학 및 의학 연구,56202010,CALC,CalciMedica Inc,nasdaq,2026-06-05,1.06,2.47,2.13,2.14,+167.17%,+284.89%,1.68,361.21,"164,706",0.35,N/A
생명 공학 및 의학 연구,56202010,CRNX,Crinetics Pharmaceuticals  Inc.,nasdaq,2026-08-25,84.86,85.01,84.92,84.95,+160.50%,+0.20%,0.11,0.13,"8,182,078",695.07,N/A
생명 공학 및 의학 연구,56202010,FBLG,Fibrobiologics Inc,nasdaq,2026-08-27,1.49,1.79,1.40,1.72,+63.81%,+27.41%,0.28,19.44,"489,096",0.84,N/A
생명 공학 및 의학 연구,56202010,FRNM,Freenome  Inc.,nasdaq,2026-08-28,14.79,14.81,14.29,14.79,+32.68%,+7.33%,0.00,0.0,"770,267",11.39,N/A
생명 공학 및 의학 연구,56202010,GCTK,GlucoTrack Inc,nasdaq,2026-07-30,0.78,4.36,4.00,4.25,+542.97%,+1180.12%,3.97,1407.09,"153,009",0.65,N/A
생명 공학 및 의학 연구,56202010,INBX,Inhibrx Biosciences Inc,nasdaq,2026-08-26,125.34,128.87,121.59,126.70,+35.32%,+20.74%,3.29,2.67,"388,957",49.28,N/A
생명 공학 및 의학 연구,56202010,MDXG,MiMedx Group  Inc.,nasdaq,2026-08-27,4.51,4.57,4.39,4.54,+27.17%,+6.32%,0.04,0.89,"1,063,376",4.83,N/A
생명 공학 및 의학 연구,56202010,NVNO,enVVeno Medical Corp,nasdaq,2026-08-26,11.47,11.47,10.26,11.47,+6.70%,+10.82%,0.72,6.7,"24,939",0.29,N/A
생명 공학 및 의학 연구,56202010,QNRX,Quoin Pharmaceuticals Ltd ADR,nasdaq,2026-08-28,6.12,6.55,5.43,6.22,+36.40%,+14.76%,0.10,1.63,"565,707",3.52,N/A
생명 공학 및 의학 연구,56202010,XBIO,Xenetic Biosciences Inc,nasdaq,2026-08-28,3.98,4.30,3.95,4.19,+23.96%,+9.97%,0.21,5.28,"30,158",0.13,N/A
생명 공학 및 의학 연구,56202010,ZYME,Zymeworks Inc.,nasdaq,2026-08-26,29.31,29.69,27.81,29.41,+21.98%,+2.22%,1.14,4.03,"715,961",21.06,N/A
석탄,50101010,ARLP,Alliance Resource Partners Units,nasdaq,2026-08-25,26.47,26.69,26.29,26.50,+3.92%,+0.45%,0.32,1.22,"204,027",5.41,N/A
소비자 대출,55101030,JSM,Navient 6 Prcnt Senior Notes Exp 15 Dec 2043,nasdaq,2026-06-16,18.38,18.43,18.00,18.39,+2.30%,+2.39%,0.17,0.93,"25,002",0.46,N/A
소비자 대출,55101030,NAVI,Navient Corporation,nasdaq,2026-08-06,9.49,9.61,9.40,9.51,+19.73%,+0.42%,0.05,0.53,"1,175,599",11.18,N/A
소비자 대출,55101030,SLMBP,SLM Floating Rate Non Cumulative Pref Shs Series B,nasdaq,2026-08-27,75.23,75.23,75.00,75.23,+2.20%,+0.32%,0.23,0.31,"3,823",0.29,N/A
소프트웨어,57201020,ADBE,Adobe Inc,nasdaq,2026-08-28,291.52,294.13,286.26,292.79,+11.71%,+5.98%,1.27,0.44,"5,093,661","1,491.37",N/A
소프트웨어,57201020,APPN,Appian Corp,nasdaq,2026-08-28,42.51,44.06,41.62,42.95,+60.92%,+9.65%,0.44,1.04,"925,518",39.75,N/A
소프트웨어,57201020,ASUR,Asure Software Inc,nasdaq,2026-06-04,9.10,9.26,9.03,9.12,-2.36%,+4.83%,0.05,0.55,"94,098",0.86,N/A
소프트웨어,57201020,CRWD,CrowdStrike Holdings  Inc.,nasdaq,2026-08-27,227.96,233.85,221.00,231.00,+20.16%,+21.15%,12.60,5.77,"17,747,398","4,099.65",N/A
소프트웨어,57201020,DCBO,Docebo Inc.,nasdaq,2026-08-28,25.59,27.00,25.70,26.54,+40.42%,+8.28%,0.95,3.71,"88,839",2.36,N/A
소프트웨어,57201020,DH,Definitive Healthcare Corp,nasdaq,2026-06-04,0.91,1.02,0.80,0.95,-1.04%,+31.76%,0.15,18.45,"1,118,086",1.06,N/A
소프트웨어,57201020,DOCU,Docusign  Inc.,nasdaq,2026-08-13,64.09,66.32,63.60,66.27,+20.27%,+5.93%,2.27,3.55,"3,873,341",256.69,N/A
소프트웨어,57201020,FRSH,Freshworks Inc.,nasdaq,2026-08-28,13.86,13.95,13.61,13.92,+37.01%,+5.53%,0.06,0.43,"4,366,822",60.79,N/A
소프트웨어,57201020,GENVR,Gen Digital Contingent Value Rights,nasdaq,2026-08-28,5.20,5.45,4.80,5.20,+79.31%,+38.67%,0.00,0.0,"169,210",0.88,N/A
소프트웨어,57201020,GTLB,GitLab Inc.,nasdaq,2026-08-28,44.87,46.65,44.67,46.54,+46.26%,+10.73%,1.67,3.72,"5,679,634",264.33,N/A
소프트웨어,57201020,IBEX,Ibex Ltd,nasdaq,2026-08-28,38.12,38.84,37.35,38.46,+20.53%,+4.40%,0.34,0.89,"118,677",4.56,N/A
소프트웨어,57201020,MNDY,monday.com Ltd.,nasdaq,2026-08-28,100.71,102.00,99.13,101.14,+10.52%,+7.31%,0.43,0.43,"1,141,905",115.49,N/A
소프트웨어,57201020,NICE,NICE Ltd. ADR,nasdaq,2026-08-28,108.84,110.57,107.93,109.18,+12.50%,+8.91%,0.34,0.31,"487,371",53.21,N/A
소프트웨어,57201020,OMH,Ohmyhome Ltd,nasdaq,2026-07-21,0.81,3.75,3.04,3.24,+332.00%,+3206.12%,3.17,4528.57,"183,733",0.60,N/A
소프트웨어,57201020,PCTY,Paylocity Holding Corp,nasdaq,2026-08-27,158.15,160.73,156.24,160.22,+35.96%,+5.10%,2.29,1.45,"1,039,442",166.54,N/A
소프트웨어,57201020,PEGA,Pegasystems Inc.,nasdaq,2026-08-28,36.17,36.98,35.53,36.81,+0.65%,+7.38%,0.64,1.77,"2,104,669",77.47,N/A
소프트웨어,57201020,PLTR,Palantir Technologies Inc.,nasdaq,2026-08-28,186.29,187.94,183.79,186.38,+22.48%,+5.96%,0.09,0.05,"25,633,590","4,777.59",N/A
소프트웨어,57201020,PRGS,Progress Software Corp,nasdaq,2026-08-27,45.22,46.34,44.15,46.27,+35.89%,+6.56%,1.51,3.37,"679,953",31.46,N/A
소프트웨어,57201020,SAIL,SailPoint  Inc.,nasdaq,2026-08-27,20.45,20.90,19.72,20.56,+3.63%,+13.40%,0.73,3.68,"3,778,488",77.69,N/A
소프트웨어,57201020,SPSC,SPS Commerce  Inc.,nasdaq,2026-08-28,84.92,86.02,83.76,85.40,+47.75%,+4.98%,0.48,0.57,"486,378",41.54,N/A
소프트웨어,57201020,TEAM,Atlassian Corp,nasdaq,2026-08-28,190.41,197.30,187.67,194.17,+77.97%,+13.33%,3.76,1.97,"5,062,455",982.98,N/A
소프트웨어,57201020,ZS,Zscaler  Inc.,nasdaq,2026-08-13,188.18,190.47,183.90,188.38,+30.69%,+7.00%,4.15,2.26,"2,559,557",482.18,N/A
식품 가공,54102020,MTEX,Mannatech Inc,nasdaq,2026-08-26,7.10,7.18,6.91,7.18,+25.96%,+11.32%,0.44,6.53,"2,864",0.02,N/A
엔터테인먼트 제작,53302030,PSKY,Paramount Skydance Corp,nasdaq,2026-08-28,10.88,11.21,10.74,10.91,+1.69%,+5.41%,0.03,0.28,"11,108,648",121.20,N/A
여가 및 오락시설,53301040,RDI,Reading International Inc Class A,nasdaq,2026-08-27,2.10,2.15,2.04,2.13,+74.59%,+17.03%,0.12,5.97,"100,559",0.21,N/A
영국 투자 신탁,55501010,BPOPM,Popular Capital Trust II 6 125 Cumulative Monthly Income Pref Shs,nasdaq,2026-06-11,25.37,25.50,25.16,25.50,+1.54%,+1.15%,0.28,1.11,"22,453",0.57,N/A
오일 관련 서비스 및 장비,50103020,OMSE,OMS Energy Technologies Inc,nasdaq,2026-06-03,4.68,4.96,4.64,4.82,+0.63%,+7.83%,0.19,4.1,"58,917",0.28,N/A
오일 및 가스 수송 서비스,50103030,PAA,Plains All American Pipeline Units,nasdaq,2026-08-26,25.63,25.69,25.40,25.65,+11.72%,+2.76%,0.17,0.67,"2,710,189",69.52,N/A
오일 및 가스 수송 서비스,50103030,PAGP,Plains GP Holdings Limited Partner Interests Units Class A,nasdaq,2026-08-26,28.13,28.33,27.96,28.22,+13.33%,+3.48%,0.25,0.89,"1,785,011",50.37,N/A
오일 및 가스 수송 서비스,50103030,TRMD,Torm PLC,nasdaq,2026-08-28,32.62,33.09,32.29,32.81,+16.60%,+3.70%,0.19,0.58,"929,297",30.49,N/A
오일 및 가스 시추,50103010,PTEN,Patterson-UTI Energy Inc,nasdaq,2026-08-28,12.43,12.93,12.28,12.64,+7.76%,+6.58%,0.21,1.69,"10,489,277",132.58,N/A
"오일, 가스 탐사 및 생산",50102020,EPSN,Epsilon Energy Ltd,nasdaq,2026-08-28,6.02,6.23,6.06,6.23,+8.44%,+11.05%,0.21,3.49,"181,849",1.13,N/A
온라인 서비스,57201030,AEHL,Antelope Enterprise Holdings Ltd,nasdaq,2026-08-20,6.35,8.48,5.83,6.49,+484.68%,+6.39%,2.95,83.33,"46,984,609",304.93,N/A
온라인 서비스,57201030,DUOL,Duolingo  Inc.,nasdaq,2026-08-20,147.03,149.61,144.51,148.36,+34.93%,+1.04%,1.38,0.94,"828,333",122.89,N/A
온라인 서비스,57201030,WIX,Wix.com Ltd.,nasdaq,2026-08-28,87.62,88.49,86.07,88.25,+54.63%,+4.54%,0.63,0.72,"2,049,363",180.86,N/A
은행,55101010,CLST,Catalyst Bancorp Inc,nasdaq,2026-08-18,17.53,18.12,17.79,17.81,+11.31%,+2.53%,0.31,1.77,"6,830",0.12,N/A
은행,55101010,CPBI,Central Plains Bancshares Inc,nasdaq,2026-08-06,21.00,21.05,20.99,21.05,+13.72%,+0.43%,0.06,0.31,"6,938",0.15,N/A
은행,55101010,FSEA,First Seacoast Bancorp Inc,nasdaq,2026-08-28,17.18,17.21,17.17,17.19,+2.57%,+0.70%,0.01,0.03,"4,725",0.08,N/A
은행,55101010,MBINL,Merchants Bancorp Ind Dep Shs Repstg 1 40Th Int Perp Prf Shs Ser E,nasdaq,2026-08-26,25.05,25.09,25.00,25.09,+2.54%,+0.36%,0.05,0.18,"7,847",0.20,N/A
은행,55101010,PBAM,Private Bancorp of America Inc,nasdaq,2026-08-28,88.70,88.70,88.25,88.70,+23.02%,+0.23%,0.00,0.0,"36,115",3.20,N/A
은행,55101010,RCBC,River City Bank,nasdaq,2026-08-28,50.87,51.16,50.00,51.16,+23.70%,+3.67%,0.29,0.57,"41,768",2.14,N/A
은행,55101010,VLYPO,Valley National 5.50% Fixed to Floating Rate Non Cum Perp Pref Shs Series B,nasdaq,2026-07-31,25.02,25.17,24.93,25.08,+2.29%,+0.36%,0.06,0.24,"6,199",0.16,N/A
은행,55101010,VLYPP,Valley National 6 25 Fixed to Floating Rate Non Cumulative Perpetual Pref Shs,nasdaq,2026-08-28,25.20,25.21,25.20,25.20,+2.56%,+0.24%,0.00,0.0,"6,248",0.16,N/A
은행,55101010,WAFDP,Wafd Depositary Shares,nasdaq,2026-08-21,16.59,16.88,16.55,16.71,+5.06%,+1.21%,0.21,1.27,"38,251",0.64,N/A
은행,55101010,WSBCO,Wesbanco Depositary Shs Each Repstg 1 40Th In Sh Of Fxd Rate Rst Non Cumulatv,nasdaq,2026-08-27,25.74,25.77,25.52,25.77,+2.25%,+0.19%,0.03,0.12,"16,267",0.42,N/A
