섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,3개월 종가 상승률,1주 종가 상승률,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,135A,Vrain Solution Inc,tse,2026-09-17,"4,650","4,770","4,600","4,710",+4.43%,+7.17%,60,1.29,"58,100",273,N/A
IT 서비스 및 컨설팅,57201010,153A,Caulis Inc,tse,2026-09-17,"1,660","1,710","1,629","1,694",+54.00%,+3.80%,34,2.05,"72,700",123,N/A
IT 서비스 및 컨설팅,57201010,332A,MEEQ Inc,tse,2026-09-17,"1,190","1,250","1,194","1,234",+16.86%,+10.38%,44,3.7,"168,300",207,N/A
IT 서비스 및 컨설팅,57201010,338A,ZenmuTech Inc,tse,2026-09-11,"3,255","3,500","3,035","3,420",+66.91%,+5.07%,265,8.4,"1,052,600","3,599",N/A
건설 및 엔지니어링,52201020,341A,Toyokoh Inc,tse,2026-09-17,"2,295","2,345","2,294","2,329",+14.39%,+6.40%,34,1.48,"47,300",110,N/A
건설 및 엔지니어링,52201020,460A,Branu Inc,tse,2026-09-16,"1,240","1,328","1,180","1,305",+53.71%,+31.82%,122,10.31,"94,200",122,N/A
경영 지원 서비스,52203040,189A,D&M Company Co Ltd,tse,2026-09-17,"1,069","1,083","1,063","1,083",+11.76%,+3.93%,14,1.31,"2,700",2,N/A
고용 서비스,52203030,142A,Jinjibu Co Ltd,tse,2026-09-17,875,920,870,915,+20.24%,+10.37%,40,4.57,"21,200",19,N/A
반도체,57101010,167A,Ryoyo Ryosan Holdings Inc,tse,2026-09-17,"3,290","3,320","3,270","3,300",+19.61%,+4.10%,10,0.3,"188,700",622,N/A
부동산 서비스,60101020,276A,CCReB Advisors Inc,tse,2026-09-08,"4,165","4,315","4,080","4,315",+42.17%,+6.15%,160,3.85,"21,000",90,N/A
산업용 기계 및 장비,52102010,523A,Seiwa Holdings Co Ltd,tse,2026-09-01,"1,852","1,917","1,822","1,906",+1.65%,+8.67%,88,4.84,"160,800",306,N/A
생명 공학 및 의학 연구,56202010,219A,Heartseed Inc.,tse,2026-08-28,"2,500","2,663","2,433","2,662",+68.06%,+17.22%,202,8.21,"814,100","2,167",N/A
"오일, 가스 정제 및 마케팅",50102030,416A,Fuji United Holdings Co Ltd,tse,2026-09-17,"1,365","1,370","1,362","1,367",+19.91%,+3.56%,2,0.15,"11,300",15,N/A
온라인 서비스,57201030,479A,PRONI Inc,tse,2026-09-17,"2,139","2,258","2,149","2,255",+73.06%,+18.06%,116,5.42,"147,400",332,N/A
"의료 장비, 물품 및 유통",56101020,197A,TAUNS Laboratories  Inc.,tse,2026-09-17,519,523,517,523,+10.13%,+4.18%,4,0.77,"162,900",85,N/A
전기 부품 및 장비,52102030,485A,PowerX Inc,tse,2026-09-15,"2,400","2,414","2,110","2,404",+9.27%,+12.07%,287,13.56,"16,192,000","38,925",N/A
