섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
IT 서비스 및 컨설팅,57201010,300020,Enjoyor Technology Co Ltd Class A,szse,2026-04-17,3.84,3.99,3.42,3.93,0.46,13.26,"46,008,939",180,N/A
경영 지원 서비스,52203040,300938,EMTEK (Shenzhen) Co Ltd Class A,szse,2026-07-01,52.57,57.29,50.10,54.30,1.73,3.29,"26,095,100","1,416",N/A
반도체,57101010,300345,Hunan Huamin Holdings Co Ltd Class A,szse,2026-05-11,7.34,8.14,6.85,7.45,0.44,6.28,"118,972,903",886,N/A
반도체,57101010,300671,Fine Made Microelectronics Group Co Ltd Class A,szse,2026-07-01,91.74,97.97,85.40,92.24,0.50,0.55,"37,085,435","3,420",N/A
산업용 기계 및 장비,52102010,002559,Jiangsu Yawei Machine Tool Co Ltd Class A,szse,2026-07-01,13.98,15.38,14.66,15.38,1.40,10.01,"94,139,287","1,447",N/A
산업용 기계 및 장비,52102010,300720,Guang Dong High Dream Intellectualized Machinery Co Ltd Class A,szse,2026-07-01,110.30,121.30,111,115.74,5.44,4.93,"19,468,630","2,253",N/A
상품 화학,51101010,002326,Zhejiang Yongtai Technology Co Ltd Class A,szse,2026-04-27,27.22,28.62,26.63,28,1.98,7.61,"213,546,452","5,979",N/A
상품 화학,51101010,002971,Hubei Heyuan Gas Co Ltd Class A,szse,2026-06-23,72.95,74.97,66.97,74.97,6.82,10.0,"23,675,792","1,774",N/A
상품 화학,51101010,300568,Shenzhen Senior Technology Material Co Ltd Class A,szse,2026-06-22,20.33,21.43,18.68,20.34,0.68,3.46,"155,603,629","3,164",N/A
상품 화학,51101010,301092,Zhejiang Zhengguang Industrial Co Ltd Class A,szse,2026-06-22,54.72,58.91,50.10,58.91,9.82,20.0,"9,422,192",555,N/A
석탄,50101010,000571,Sundiro Holding Co Ltd Class A,szse,2026-06-25,6.70,7.23,6.88,6.97,0.33,4.97,"61,135,556",426,N/A
식품 가공,54102020,300765,CSPC Innovation Pharmaceutical Co Ltd Class A,szse,2026-04-16,34,34.66,30.80,34.49,3.74,12.16,"39,133,983","1,349",N/A
식품 소매 및 유통,54301020,000759,Zhongbai Holdings Group Co Ltd Class A,szse,2026-06-22,6.54,6.90,6.32,6.80,0.34,5.26,"133,088,920",905,N/A
어업 및 농업,54102010,002458,Shandong Yisheng Livestock & Poultry Breeding Co Ltd Class A,szse,2026-05-15,9.16,9.41,9,9.41,0.86,10.06,"104,690,906",985,N/A
여가 및 오락시설,53301040,300860,Funshine Culture Group Co Ltd Class A,szse,2026-05-19,26.57,27.65,26.21,27.10,0.63,2.38,"4,796,343",129,N/A
온라인 서비스,57201030,002354,Tianyu Digital Technology Group Co Ltd Class A,szse,2026-07-01,9.40,10.34,10,10.34,0.94,10.0,"102,675,870","1,061",N/A
전기 부품 및 장비,52102030,000970,Beijing Zhong Ke San Huan High-Tech Co Ltd Class A,szse,2026-07-01,15.49,16.88,15.50,16.10,0.61,3.94,"153,681,745","2,474",N/A
전자 장비 및 부품,57104010,000725,BOE Technology Group Co Ltd Class A,szse,2026-07-01,8.77,9.50,7.89,9.10,0.33,3.76,"5,661,858,899","51,522",N/A
전자 장비 및 부품,57104010,002025,Guizhou Space Appliance Co Ltd Class A,szse,2026-04-20,80.46,87.80,77.08,83.10,2.90,3.62,"37,608,476","3,125",N/A
전자 장비 및 부품,57104010,301328,Wcon Electronics Co Ltd Class A,szse,2026-07-01,80.60,84.71,72.56,80.66,0.06,0.07,"8,560,850",690,N/A
제약,56201040,000566,Hainan Haiyao Co Ltd Class A,szse,2026-04-16,5.54,6.04,5.95,6.04,0.55,10.02,"123,587,183",746,N/A
제약,56201040,002422,Sichuan Kelun Pharmaceutical Co Ltd Class A,szse,2026-07-01,41.95,45.68,41.01,44.75,2.80,6.67,"56,484,967","2,527",N/A
제약,56201040,002653,Haisco Pharmaceutical Group Co Ltd Class A,szse,2026-07-01,72.96,80,69,78.80,5.84,8.0,"23,998,413","1,891",N/A
제약,56201040,301617,Shandong Boyuan Advanced Materials Co Ltd Class A,szse,2026-07-01,65.40,69.90,62.66,66.21,0.81,1.24,"7,595,911",502,N/A
주택 건설,53203010,301365,Matrix Design Co Ltd Class A,szse,2026-05-11,38.75,42,37.59,39.93,1.43,3.71,"12,166,428",485,N/A
중전기장비,52102040,002367,Canny Elevator Co Ltd Class A,szse,2026-07-01,7.06,7.46,7.08,7.18,0.12,1.7,"29,429,542",211,N/A
지상 화물 및 물류,52405030,300873,Hichain Logistics Co Ltd Class A,szse,2026-07-01,28.72,32.57,27.77,30.01,1.29,4.49,"61,211,267","1,836",N/A
컴퓨터 하드웨어,57106010,002955,Hitevision Co Ltd Class A,szse,2026-06-30,35.75,39.15,35,37.54,1.86,5.21,"13,910,657",522,N/A
특수 채굴 및 금속,51201050,002167,Guangdong Orient Zirconic Ind Sci & Tech Co Ltd Class A,szse,2026-07-01,24.28,26.71,23.50,26.05,1.77,7.29,"198,469,217","5,170",N/A
특수 채굴 및 금속,51201050,301307,Chongqing Millison Technologies Inc Class A,szse,2026-07-01,76.95,85.39,74.40,79.28,2.33,3.03,"18,462,456","1,463",N/A
특수 화학제,51101030,300655,Crystal Clear Electronic Material Co Ltd Class A,szse,2026-06-30,21.42,23.22,19,21.93,1.22,5.89,"210,810,130","4,623",N/A
