섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
Communication Services,Publishing,NWSA,News Corp (Class A),s&p500,2026-05-07,27.04,27.05,0.21,0.78,"637,673",17.25,N/A
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",HLT,Hilton Worldwide,s&p500,2026-04-20,342.73,345.16,7.01,2.07,"354,948",122.51,N/A
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",MAR,Marriott International,s&p500,2026-05-27,385.86,394.02,8.72,2.26,"398,497",157.01,N/A
Consumer Staples,Soft Drinks & Non-alcoholic Beverages,MNST,Monster Beverage,s&p500,2026-05-27,89.24,89.43,0.89,1.01,"962,039",86.04,N/A
Energy,Oil & Gas Refining & Marketing,MPC,Marathon Petroleum,s&p500,2026-06-03,267.21,268.76,1.71,0.64,"424,453",114.07,N/A
Energy,Oil & Gas Refining & Marketing,VLO,Valero Energy,s&p500,2026-06-03,261.45,261.93,3.08,1.19,"591,540",154.95,N/A
Financials,Asset Management & Custody Banks,BNY,BNY Mellon,s&p500,2026-06-04,144.02,144.34,0.32,0.22,"537,449",77.58,N/A
Financials,Asset Management & Custody Banks,STT,State Street Corporation,s&p500,2026-06-04,162.75,162.88,0.13,0.08,"340,590",55.48,N/A
Financials,Diversified Banks,PNC,PNC Financial Services,s&p500,2026-04-21,228.05,229.74,2.66,1.17,"256,984",59.04,N/A
Financials,Life & Health Insurance,GL,Globe Life,s&p500,2026-05-18,157.35,157.87,3.56,2.3,"56,884",8.98,N/A
Financials,Life & Health Insurance,MET,MetLife,s&p500,2026-05-21,84.30,84.75,1.29,1.55,"600,626",50.90,N/A
Financials,Life & Health Insurance,PFG,Principal Financial Group,s&p500,2026-05-26,103.88,104.51,1.00,0.97,"111,975",11.70,N/A
Financials,Life & Health Insurance,PRU,Prudential Financial,s&p500,2026-06-04,103.32,104.70,1.38,1.34,"348,271",36.46,N/A
Financials,Regional Banks,FITB,Fifth Third Bancorp,s&p500,2026-06-04,51.80,52.31,0.51,0.97,"1,653,786",86.50,N/A
Financials,Regional Banks,MTB,M&T Bank,s&p500,2026-06-04,221.73,224.37,2.64,1.19,"168,755",37.86,N/A
Financials,Regional Banks,RF,Regions Financial Corporation,s&p500,2026-06-04,28.43,28.60,0.17,0.6,"2,064,266",59.04,N/A
Health Care,Biotechnology,ABBV,AbbVie,s&p500,2026-06-04,224.94,227.98,3.04,1.35,"1,499,212",341.79,N/A
Health Care,Biotechnology,INCY,Incyte,s&p500,2026-06-04,101.24,105.77,4.53,4.47,"700,588",74.10,N/A
Health Care,Health Care Equipment,BAX,Baxter International,s&p500,2026-05-26,19.37,19.69,0.34,1.78,"2,613,606",51.47,N/A
Health Care,Managed Health Care,ELV,Elevance Health,s&p500,2026-06-04,409.44,412.88,3.44,0.84,"287,524",118.71,N/A
Health Care,Pharmaceuticals,LLY,Lilly (Eli),s&p500,2026-05-28,"1,126.80","1,157.71",32.44,2.88,"1,542,643","1,785.93",N/A
Industrials,Aerospace & Defense,GE,GE Aerospace,s&p500,2026-06-04,327.65,331.99,4.35,1.33,"900,452",298.95,N/A
Industrials,Air Freight & Logistics,EXPD,Expeditors International,s&p500,2026-05-27,160.68,161.20,1.07,0.67,"264,260",42.60,N/A
Industrials,Cargo Ground Transportation,JBHT,J.B. Hunt,s&p500,2026-06-04,283.31,287.48,4.17,1.47,"199,566",57.37,N/A
Industrials,Cargo Ground Transportation,ODFL,Old Dominion,s&p500,2026-06-04,245.52,247.39,1.87,0.76,"446,742",110.52,N/A
Industrials,Industrial Machinery & Supplies & Components,GWW,W. W. Grainger,s&p500,2026-06-04,"1,289.37","1,304.85",15.48,1.2,"49,202",64.20,N/A
Industrials,Rail Transportation,CSX,CSX Corporation,s&p500,2026-05-27,47.00,47.01,0.78,1.7,"2,535,841",119.22,N/A
Real Estate,Hotel & Resort REITs,HST,Host Hotels & Resorts,s&p500,2026-06-04,24.45,24.72,0.26,1.08,"2,129,989",52.64,N/A
Real Estate,Multi-Family Residential REITs,AVB,AvalonBay Communities,s&p500,2026-06-04,189.19,190.18,0.99,0.52,"119,543",22.73,N/A
Real Estate,Multi-Family Residential REITs,CPT,Camden Property Trust,s&p500,2026-06-04,112.01,112.91,0.90,0.8,"189,090",21.35,N/A
Real Estate,Multi-Family Residential REITs,EQR,Equity Residential,s&p500,2026-06-04,67.90,68.53,0.63,0.93,"489,597",33.55,N/A
