섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일최고가,당일최저가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
금융 지원 서비스업,증권업,001720,신영증권,kospi,2026-04-16,64,64,63,64,1,0.95,"416,166",26,10
금융 지원 서비스업,"증권업,부동산 임대",001515,SK증권우,kospi,2026-07-02,39,43,38,42,3,7.83,"13,198,626",554,0
기타 금융업,"지주사업, 경영자문 및 컨설팅",180640,한진칼,kospi,2026-07-02,"131,200","135,200","125,500","134,000","2,800",2.13,"109,245","14,638","89,461"
기타 화학제품 제조업,"화장품, 의약품",161890,한국콜마,kospi,2026-07-02,"113,700","119,500","110,000","117,800","4,100",3.61,"668,789","78,783","27,806"
"내화, 비내화 요업제품 제조업",내화 요업제품,462520,조선내화,kospi,2026-06-29,"15,960","15,960","15,360","15,960",400,2.57,"29,170",465,"1,892"
"내화, 비내화 요업제품 제조업",내화 요업제품,462520,조선내화,kospi,2026-06-29,"15,960","15,960","15,360","15,960",400,2.57,"29,170",465,"1,892"
봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",001460,BYC,kospi,2026-07-02,8,9,8,9,1,8.33,"11,161,972",95,0
생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",081660,미스토홀딩스,kospi,2026-07-02,"46,400","47,450","45,300","46,850",450,0.97,"172,967","8,103","24,873"
소프트웨어 개발 및 공급업,게임 소프트웨어,462870,시프트업,kospi,2026-04-27,"34,850","35,450","33,500","34,950",800,2.34,"126,371","4,416","20,499"
수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,014710,사조씨푸드,kospi,2026-07-01,"8,510","8,680","8,290","8,680",320,3.83,"38,114",330,"1,494"
"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘/건설공사/산업용 송풍기,001527,동양2우B,kospi,2026-06-25,34,35,33,34,1,2.24,"693,153",23,0
신탁업 및 집합투자업,,415640,KB발해인프라,kospi,2026-04-28,"10,160","10,460","9,970","10,400",290,2.87,"215,424","2,240","12,744"
의약품 제조업,의약품 제조,002630,오리엔트바이오,kospi,2026-07-01,52,56,51,56,5,9.84,"17,261,720",963,33
의약품 제조업,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대",002390,한독,kospi,2026-06-04,13,13,12,13,1,9.96,"3,838,833",50,1
전구 및 조명장치 제조업,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",001210,금호전기,kospi,2026-07-02,58,59,57,58,0,0.69,"5,693,539",330,35
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,중전기기 제조,도매/전기공사",007610,선도전기,kospi,2026-06-22,"2,505","2,570","2,445","2,550",55,2.2,"179,452",457,459
건물 건설업,도급공사,013120,동원개발,kosdaq,2026-04-08,"3,025","3,150","2,265","3,150",725,29.9,"12,023,344","37,873","2,860"
금융 지원 서비스업,금융 지원 서비스,473050,유안타제15호스팩,kosdaq,2026-06-09,"2,080","2,080","2,070","2,080",10,0.48,"19,119",39,145
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105","2,100","2,105",0,0.0,"49,032",103,153
금융 지원 서비스업,합병,0105P0,유진스팩12호,kosdaq,2026-04-07,"2,010","2,010","2,000","2,010",10,0.5,"5,679",11,113
기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품,148930,에이치와이티씨,kosdaq,2026-04-27,"3,280","3,300","3,180","3,290",40,1.23,"64,110",210,334
기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴",019210,와이지-원,kosdaq,2026-06-19,"22,600","23,300","20,650","22,600","1,100",5.12,"1,075,410","24,304","8,405"
기타 상품 전문 소매업,소파,004590,한국가구,kosdaq,2026-07-02,88,97,88,96,8,9.09,"2,096,432",201,14
상품 중개업,골프시뮬레이터,121440,골프존홀딩스,kosdaq,2026-07-01,"6,640","6,660","6,630","6,640",10,0.15,"1,666,259","11,063","2,844"
음·식료품 및 담배 도매업,건강보조식품 등,065170,비엘팜텍,kosdaq,2026-07-02,"3,535","4,595","3,350","4,595","1,060",29.99,"9,519,852","43,743","1,282"
전문디자인업,"캐릭터디자인,캐릭터완구 등",039830,오로라,kosdaq,2026-05-22,"18,910","20,450","17,620","20,400","2,610",14.67,"289,411","5,903","2,195"
전자부품 제조업,"센서, 캐니스터",311320,지오엘리먼트,kosdaq,2026-07-01,"11,250","11,350","10,290","11,340","1,020",9.88,"174,926","1,983","1,430"
특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",064290,인텍플러스,kosdaq,2026-07-01,"48,500","53,200","47,200","51,800","6,000",13.1,"1,074,167","55,641","6,670"
"펄프, 종이 및 판지 제조업","아트지,CCP지",001810,무림SP,kosdaq,2026-06-05,22,23,21,23,2,9.93,"20,344,060",472,5
