섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
Consumer Discretionary,Homefurnishing Retail,WSM,"Williams-Sonoma, Inc.",s&p500,2026-06-03,207.11,208.09,0.98,0.47,"888,300",184.85,N/A
Consumer Discretionary,"Hotels, Resorts & Cruise Lines",RCL,Royal Caribbean Group,s&p500,2026-06-02,289.30,293.28,6.86,2.4,"2,656,100",778.98,N/A
Energy,Oil & Gas Equipment & Services,SLB,Schlumberger,s&p500,2026-05-26,57.68,58.01,1.16,2.04,"9,985,000",579.23,N/A
Financials,Asset Management & Custody Banks,ARES,Ares Management,s&p500,2026-06-01,128.74,130.50,7.40,6.01,"2,127,100",277.59,N/A
Financials,Asset Management & Custody Banks,BNY,BNY Mellon,s&p500,2026-06-01,142.59,144.02,3.45,2.45,"3,626,600",522.30,N/A
Financials,Asset Management & Custody Banks,NTRS,Northern Trust,s&p500,2026-04-21,171.74,173.06,4.61,2.74,"767,300",132.79,N/A
Financials,Asset Management & Custody Banks,STT,State Street Corporation,s&p500,2026-06-01,159.79,162.75,4.87,3.08,"1,650,000",268.54,N/A
Financials,Asset Management & Custody Banks,TROW,T. Rowe Price,s&p500,2026-05-06,106.13,106.96,2.95,2.84,"1,554,500",166.27,N/A
Financials,Diversified Banks,C,Citigroup,s&p500,2026-04-20,132.42,135.15,5.22,4.02,"11,482,600","1,551.87",N/A
Financials,Investment Banking & Brokerage,GS,Goldman Sachs,s&p500,2026-06-02,"1,064.58","1,092.61",51.59,4.96,"2,608,800","2,850.40",N/A
Financials,Investment Banking & Brokerage,MS,Morgan Stanley,s&p500,2026-06-02,214.98,218.27,8.13,3.87,"5,565,300","1,214.74",N/A
Financials,Life & Health Insurance,PRU,Prudential Financial,s&p500,2026-05-21,102.84,103.32,2.53,2.51,"1,596,700",164.97,N/A
Financials,Regional Banks,FITB,Fifth Third Bancorp,s&p500,2026-04-21,51.10,51.80,2.31,4.67,"10,350,700",536.17,N/A
Financials,Regional Banks,MTB,M&T Bank,s&p500,2026-04-09,221.44,221.73,7.70,3.6,"907,700",201.26,N/A
Financials,Regional Banks,RF,Regions Financial Corporation,s&p500,2026-04-30,28.28,28.43,1.03,3.76,"9,637,100",273.98,N/A
Health Care,Biotechnology,INCY,Incyte,s&p500,2026-05-11,100.32,101.24,3.26,3.33,"1,780,000",180.21,N/A
Health Care,Health Care Technology,SOLV,Solventum,s&p500,2026-06-03,78.36,82.42,4.06,5.18,"2,488,600",205.11,N/A
Health Care,Life Sciences Tools & Services,A,Agilent Technologies,s&p500,2026-06-03,137.40,138.37,0.97,0.71,"2,126,400",294.23,N/A
Health Care,Life Sciences Tools & Services,CRL,Charles River Laboratories,s&p500,2026-04-20,185.54,185.79,5.92,3.29,"736,700",136.87,N/A
Health Care,Life Sciences Tools & Services,IQV,IQVIA,s&p500,2026-06-01,186.82,186.88,4.83,2.65,"1,676,300",313.27,N/A
Health Care,Managed Health Care,CNC,Centene Corporation,s&p500,2026-06-01,62.00,62.70,3.15,5.29,"5,835,900",365.91,N/A
Health Care,Managed Health Care,ELV,Elevance Health,s&p500,2026-06-01,402.66,409.44,18.17,4.64,"1,424,800",583.37,N/A
Health Care,Managed Health Care,HUM,Humana,s&p500,2026-06-01,328.31,349.80,22.26,6.8,"1,892,200",661.89,N/A
Industrials,Aerospace & Defense,GE,GE Aerospace,s&p500,2026-03-11,325.15,327.65,13.01,4.13,"4,243,400","1,390.35",N/A
Industrials,Air Freight & Logistics,UPS,United Parcel Service,s&p500,2026-06-01,109.02,110.22,1.55,1.43,"5,759,800",634.85,N/A
Industrials,Building Products,CARR,Carrier Global,s&p500,2026-05-06,67.90,68.54,0.96,1.42,"5,505,700",377.36,N/A
Industrials,Building Products,JCI,Johnson Controls,s&p500,2026-06-03,146.96,147.40,0.44,0.3,"4,668,300",688.11,N/A
Industrials,Cargo Ground Transportation,JBHT,J.B. Hunt,s&p500,2026-06-03,280.05,283.31,3.26,1.16,"546,300",154.77,N/A
Industrials,Cargo Ground Transportation,ODFL,Old Dominion,s&p500,2026-06-03,236.06,245.52,9.46,4.01,"2,325,500",570.96,N/A
Industrials,Construction Machinery & Heavy Transportation Equipment,CAT,Caterpillar Inc.,s&p500,2026-05-06,926.93,940.48,14.30,1.54,"3,077,000","2,893.86",N/A
Industrials,Industrial Machinery & Supplies & Components,GWW,W. W. Grainger,s&p500,2026-06-03,"1,284.22","1,289.37",5.15,0.4,"217,100",279.92,N/A
Industrials,Trading Companies & Distributors,URI,United Rentals,s&p500,2026-06-03,"1,056.58","1,084.62",28.04,2.65,"581,400",630.60,N/A
