섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
기타 금융업,지주회사,402340,SK스퀘어,kospi,2026-06-22,"1,970,000","2,076,000","106,000",5.38,"971,401","2,016,628","2,739,456"
기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",034730,SK,kospi,2026-06-22,"730,000","789,000","59,000",8.08,"350,309","276,393","572,046"
기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",03473K,SK우,kospi,2026-06-19,"440,500","460,000","20,500",4.66,"8,338","3,835","2,604"
석유 정제품 제조업,"윤활유,고무배합유,전기절연유 제조,판매,수출입",003650,미창석유,kospi,2026-05-22,"130,000","135,500","12,500",10.16,"4,711",638,"2,357"
알코올음료 제조업,"주류(소주,매취,실비우스,위스키) 제조,음료 도매",000890,보해양조,kospi,2026-06-22,"2,340","2,870",530,22.65,"14,253,812","40,908",792
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",025560,미래산업,kospi,2026-06-22,"47,450","50,100","2,650",5.58,"169,014","8,467","2,550"
광고업,"영상콘텐츠 제작 및 매니지먼트, 광고, 여행",048550,SM C&C,kosdaq,2026-06-22,"1,540","1,543",3,0.19,"745,137","1,149","1,492"
기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",286750,나노실리칸첨단소재,kosdaq,2026-06-22,"1,713","1,721",8,0.47,"122,917",211,551
기타 금융업,"합성운모 플레이크, 파우더, 테이프",900250,크리스탈신소재,kosdaq,2026-05-26,663,"1,584","1,065",205.2,"570,809",904,567
"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관",079650,서산,kosdaq,2026-06-22,"6,250","8,120","1,870",29.92,"735,686","5,973","1,624"
의약품 제조업,"매니큐어세트, 손톱깎이",067290,JW신약,kosdaq,2026-06-22,"2,730","3,275",545,19.96,"34,474,277","112,903","1,835"
의약품 제조업,"인체조직(피부, 뼈, 연골)",290650,엘앤씨바이오,kosdaq,2026-06-22,"88,000","96,700","8,700",9.89,"465,949","45,057","26,079"
자동차 부품 및 내장품 판매업,의류판매,900100,파이온엑스,kosdaq,2026-04-27,669,"2,990","2,601",668.64,"132,465",396,157
자동차 신품 부품 제조업,자동차 신품 부품,097780,에코볼트,kosdaq,2026-06-16,"1,348","1,390",42,3.12,"99,894",138,282
전자부품 제조업,"센서, 캐니스터",311320,지오엘리먼트,kosdaq,2026-06-22,"11,220","11,370",150,1.34,"235,980","2,683","1,434"
특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,420770,기가비스,kosdaq,2026-06-22,"159,200","166,800","7,600",4.77,"95,914","15,998","21,143"
특수 목적용 기계 제조업,반도체 및 디스플레이 제조 장비,122640,예스티,kosdaq,2026-06-18,"39,850","42,300","3,800",9.87,"1,342,440","56,785","9,130"
특수 목적용 기계 제조업,비전검사장비,320000,한울반도체,kosdaq,2026-06-22,"23,150","26,100","2,950",12.74,"5,744,504","149,931","1,740"
