섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매",002220,한일철강,kospi,2026-06-10,"5,870","5,950",210,3.66,"207,008","1,231","1,588"
고무제품 제조업,타이어 제조,161390,한국타이어앤테크놀로지,kospi,2026-06-09,"73,000","73,200","2,100",2.95,"270,799","19,822","90,676"
기초 화학물질 제조업,"등유,알킬벤젠,윤활유,노말파라핀 제조,도매",005950,이수화학,kospi,2026-05-26,"16,510","17,840","2,620",17.21,"2,665,597","47,554","4,690"
기초 화학물질 제조업,"불소화물 제조,도매",093370,후성,kospi,2026-06-10,"16,240","19,190","3,420",21.69,"16,101,158","308,981","20,582"
기타 금융업,비금융지주회사,000240,한국앤컴퍼니,kospi,2026-03-25,"27,600","28,150","2,300",8.9,"442,152","12,446","26,724"
기타 금융업,지주회사,402340,SK스퀘어,kospi,2026-06-04,"1,361,000","1,400,000","172,000",14.01,"892,483","1,249,476","1,847,417"
보험업,손해보험(자동차보험),001450,현대해상,kospi,2026-05-19,"38,850","39,700","1,900",5.03,"629,268","24,981","33,843"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000815,삼성화재우,kospi,2026-06-04,"411,500","416,000","9,500",2.34,"17,880","7,438","12,509"
봉제의복 제조업,"MLB, MLB KIDS, DISCOVERY 등 패션의류제품",383220,F&F,kospi,2026-05-11,"86,100","87,100","3,900",4.69,"117,619","10,244","33,365"
상품 종합 도매업,B2B 전자상거래,122900,아이마켓코리아,kospi,2026-04-29,"7,690","7,760",130,1.7,"155,546","1,207","2,594"
자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",204320,HL만도,kospi,2026-05-26,"63,400","65,000","15,000",30.0,"1,144,659","74,402","30,522"
전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",007815,코리아써우,kospi,2026-06-11,"26,000","27,050","1,050",4.04,"1,391",37,801
전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",00781K,코리아써키트2우B,kospi,2026-06-11,"21,850","22,800",950,4.35,"2,897",66,178
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",025560,미래산업,kospi,2026-06-11,"39,200","45,600","6,400",16.33,"314,765","14,353","2,321"
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",281820,케이씨텍,kospi,2026-05-14,"81,800","87,000","10,600",13.87,"245,402","21,349","17,224"
특수 목적용 기계 제조업,고압 수소 어닐링 장비,403870,HPSP,kosdaq global,2026-05-26,"60,100","71,500","16,500",30.0,"15,539,587","1,111,080","58,844"
특수 목적용 기계 제조업,반도체 제조용 기계,240810,원익IPS,kosdaq global,2026-05-11,"141,600","183,300","42,300",30.0,"3,629,498","665,286","89,970"
특수 목적용 기계 제조업,반도체장비(화학증착장비),095610,테스,kosdaq global,2026-06-10,"173,400","193,700","23,100",13.54,"878,826","170,228","37,500"
"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스,330860,네패스아크,kosdaq,2026-05-26,"52,000","53,500","6,500",13.83,"534,200","28,579","6,518"
금융 지원 서비스업,금융 지원 서비스,473050,유안타제15호스팩,kosdaq,2026-06-09,"2,080","2,080",10,0.48,703,1,145
금융 지원 서비스업,금융 지원 서비스(기업인수목적회사),474490,유안타제16호스팩,kosdaq,2026-03-18,"2,055","2,055",5,0.24,"1,201",2,113
금융 지원 서비스업,기업인수합병,464440,한국제13호스팩,kosdaq,2026-06-01,"2,115","2,115",5,0.24,"106,079",224,91
기초 화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액,170920,엘티씨,kosdaq,2026-06-11,"57,800","58,800","1,000",1.73,"502,558","29,550","6,211"
기타 금융업,"자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)",900070,글로벌에스엠,kosdaq,2026-04-24,634,"1,080",470,77.05,"632,920",683,290
기타 금융업,화장품용 진주광택안료,900310,컬러레이,kosdaq,2026-06-10,"1,840","1,867",27,1.47,"36,407",67,239
반도체 제조업,디지털오디오앰프칩,101400,엔시트론,kosdaq,2026-05-15,"2,165","2,250",210,10.29,"107,747",242,264
반도체 제조업,메모리 반도체 테스트,200470,에이팩트,kosdaq,2026-05-27,"10,360","11,850","1,680",16.52,"2,289,872","27,134","5,019"
반도체 제조업,반도체용 전구체 및 히터블록,241770,메카로,kosdaq,2026-04-22,"42,150","47,350","7,400",18.52,"181,424","8,590","4,826"
"서적, 잡지 및 기타 인쇄물 출판업",Smart Phonics 등(외국어 어학교재),134060,이퓨쳐,kosdaq,2026-06-11,"4,595","4,730",135,2.94,"25,383",120,225
소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",950190,고스트스튜디오,kosdaq,2026-06-11,"8,960","9,260",300,3.35,"54,052",500,"1,205"
"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관",079650,서산,kosdaq,2026-03-17,"1,570","1,605",305,23.46,"5,970,122","9,582",321
유리 및 유리제품 제조업,반도체용 석영유리,074600,원익QnC,kosdaq,2026-05-08,"39,800","44,450","8,250",22.79,"1,234,653","54,880","11,685"
의약품 제조업,완제의약품제조,082800,비보존 제약,kosdaq,2026-06-11,"3,925","3,980",55,1.4,"1,491,844","5,937","2,416"
일반 목적용 기계 제조업,"강관, 피팅, 밸브류 등",159010,아스플로,kosdaq,2026-05-28,"19,170","22,150","3,630",19.6,"349,544","7,742","2,953"
자동차 신품 부품 제조업,자동차부품,126640,화신정공,kosdaq,2026-06-11,"4,610","4,805",195,4.23,"17,873,410","85,881","1,684"
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",인터넷연동서비스 등,093320,케이아이엔엑스,kosdaq,2026-05-13,"121,900","127,300","12,900",11.28,"32,795","4,174","6,212"
전자부품 제조업,세라믹 STF(다층 세라믹 기판),252990,샘씨엔에스,kosdaq,2026-05-22,"14,940","16,750","2,330",16.16,"1,744,820","29,225","10,086"
전자부품 제조업,인쇄회로기판 제조업,219130,타이거일렉,kosdaq,2026-06-11,"74,500","79,000","4,500",6.04,"100,369","7,929","4,988"
전자부품 제조업,프리즘시트,073110,엘엠에스,kosdaq,2026-06-11,"6,460","6,760",300,4.64,"26,754",180,601
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",131290,티에스이,kosdaq,2026-06-11,"260,000","275,000","15,000",5.77,"85,321","23,463","30,418"
특수 목적용 기계 제조업,300mm Poly Etch System,089970,브이엠,kosdaq,2026-06-11,"85,100","101,700","16,600",19.51,"1,205,858","122,635","25,193"
특수 목적용 기계 제조업,"Descum, Reflow",031980,피에스케이홀딩스,kosdaq,2026-06-10,"138,700","149,300","15,400",11.5,"322,722","48,182","32,192"
특수 목적용 기계 제조업,"GasScrubber,Chiller",083450,GST,kosdaq,2026-05-13,"66,500","67,800","7,800",13.0,"705,986","47,865","12,495"
