섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",002990,금호건설,kospi,2026-06-29,"8,610","11,190","2,580",29.97,"31,996,450","358,040","4,169"
건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",002995,금호건설우,kospi,2026-06-29,"26,000","33,800","7,800",30.0,"85,794","2,899",98
기타 금속 가공제품 제조업,"수전금구,비데,위생도기,샤워부스,타일,양식기,무역",006570,대림통상,kospi,2026-04-28,"2,030","2,170",140,6.9,"113,451",246,330
기타 금융업,"백화점,여행알선,숙박,음식점/부동산 임대",005440,현대지에프홀딩스,kospi,2026-04-27,"15,500","15,820",570,3.74,"523,289","8,278","24,664"
석유 정제품 제조업,"윤활유,고무배합유,전기절연유 제조,판매,수출입",003650,미창석유,kospi,2026-05-22,"130,000","131,400","1,900",1.47,"2,464",323,"2,285"
수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,014710,사조씨푸드,kospi,2026-04-27,"8,120","8,260",630,8.26,"46,052",380,"1,422"
전구 및 조명장치 제조업,"형광등,백열전구,전구식현광등,실드빔(차량용전조) 제조,판매",001210,금호전기,kospi,2026-06-29,"1,098","1,174",76,6.92,"116,598,269","136,886",726
제재 및 목재 가공업,MDF 등,446070,유니드비티플러스,kospi,2026-06-29,"3,375","3,375",0,0.0,"94,536",319,358
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",025560,미래산업,kospi,2026-06-22,"47,450","60,300","13,900",29.96,"600,056","36,183","3,069"
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비",281820,케이씨텍,kospi,2026-06-22,"94,000","115,100","24,200",26.62,"740,028","85,177","22,788"
건물설비 설치 공사업,"건설관련설비,ACESS FLOOR,소음기,CHAMMBER,PFP UNIT,BY-PASS UNIT,DUCT,철구조물",011560,세보엠이씨,kosdaq,2026-05-26,"25,450","27,150","2,000",7.95,"139,972","3,800","2,738"
"건축기술, 엔지니어링 및 관련 기술 서비스업",수처리설비EPC,066980,한성크린텍,kosdaq,2026-05-28,"2,355","2,485",571,29.83,"14,556,137","36,172","1,290"
금융 지원 서비스업,금융 지원 서비스업,487830,신한제15호스팩,kosdaq,2026-04-06,"2,080","2,095",50,2.44,"45,066",94,91
금융 지원 서비스업,기업인수합병,0041L0,하나35호스팩,kosdaq,2026-06-23,"2,025","2,030",15,0.74,"31,007",62,122
금융 지원 서비스업,기업인수합병,0101C0,하나36호스팩,kosdaq,2026-04-08,"2,010","2,010",5,0.25,"38,460",77,155
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105",0,0.0,"7,158",15,153
금융 지원 서비스업,합병,0105P0,유진스팩12호,kosdaq,2026-04-06,"2,010","2,010",13,0.65,"30,326",60,113
기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",286750,나노실리칸첨단소재,kosdaq,2026-06-26,"1,853","1,868",47,2.58,"239,504",447,598
기타 금융업,건강보조식품,900120,씨엑스아이,kosdaq,2026-06-29,"1,081","1,126",45,4.16,"34,439",38,84
상품 중개업,골프시뮬레이터,121440,골프존홀딩스,kosdaq,2026-06-29,"5,530","6,630","1,100",19.89,"4,856,037","32,195","2,840"
"시멘트, 석회, 플라스터 및 그 제품 제조업",PHC파일,228340,동양파일,kosdaq,2026-06-29,"3,695","4,800","1,105",29.91,"3,680,125","17,664",960
음·식료품 및 담배 도매업,건강보조식품 등,065170,비엘팜텍,kosdaq,2026-04-02,"2,950","2,975",565,23.44,"3,819,516","11,363",830
의료용 기기 제조업,라파엘스마트글러브 외,290660,다이나믹솔루션,kosdaq,2026-06-25,"1,950","1,983",62,3.23,"766,292","1,519",849
의료용 기기 제조업,정밀 체성분 분석기,041830,인바디,kosdaq,2026-06-29,"52,600","57,800","5,200",9.89,"360,206","20,819","7,791"
자동차 신품 부품 제조업,자동차 신품 부품,097780,에코볼트,kosdaq,2026-06-29,"1,471","1,544",73,4.96,"40,491",62,313
자연과학 및 공학 연구개발업,"백신 및 면역증강제 개발제조업, CMO/CDMO",348080,큐라티스,kosdaq,2026-04-17,959,"2,784","2,463",767.22,"546,017","1,519","3,213"
전자부품 제조업,"반도체 및 모듈, 제어기",038880,아이에이,kosdaq,2026-06-26,"2,345","2,590",594,29.76,"179,409",464,194
특수 목적용 기계 제조업,300mm Poly Etch System,089970,브이엠,kosdaq,2026-06-26,"107,600","109,300","3,200",3.02,"513,026","56,073","27,075"
특수 목적용 기계 제조업,"Descum, Reflow",031980,피에스케이홀딩스,kosdaq,2026-06-12,"152,300","160,000","25,300",18.78,"481,289","77,006","34,499"
특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",319660,피에스케이,kosdaq,2026-06-26,"188,200","196,100","18,300",10.29,"666,080","130,618","56,803"
특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,420770,기가비스,kosdaq,2026-06-29,"175,500","192,200","16,700",9.52,"149,883","28,807","24,362"
플라스틱제품 제조업,"고강성 PVC DC, HDPE 등",060260,뉴보텍,kosdaq,2026-06-29,"1,590","1,631",41,2.58,"4,090,742","6,672",217
