섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",002990,금호건설,kospi,2026-04-28,"5,770","6,630","1,530",30.0,"9,080,429","60,203","2,470"
건물 건설업,"종합건설/여객운송,관광/부동산 임대,분양",002995,금호건설우,kospi,2026-04-08,"18,640","20,000","4,600",29.87,"33,947",678,58
봉제의복 제조업,"여성의류,남성의류,캐쥬얼웨어 제조",014990,인디에프,kospi,2026-04-17,807,"1,720","1,240",258.33,"244,446",420,258
제재 및 목재 가공업,MDF 등,446070,유니드비티플러스,kospi,2026-04-21,"3,225","3,280",100,3.14,"212,325",696,348
종합 소매업,백화점,037710,광주신세계,kospi,2026-06-24,"42,900","52,900","12,200",29.98,"2,856,025","151,083","4,034"
"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입",009460,한창제지,kospi,2026-06-25,"2,545","2,580",35,1.38,"60,987",157,307
건물 건설업,"건축공사, 토목공사",091590,남화토건,kosdaq,2026-06-24,"5,980","6,680","1,540",29.96,"2,080,948","13,900",784
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-06-04,"2,105","2,105",0,0.0,"44,474",93,153
기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",286750,나노실리칸첨단소재,kosdaq,2026-06-22,"1,713","1,853",222,13.61,"832,526","1,542",593
기타 금융업,건강보조식품,900120,씨엑스아이,kosdaq,2026-04-24,432,"1,053",662,169.31,"468,660",493,78
기타 전문 도매업,"표면처리약품, 전자동 도금설비",042040,케이피엠테크,kosdaq,2026-04-30,"1,227","4,275","3,526",470.76,"68,941",294,105
소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,208640,썸에이지,kosdaq,2026-06-25,854,900,46,5.39,"890,302",801,125
스포츠 서비스업,골프장 서비스,111710,남화산업,kosdaq,2026-06-24,"4,775","4,900","1,130",29.97,"2,403,868","11,778","1,008"
"시멘트, 석회, 플라스터 및 그 제품 제조업",PHC파일,228340,동양파일,kosdaq,2026-06-24,"2,410","2,845",655,29.91,"1,203,123","3,422",569
영상 및 음향기기 제조업,블루투스헤드셋,033560,블루콤,kosdaq,2026-04-13,"3,830","3,945",120,3.14,"100,900",398,674
자동차 신품 부품 제조업,자동차 신품 부품,097780,에코볼트,kosdaq,2026-06-25,"1,439","1,441",2,0.14,"209,723",302,292
자동차 신품 부품 제조업,자동차부품,122350,삼기,kosdaq,2026-04-21,"1,575","1,834",423,29.98,"2,025,055","3,713",703
전자부품 제조업,"반도체 및 모듈, 제어기",038880,아이에이,kosdaq,2026-04-27,"1,231","2,345","1,675",250.0,"124,353",291,176
특수 목적용 기계 제조업,300mm Poly Etch System,089970,브이엠,kosdaq,2026-06-22,"102,800","107,600","7,600",7.6,"1,495,746","160,942","26,654"
특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",319660,피에스케이,kosdaq,2026-06-22,"180,200","188,200","17,600",10.32,"958,087","180,311","54,515"
특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,420770,기가비스,kosdaq,2026-06-25,"161,500","166,700","5,200",3.22,"183,554","30,598","21,130"
플라스틱제품 제조업,"고강성 PVC DC, HDPE 등",060260,뉴보텍,kosdaq,2026-04-23,"1,539","1,549",109,7.57,"824,255","1,276",206
